fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
1,6,0,29437.01138662285,39351.49919946468,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285,29437.01138662285
1,6,1,26619.11592650404,32423.11352691453,30013.201537252826,30013.201537252826,26619.11592650404,30013.201537252826,26619.11592650404,30013.201537252826,30013.201537252826,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404,26619.11592650404
1,6,2,27457.88146521613,33207.616496237395,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613,27457.88146521613
1,6,3,30813.37172636724,35342.61670965654,31192.92710290548,30813.37172636724,30813.37172636724,30813.37172636724,31192.92710290548,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724,30813.37172636724
1,6,4,27547.33251175232,33037.35401252078,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,27547.33251175232,28806.31140518946,28806.31140518946,27547.33251175232,28806.31140518946
1,6,5,27786.35926625328,33444.62935951573,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328,27786.35926625328
1,6,6,29115.36418051464,34333.37627382078,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464,29115.36418051464
1,6,7,28878.4056379598,30865.28688111656,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598,28878.4056379598
1,6,8,27536.763865137,28957.654323594,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137,27536.763865137
1,6,9,27834.702260130587,28694.57859036954,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125,29501.838112443125
1,6,10,28684.72721471512,36015.18878452788,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512,28684.72721471512
1,6,11,27344.160261566863,31852.071179041643,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377,27892.387383142377
1,6,12,29576.319959094097,29907.270109870828,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545,31217.70148740545
1,6,13,29164.87736640888,34217.68338399577,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184,46799.512102913184
