fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40,alg_B48,alg_B56,alg_B64,alg_B72,alg_B80,alg_B88,alg_B96,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1,0,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,BFGS,BFGS,DE,MLSL,MLSL,BFGS,BFGS,DE,BFGS,BFGS,BFGS,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,BFGS,PSO,BFGS,Non-elitist
1,1,1,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,MLSL,BFGS,MLSL,MLSL,MLSL,BFGS,Non-elitist,BFGS,DE,BFGS,Elitist,MLSL,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,Elitist,BFGS,BFGS,MLSL,PSO,Non-elitist
1,1,2,Non-elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,DE,MLSL,MLSL,MLSL,BFGS,Non-elitist,Elitist,DE,MLSL,MLSL,Non-elitist,MLSL,DE,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,Non-elitist,BFGS,MLSL,BFGS,Non-elitist
1,1,3,Non-elitist,MLSL,MLSL,Non-elitist,Elitist,Elitist,Elitist,BFGS,BFGS,MLSL,BFGS,MLSL,BFGS,Non-elitist,BFGS,DE,DE,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,DE,DE,DE,BFGS,BFGS,BFGS,DE,Non-elitist
1,1,4,Non-elitist,Non-elitist,Non-elitist,Non-elitist,DE,Elitist,Elitist,BFGS,BFGS,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,BFGS,DE,DE,Elitist,Non-elitist,MLSL,Non-elitist,Non-elitist,Non-elitist,MLSL,MLSL,DE,DE,Non-elitist,BFGS,Elitist,Non-elitist
1,1,5,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,DE,Elitist,BFGS,MLSL,MLSL,MLSL,MLSL,BFGS,DE,BFGS,BFGS,DE,Elitist,MLSL,MLSL,Elitist,MLSL,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,Elitist,BFGS,BFGS,Non-elitist
1,1,6,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,BFGS,BFGS,Elitist,MLSL,MLSL,BFGS,DE,BFGS,DE,DE,MLSL,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,DE,Elitist,DE,BFGS,BFGS,BFGS,DE,Non-elitist
1,1,7,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,Elitist,Elitist,MLSL,Non-elitist,Elitist,DE,MLSL,Non-elitist,DE,DE,DE,DE,Elitist,Non-elitist,MLSL,MLSL,Elitist,Elitist,DE,DE,DE,Non-elitist,BFGS,Elitist,DE,Non-elitist
1,1,8,Non-elitist,Non-elitist,Elitist,Non-elitist,DE,Non-elitist,Non-elitist,BFGS,BFGS,DE,MLSL,MLSL,BFGS,DE,BFGS,BFGS,DE,Elitist,MLSL,Non-elitist,Elitist,Non-elitist,Elitist,MLSL,DE,Non-elitist,BFGS,Non-elitist,BFGS,BFGS,Non-elitist
1,1,9,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,DE,Elitist,BFGS,Non-elitist,MLSL,MLSL,MLSL,BFGS,MLSL,BFGS,DE,DE,Elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,BFGS,DE,Elitist,BFGS,BFGS,DE,Non-elitist
1,1,10,Non-elitist,Non-elitist,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,BFGS,BFGS,MLSL,MLSL,MLSL,BFGS,MLSL,DE,DE,DE,Elitist,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,Elitist,MLSL,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,Non-elitist
1,1,11,Non-elitist,Elitist,MLSL,Non-elitist,BFGS,Non-elitist,DE,BFGS,BFGS,MLSL,MLSL,MLSL,BFGS,DE,BFGS,DE,DE,MLSL,Non-elitist,DE,DE,DE,Non-elitist,DE,DE,Non-elitist,Elitist,Elitist,BFGS,Elitist,Non-elitist
1,1,12,Non-elitist,Non-elitist,Elitist,Non-elitist,DE,Non-elitist,Non-elitist,Non-elitist,DE,DE,MLSL,MLSL,BFGS,BFGS,BFGS,Non-elitist,MLSL,Elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Non-elitist,DE,MLSL,Non-elitist,Non-elitist,Elitist,BFGS,Elitist,Non-elitist
1,1,13,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,Elitist,DE,Non-elitist,Non-elitist,Elitist,MLSL,MLSL,BFGS,Non-elitist,Non-elitist,DE,DE,Elitist,MLSL,DE,Elitist,MLSL,Non-elitist,Elitist,MLSL,DE,Elitist,Elitist,BFGS,PSO,Non-elitist
