fid,iid,rep,alg_B8,alg_B16,alg_B24,alg_B32,alg_B40,alg_B48,alg_B56,alg_B64,alg_B72,alg_B80,alg_B88,alg_B96,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1,0,Non-elitist,Elitist,Elitist,BFGS,Elitist,Elitist,Elitist,Non-elitist,BFGS,Non-elitist,Non-elitist,DE,MLSL,DE,BFGS,Elitist,MLSL,DE,Non-elitist,Elitist,DE,Non-elitist,MLSL,Non-elitist,MLSL,Elitist,DE,BFGS,Elitist,PSO,Non-elitist
1,1,1,Elitist,Elitist,DE,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist,MLSL,MLSL,BFGS,Non-elitist,MLSL,DE,DE,BFGS,Non-elitist,Elitist,DE,BFGS,DE,MLSL,DE,MLSL,Non-elitist,Non-elitist,Elitist,Non-elitist,PSO,BFGS,Non-elitist
1,1,2,Non-elitist,Elitist,MLSL,Non-elitist,Elitist,Elitist,BFGS,Non-elitist,MLSL,MLSL,BFGS,DE,MLSL,Non-elitist,Non-elitist,Non-elitist,Elitist,DE,Non-elitist,Non-elitist,DE,DE,DE,Non-elitist,DE,Non-elitist,DE,Non-elitist,BFGS,BFGS,Non-elitist
1,1,3,Non-elitist,BFGS,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,BFGS,BFGS,BFGS,MLSL,MLSL,MLSL,DE,DE,DE,Elitist,Non-elitist,DE,DE,Non-elitist,Elitist,Non-elitist,MLSL,Non-elitist,Elitist,DE,PSO,Elitist,Non-elitist
1,1,4,Non-elitist,Elitist,Elitist,BFGS,Non-elitist,Elitist,Non-elitist,BFGS,MLSL,DE,DE,MLSL,MLSL,Non-elitist,BFGS,DE,DE,Non-elitist,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,PSO,PSO,Non-elitist
1,1,5,Non-elitist,Elitist,Elitist,Non-elitist,Non-elitist,DE,BFGS,BFGS,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,BFGS,BFGS,DE,DE,MLSL,Elitist,DE,MLSL,Non-elitist,MLSL,DE,Non-elitist,Elitist,Non-elitist,PSO,PSO,Non-elitist
1,1,6,Non-elitist,BFGS,Elitist,Elitist,DE,Elitist,BFGS,Non-elitist,BFGS,BFGS,BFGS,MLSL,MLSL,MLSL,MLSL,DE,Elitist,Non-elitist,Non-elitist,DE,DE,Non-elitist,Elitist,Elitist,MLSL,Elitist,MLSL,Non-elitist,BFGS,BFGS,Non-elitist
1,1,7,Non-elitist,MLSL,Elitist,Elitist,Elitist,Elitist,Elitist,Non-elitist,BFGS,Non-elitist,Non-elitist,MLSL,MLSL,MLSL,MLSL,MLSL,DE,MLSL,Non-elitist,MLSL,DE,MLSL,Elitist,MLSL,Elitist,Elitist,DE,BFGS,Elitist,PSO,Non-elitist
1,1,8,Non-elitist,Elitist,Non-elitist,DE,BFGS,Elitist,Elitist,DE,BFGS,BFGS,BFGS,Non-elitist,MLSL,MLSL,BFGS,BFGS,Non-elitist,DE,Non-elitist,Elitist,DE,MLSL,Elitist,MLSL,DE,Elitist,Elitist,DE,PSO,BFGS,Non-elitist
1,1,9,Non-elitist,Elitist,Elitist,DE,DE,DE,BFGS,BFGS,MLSL,MLSL,BFGS,MLSL,MLSL,MLSL,DE,MLSL,DE,DE,Non-elitist,Elitist,DE,DE,Elitist,MLSL,DE,Elitist,MLSL,Non-elitist,PSO,MLSL,Non-elitist
1,1,10,Elitist,Elitist,Non-elitist,Non-elitist,BFGS,DE,BFGS,BFGS,BFGS,Non-elitist,BFGS,Non-elitist,MLSL,MLSL,DE,DE,DE,Non-elitist,MLSL,DE,DE,Non-elitist,DE,MLSL,MLSL,Non-elitist,Elitist,DE,Non-elitist,DE,Non-elitist
1,1,11,Non-elitist,Elitist,Elitist,DE,BFGS,DE,Elitist,BFGS,BFGS,Non-elitist,BFGS,MLSL,MLSL,MLSL,DE,BFGS,DE,Elitist,Non-elitist,DE,MLSL,Non-elitist,Elitist,MLSL,MLSL,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,Non-elitist
