iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,19,800,MLSL,1927.6817269414244,2,10,0.5
7,0,800,MLSL,1487.4766848859113,2,10,0.5
7,1,800,MLSL,1421.1381242147816,2,10,0.5
7,2,800,MLSL,1353.8550752288343,2,10,0.5
7,3,800,MLSL,1280.6839370758803,2,10,0.5
7,4,800,MLSL,1451.104386399707,2,10,0.5
7,5,800,MLSL,1412.6782484248574,2,10,0.5
7,6,800,MLSL,1337.638404856231,2,10,0.5
7,7,800,MLSL,1523.3686837985417,2,10,0.5
7,8,800,MLSL,1700.4849069850438,2,10,0.5
7,9,800,MLSL,1357.0836804357518,2,10,0.5
7,10,800,MLSL,1585.670070984644,2,10,0.5
7,11,800,MLSL,1448.6638761889894,2,10,0.5
7,12,800,MLSL,1437.5761422846367,2,10,0.5
7,13,800,MLSL,1417.5773960358392,2,10,0.5
7,14,800,MLSL,1476.4001213271415,2,10,0.5
7,15,800,MLSL,1539.8180016686754,2,10,0.5
7,16,800,MLSL,1236.3051156862175,2,10,0.5
7,17,800,MLSL,1547.337070569925,2,10,0.5
7,18,800,MLSL,1432.7918076008132,2,10,0.5
7,19,800,MLSL,1504.0489508458263,2,10,0.5
6,0,800,MLSL,1652.660492871523,2,10,0.3
6,1,800,MLSL,1574.2089984148465,2,10,0.3
6,2,800,MLSL,1519.9102472658888,2,10,0.3
6,3,800,MLSL,1566.0202841174296,2,10,0.3
6,4,800,MLSL,1438.0464492934275,2,10,0.3
6,5,800,MLSL,1729.6344105914757,2,10,0.3
6,6,800,MLSL,1789.6248592050856,2,10,0.3
6,7,800,MLSL,1367.140345479344,2,10,0.3
6,8,800,MLSL,1633.5043638718216,2,10,0.3
6,9,800,MLSL,1274.093929128604,2,10,0.3
6,10,800,MLSL,1504.5291107970065,2,10,0.3
6,11,800,MLSL,1449.9875578725614,2,10,0.3
6,12,800,MLSL,1421.6635849372046,2,10,0.3
6,13,800,MLSL,1602.184991572447,2,10,0.3
6,14,800,MLSL,1562.3865273007395,2,10,0.3
6,15,800,MLSL,1818.511340832676,2,10,0.3
6,16,800,MLSL,1855.3579606839623,2,10,0.3
6,17,800,MLSL,1576.2769727772961,2,10,0.3
6,18,800,MLSL,1557.8664846479123,2,10,0.3
6,19,800,MLSL,1753.2029090447768,2,10,0.3
7,0,800,MLSL,1725.5907284734908,2,10,0.3
7,1,800,MLSL,1645.697771781522,2,10,0.3
7,2,800,MLSL,1351.4517369295802,2,10,0.3
7,3,800,MLSL,1428.7127324864105,2,10,0.3
7,4,800,MLSL,1453.067854195746,2,10,0.3
7,5,800,MLSL,1615.0651440833617,2,10,0.3
7,6,800,MLSL,1730.397479251149,2,10,0.3
7,7,800,MLSL,1582.7045618331595,2,10,0.3
7,8,800,MLSL,1552.2972615630888,2,10,0.3
7,9,800,MLSL,1490.2673636145598,2,10,0.3
7,10,800,MLSL,1645.6444469450876,2,10,0.3
7,11,800,MLSL,1283.684958620501,2,10,0.3
7,12,800,MLSL,1702.619918437139,2,10,0.3
7,13,800,MLSL,1357.288722112998,2,10,0.3
7,14,800,MLSL,1454.3427358350307,2,10,0.3
7,15,800,MLSL,1700.545155850308,2,10,0.3
7,16,800,MLSL,1114.3996858560201,2,10,0.3
7,17,800,MLSL,1626.3867086443388,2,10,0.3
7,18,800,MLSL,1596.0128809213165,2,10,0.3
7,19,800,MLSL,1475.6065745657795,2,10,0.3
6,0,800,MLSL,1445.674194633929,2,10,0.1
6,1,800,MLSL,1719.8973816795592,2,10,0.1
6,2,800,MLSL,1531.132977307924,2,10,0.1
6,3,800,MLSL,1349.7431279962145,2,10,0.1
6,4,800,MLSL,1541.173770697908,2,10,0.1
6,5,800,MLSL,1535.33130940399,2,10,0.1
6,6,800,MLSL,1834.7052858536476,2,10,0.1
6,7,800,MLSL,1585.960597301241,2,10,0.1
6,8,800,MLSL,1564.59211045673,2,10,0.1
6,9,800,MLSL,1378.815964875783,2,10,0.1
6,10,800,MLSL,1349.7355837104542,2,10,0.1
6,11,800,MLSL,1758.0953299495084,2,10,0.1
6,12,800,MLSL,1615.2288616850688,2,10,0.1
6,13,800,MLSL,1695.04405784445,2,10,0.1
6,14,800,MLSL,1862.0577582249834,2,10,0.1
6,15,800,MLSL,1690.3121751254976,2,10,0.1
6,16,800,MLSL,1638.7404477872399,2,10,0.1
6,17,800,MLSL,1508.3034921759572,2,10,0.1
6,18,800,MLSL,1691.3507367376083,2,10,0.1
6,19,800,MLSL,1694.3273674934164,2,10,0.1
7,0,800,MLSL,1369.746851341208,2,10,0.1
7,1,800,MLSL,1576.5669527552905,2,10,0.1
7,2,800,MLSL,1312.081031347922,2,10,0.1
7,3,800,MLSL,1262.0619607476742,2,10,0.1
7,4,800,MLSL,1472.5456457157359,2,10,0.1
7,5,800,MLSL,1807.3956990509714,2,10,0.1
7,6,800,MLSL,1430.6159215980924,2,10,0.1
7,7,800,MLSL,1556.7133478351075,2,10,0.1
7,8,800,MLSL,1397.1748904761175,2,10,0.1
7,9,800,MLSL,1217.2884947340767,2,10,0.1
7,10,800,MLSL,1772.575379490209,2,10,0.1
7,11,800,MLSL,1681.8076904470388,2,10,0.1
7,12,800,MLSL,1391.9521485117805,2,10,0.1
7,13,800,MLSL,1417.7277263463307,2,10,0.1
7,14,800,MLSL,1600.7332419965696,2,10,0.1
7,15,800,MLSL,1535.356035488961,2,10,0.1
7,16,800,MLSL,1416.7932874029407,2,10,0.1
7,17,800,MLSL,1328.328903667459,2,10,0.1
7,18,800,MLSL,1563.814256415548,2,10,0.1
7,19,800,MLSL,1652.892221998353,2,10,0.1
6,0,800,MLSL,6987.571284757314,24,21,0.9
6,1,800,MLSL,6592.699029246681,24,21,0.9
6,2,800,MLSL,6758.031024143348,24,21,0.9
6,3,800,MLSL,7200.468155813207,24,21,0.9
6,4,800,MLSL,8204.627583131074,24,21,0.9
6,5,800,MLSL,8091.022989419584,24,21,0.9
6,6,800,MLSL,6207.936539419317,24,21,0.9
6,7,800,MLSL,8656.45038650954,24,21,0.9
6,8,800,MLSL,8244.158655810257,24,21,0.9
6,9,800,MLSL,8085.8398955847015,24,21,0.9
6,10,800,MLSL,6591.850614582404,24,21,0.9
6,11,800,MLSL,6871.5623902483,24,21,0.9
6,12,800,MLSL,8252.123906400837,24,21,0.9
6,13,800,MLSL,6706.450918720613,24,21,0.9
6,14,800,MLSL,6631.68240890631,24,21,0.9
6,15,800,MLSL,6756.841055679482,24,21,0.9
6,16,800,MLSL,6701.973655027063,24,21,0.9
6,17,800,MLSL,7165.0981797551585,24,21,0.9
6,18,800,MLSL,8152.7495652310445,24,21,0.9
6,19,800,MLSL,6140.4608105765365,24,21,0.9
7,0,800,MLSL,6582.950333255407,24,21,0.9
7,1,800,MLSL,8095.216077297837,24,21,0.9
7,2,800,MLSL,7032.971483379943,24,21,0.9
7,3,800,MLSL,8348.336559378205,24,21,0.9
7,4,800,MLSL,8262.318649544779,24,21,0.9
7,5,800,MLSL,6581.729845171299,24,21,0.9
7,6,800,MLSL,8338.9292171854,24,21,0.9
7,7,800,MLSL,8221.331693902517,24,21,0.9
7,8,800,MLSL,6991.231751299742,24,21,0.9
7,9,800,MLSL,7978.1307479325915,24,21,0.9
7,10,800,MLSL,6640.652301707359,24,21,0.9
7,11,800,MLSL,6806.731333353775,24,21,0.9
7,12,800,MLSL,6806.784952702955,24,21,0.9
7,13,800,MLSL,6582.337918659514,24,21,0.9
7,14,800,MLSL,8557.630037868144,24,21,0.9
7,15,800,MLSL,6616.223069846052,24,21,0.9
7,16,800,MLSL,6342.4955453805715,24,21,0.9
7,17,800,MLSL,8536.429823088736,24,21,0.9
7,18,800,MLSL,6438.519910981814,24,21,0.9
7,19,800,MLSL,8067.424852053669,24,21,0.9
6,0,800,MLSL,5752.904082921592,24,21,0.7
6,1,800,MLSL,5181.413586674402,24,21,0.7
6,2,800,MLSL,6094.575552564077,24,21,0.7
6,3,800,MLSL,5844.139873945257,24,21,0.7
6,4,800,MLSL,10290.180123770828,24,21,0.7
6,5,800,MLSL,5254.564235426852,24,21,0.7
6,6,800,MLSL,6251.350102335424,24,21,0.7
6,7,800,MLSL,5443.94695432312,24,21,0.7
6,8,800,MLSL,5930.501190279889,24,21,0.7
6,9,800,MLSL,5791.522268985355,24,21,0.7
6,10,800,MLSL,5237.423637722906,24,21,0.7
6,11,800,MLSL,6290.828818089452,24,21,0.7
6,12,800,MLSL,5365.795007041759,24,21,0.7
6,13,800,MLSL,5724.147325419433,24,21,0.7
6,14,800,MLSL,5545.7067129174775,24,21,0.7
6,15,800,MLSL,5501.963552692203,24,21,0.7
6,16,800,MLSL,5541.044083239564,24,21,0.7
6,17,800,MLSL,5816.714186477586,24,21,0.7
6,18,800,MLSL,5525.058885793993,24,21,0.7
6,19,800,MLSL,5148.851708761989,24,21,0.7
7,0,800,MLSL,5263.570628803057,24,21,0.7
7,1,800,MLSL,5118.092112029999,24,21,0.7
7,2,800,MLSL,5117.056055314879,24,21,0.7
7,3,800,MLSL,5659.103491151827,24,21,0.7
7,4,800,MLSL,5761.057110073153,24,21,0.7
7,5,800,MLSL,6060.836945916741,24,21,0.7
7,6,800,MLSL,6092.019127285706,24,21,0.7
7,7,800,MLSL,5003.847151304588,24,21,0.7
7,8,800,MLSL,10097.782952909283,24,21,0.7
7,9,800,MLSL,10277.58053248501,24,21,0.7
7,10,800,MLSL,6292.510266403566,24,21,0.7
7,11,800,MLSL,5463.336610058666,24,21,0.7
7,12,800,MLSL,5786.2631759485585,24,21,0.7
7,13,800,MLSL,5981.079640505319,24,21,0.7
7,14,800,MLSL,5760.845512049106,24,21,0.7
7,15,800,MLSL,5689.5239005144795,24,21,0.7
7,16,800,MLSL,5803.4996326838955,24,21,0.7
7,17,800,MLSL,6326.313208623698,24,21,0.7
7,18,800,MLSL,6401.935524765842,24,21,0.7
7,19,800,MLSL,5409.4835288061695,24,21,0.7
6,0,800,MLSL,5537.376697788876,24,21,0.5
6,1,800,MLSL,5009.409703365912,24,21,0.5
6,2,800,MLSL,6189.3067147634465,24,21,0.5
6,3,800,MLSL,5628.2691890983315,24,21,0.5
6,4,800,MLSL,6053.619759353315,24,21,0.5
6,5,800,MLSL,5227.302970066535,24,21,0.5
6,6,800,MLSL,5806.314266831502,24,21,0.5
6,7,800,MLSL,5623.283348586845,24,21,0.5
6,8,800,MLSL,4601.409932337452,24,21,0.5
6,9,800,MLSL,5937.334872124017,24,21,0.5
6,10,800,MLSL,5512.538456102062,24,21,0.5
6,11,800,MLSL,5822.363023607745,24,21,0.5
6,12,800,MLSL,5951.435939005535,24,21,0.5
6,13,800,MLSL,5275.372028873226,24,21,0.5
6,14,800,MLSL,6566.055519321071,24,21,0.5
6,15,800,MLSL,4494.162535445422,24,21,0.5
6,16,800,MLSL,5261.547708843913,24,21,0.5
6,17,800,MLSL,6901.627302496199,24,21,0.5
6,18,800,MLSL,6045.609289996761,24,21,0.5
6,19,800,MLSL,6403.1652842149615,24,21,0.5
7,0,800,MLSL,5404.262095126529,24,21,0.5
7,1,800,MLSL,5137.209546141344,24,21,0.5
7,2,800,MLSL,4625.91059598594,24,21,0.5
7,3,800,MLSL,5562.657626051384,24,21,0.5
7,4,800,MLSL,5982.21838029265,24,21,0.5
7,5,800,MLSL,5777.044815917091,24,21,0.5
7,6,800,MLSL,5511.778881863491,24,21,0.5
7,7,800,MLSL,5563.219205601041,24,21,0.5
7,8,800,MLSL,6446.441735937031,24,21,0.5
7,9,800,MLSL,12169.686754742199,24,21,0.5
7,10,800,MLSL,6096.350733758716,24,21,0.5
7,11,800,MLSL,6027.452529930674,24,21,0.5
7,12,800,MLSL,5005.550472006033,24,21,0.5
7,13,800,MLSL,6282.3798753107385,24,21,0.5
7,14,800,MLSL,5804.528936393654,24,21,0.5
7,15,800,MLSL,5628.611017980607,24,21,0.5
7,16,800,MLSL,4866.446070198319,24,21,0.5
7,17,800,MLSL,6203.902897259457,24,21,0.5
7,18,800,MLSL,6896.763358718174,24,21,0.5
7,19,800,MLSL,5201.822252199056,24,21,0.5
