iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,0,550,MLSL,1459.5537532633816,2,10,0.9
6,1,550,MLSL,1550.1002189792991,2,10,0.9
6,2,550,MLSL,1357.2968337953866,2,10,0.9
6,3,550,MLSL,1668.214064636672,2,10,0.9
6,4,550,MLSL,1578.1390366055757,2,10,0.9
6,5,550,MLSL,1672.8346430580877,2,10,0.9
6,6,550,MLSL,1634.041551645575,2,10,0.9
6,7,550,MLSL,1590.9096617165173,2,10,0.9
6,8,550,MLSL,1628.7976173175398,2,10,0.9
6,9,550,MLSL,1615.348767273538,2,10,0.9
6,10,550,MLSL,1492.336833214808,2,10,0.9
6,11,550,MLSL,1467.69450845991,2,10,0.9
6,12,550,MLSL,1489.7631509640087,2,10,0.9
6,13,550,MLSL,1410.8048314315938,2,10,0.9
6,14,550,MLSL,1621.6766753497861,2,10,0.9
6,15,550,MLSL,1315.20177993867,2,10,0.9
6,16,550,MLSL,1554.4533987679276,2,10,0.9
6,17,550,MLSL,1674.4163540874524,2,10,0.9
6,18,550,MLSL,1578.6031163968548,2,10,0.9
6,19,550,MLSL,1694.1376506775362,2,10,0.9
7,0,550,MLSL,1289.359268224675,2,10,0.9
7,1,550,MLSL,1475.2226913294535,2,10,0.9
7,2,550,MLSL,1102.9612865330448,2,10,0.9
7,3,550,MLSL,1433.880395756986,2,10,0.9
7,4,550,MLSL,1223.2599123791695,2,10,0.9
7,5,550,MLSL,1481.8447306474013,2,10,0.9
7,6,550,MLSL,1722.542370484706,2,10,0.9
7,7,550,MLSL,1249.2418006123157,2,10,0.9
7,8,550,MLSL,1415.3805378092036,2,10,0.9
7,9,550,MLSL,1293.777941710331,2,10,0.9
7,10,550,MLSL,1327.802042069135,2,10,0.9
7,11,550,MLSL,1431.2864319966693,2,10,0.9
7,12,550,MLSL,1347.9685062050576,2,10,0.9
7,13,550,MLSL,1498.007813600741,2,10,0.9
7,14,550,MLSL,1452.4106136790774,2,10,0.9
7,15,550,MLSL,1383.2724975512012,2,10,0.9
7,16,550,MLSL,1110.4175326996988,2,10,0.9
7,17,550,MLSL,1456.0601936411017,2,10,0.9
7,18,550,MLSL,1397.198441407804,2,10,0.9
7,19,550,MLSL,1348.3462477497822,2,10,0.9
6,0,550,MLSL,1823.452585714534,2,10,0.7
6,1,550,MLSL,1599.9692921374744,2,10,0.7
6,2,550,MLSL,1714.3796714472148,2,10,0.7
6,3,550,MLSL,1475.6770792794237,2,10,0.7
6,4,550,MLSL,1657.9350233127448,2,10,0.7
6,5,550,MLSL,1422.249561153731,2,10,0.7
6,6,550,MLSL,1353.4882982809556,2,10,0.7
6,7,550,MLSL,1687.7221688387106,2,10,0.7
6,8,550,MLSL,1625.7656391853225,2,10,0.7
6,9,550,MLSL,1780.2479110077345,2,10,0.7
6,10,550,MLSL,1564.3130018368695,2,10,0.7
6,11,550,MLSL,1613.5878770402087,2,10,0.7
6,12,550,MLSL,1467.8366182489863,2,10,0.7
6,13,550,MLSL,1770.3002510798335,2,10,0.7
6,14,550,MLSL,1666.2678713784803,2,10,0.7
6,15,550,MLSL,1680.0456672117293,2,10,0.7
6,16,550,MLSL,1817.5421958984862,2,10,0.7
6,17,550,MLSL,1744.794136716457,2,10,0.7
6,18,550,MLSL,1586.2143924616096,2,10,0.7
6,19,550,MLSL,1802.4204400518536,2,10,0.7
7,0,550,MLSL,1205.475609869183,2,10,0.7
7,1,550,MLSL,1419.6154911828498,2,10,0.7
7,2,550,MLSL,1468.0931755401923,2,10,0.7
7,3,550,MLSL,1582.7637124585758,2,10,0.7
7,4,550,MLSL,1807.3074662714853,2,10,0.7
7,5,550,MLSL,1279.005199419572,2,10,0.7
7,6,550,MLSL,1273.1573919401085,2,10,0.7
7,7,550,MLSL,1665.5984964198847,2,10,0.7
7,8,550,MLSL,1594.728917394074,2,10,0.7
7,9,550,MLSL,1167.5651598583859,2,10,0.7
7,10,550,MLSL,1730.6927476215033,2,10,0.7
7,11,550,MLSL,1562.4776037831175,2,10,0.7
7,12,550,MLSL,1563.106266415596,2,10,0.7
7,13,550,MLSL,1348.2077862861536,2,10,0.7
7,14,550,MLSL,1518.515844949945,2,10,0.7
7,15,550,MLSL,1481.6352919726405,2,10,0.7
7,16,550,MLSL,1408.1476892593973,2,10,0.7
7,17,550,MLSL,1498.113585329922,2,10,0.7
7,18,550,MLSL,1554.0480321569132,2,10,0.7
7,19,550,MLSL,1480.1394454015485,2,10,0.7
6,0,550,MLSL,1848.9181918140685,2,10,0.5
6,1,550,MLSL,1711.7586488774346,2,10,0.5
6,2,550,MLSL,1484.2622669877637,2,10,0.5
6,3,550,MLSL,1758.8051559466126,2,10,0.5
6,4,550,MLSL,1868.7591993891228,2,10,0.5
6,5,550,MLSL,1852.6817395593193,2,10,0.5
6,6,550,MLSL,1653.1652892478933,2,10,0.5
6,7,550,MLSL,1471.771034570871,2,10,0.5
6,8,550,MLSL,1666.7218553983691,2,10,0.5
6,9,550,MLSL,1557.3983208368131,2,10,0.5
