iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,19,650,BFGS,1846.7987799352798,2,10,0.5
7,0,650,BFGS,1385.747633210513,2,10,0.5
7,1,650,BFGS,1381.7598258028365,2,10,0.5
7,2,650,BFGS,1235.0175461771764,2,10,0.5
7,3,650,BFGS,1267.546532109329,2,10,0.5
7,4,650,BFGS,1413.1822606723804,2,10,0.5
7,5,650,BFGS,1402.802253143746,2,10,0.5
7,6,650,BFGS,1282.5132795534496,2,10,0.5
7,7,650,BFGS,1485.677552635545,2,10,0.5
7,8,650,BFGS,1675.1765894377,2,10,0.5
7,9,650,BFGS,1295.4488202272157,2,10,0.5
7,10,650,BFGS,1588.8977075878577,2,10,0.5
7,11,650,BFGS,1375.0036181234054,2,10,0.5
7,12,650,BFGS,1361.7951124849706,2,10,0.5
7,13,650,BFGS,1374.0260163295552,2,10,0.5
7,14,650,BFGS,1408.8998430186082,2,10,0.5
7,15,650,BFGS,1497.8405061115636,2,10,0.5
7,16,650,BFGS,1202.4584935631133,2,10,0.5
7,17,650,BFGS,1474.7539665210895,2,10,0.5
7,18,650,BFGS,1375.6241146186649,2,10,0.5
7,19,650,BFGS,1433.1104524174534,2,10,0.5
6,0,650,BFGS,1578.1321010235945,2,10,0.3
6,1,650,BFGS,1519.249794864293,2,10,0.3
6,2,650,BFGS,1460.8955042358589,2,10,0.3
6,3,650,BFGS,1503.1791186276319,2,10,0.3
6,4,650,BFGS,1397.5027683620538,2,10,0.3
6,5,650,BFGS,1654.2215418622668,2,10,0.3
6,6,650,BFGS,1713.7244036848317,2,10,0.3
6,7,650,BFGS,1330.640375098682,2,10,0.3
6,8,650,BFGS,1581.4563377289542,2,10,0.3
6,9,650,BFGS,1222.7520368614273,2,10,0.3
6,10,650,BFGS,1449.402067986938,2,10,0.3
6,11,650,BFGS,1383.8847954152118,2,10,0.3
6,12,650,BFGS,1409.426111949606,2,10,0.3
6,13,650,BFGS,1518.5186288230227,2,10,0.3
6,14,650,BFGS,1488.6490234698654,2,10,0.3
6,15,650,BFGS,1810.0095506056773,2,10,0.3
6,16,650,BFGS,1799.1934268277446,2,10,0.3
6,17,650,BFGS,1523.6022180144132,2,10,0.3
6,18,650,BFGS,1524.191266168198,2,10,0.3
6,19,650,BFGS,1704.4852518010273,2,10,0.3
7,0,650,BFGS,1695.2297996102106,2,10,0.3
7,1,650,BFGS,1684.4270694140832,2,10,0.3
7,2,650,BFGS,1342.7759759829196,2,10,0.3
7,3,650,BFGS,1375.7093414310725,2,10,0.3
7,4,650,BFGS,1419.0296836076388,2,10,0.3
7,5,650,BFGS,1591.3169699619675,2,10,0.3
7,6,650,BFGS,1667.82230578742,2,10,0.3
7,7,650,BFGS,1516.3088425282904,2,10,0.3
7,8,650,BFGS,1497.186018947091,2,10,0.3
7,9,650,BFGS,1461.980791258942,2,10,0.3
7,10,650,BFGS,1583.438286524814,2,10,0.3
7,11,650,BFGS,1234.4220427912774,2,10,0.3
7,12,650,BFGS,1566.6682445318422,2,10,0.3
7,13,650,BFGS,1319.3674809310985,2,10,0.3
7,14,650,BFGS,1415.2677756241835,2,10,0.3
7,15,650,BFGS,1652.1028798642105,2,10,0.3
7,16,650,BFGS,1089.549658943883,2,10,0.3
7,17,650,BFGS,1534.375504691129,2,10,0.3
7,18,650,BFGS,1469.4648221046416,2,10,0.3
7,19,650,BFGS,1423.3848206162547,2,10,0.3
6,0,650,BFGS,1424.5654825527704,2,10,0.1
6,1,650,BFGS,1643.4713597940745,2,10,0.1
6,2,650,BFGS,1445.2761010841273,2,10,0.1
6,3,650,BFGS,1273.6509871250544,2,10,0.1
6,4,650,BFGS,1449.4622720148577,2,10,0.1
6,5,650,BFGS,1461.4368896936726,2,10,0.1
6,6,650,BFGS,1788.0155929702976,2,10,0.1
6,7,650,BFGS,1542.171851966056,2,10,0.1
6,8,650,BFGS,1505.6874287685798,2,10,0.1
6,9,650,BFGS,1322.4855517610586,2,10,0.1
6,10,650,BFGS,1326.1483806623166,2,10,0.1
6,11,650,BFGS,1677.6802987803073,2,10,0.1
6,12,650,BFGS,1548.2038937459688,2,10,0.1
6,13,650,BFGS,1650.540609813438,2,10,0.1
6,14,650,BFGS,1745.7120905224667,2,10,0.1
6,15,650,BFGS,1601.0043588102185,2,10,0.1
6,16,650,BFGS,1579.9957031657168,2,10,0.1
6,17,650,BFGS,1442.1904252250138,2,10,0.1
6,18,650,BFGS,1622.522018082389,2,10,0.1
6,19,650,BFGS,1655.069884271592,2,10,0.1
7,0,650,BFGS,1281.539256912224,2,10,0.1
7,1,650,BFGS,1482.0337768364843,2,10,0.1
7,2,650,BFGS,1262.9035649149623,2,10,0.1
7,3,650,BFGS,1253.1812704371896,2,10,0.1
7,4,650,BFGS,1431.6553077473109,2,10,0.1
7,5,650,BFGS,1703.1112435924329,2,10,0.1
7,6,650,BFGS,1395.101922268545,2,10,0.1
7,7,650,BFGS,1453.3146161635539,2,10,0.1
7,8,650,BFGS,1335.7672475551954,2,10,0.1
7,9,650,BFGS,1217.8498383252572,2,10,0.1
7,10,650,BFGS,1777.493919153484,2,10,0.1
7,11,650,BFGS,1674.1913346274237,2,10,0.1
7,12,650,BFGS,1294.335264998428,2,10,0.1
7,13,650,BFGS,1371.7556041059863,2,10,0.1
7,14,650,BFGS,1507.5982095438194,2,10,0.1
7,15,650,BFGS,1477.9765540530152,2,10,0.1
7,16,650,BFGS,1358.7191115730984,2,10,0.1
7,17,650,BFGS,1268.6348523578743,2,10,0.1
7,18,650,BFGS,1494.6850917309916,2,10,0.1
7,19,650,BFGS,1534.395670961463,2,10,0.1
6,0,650,BFGS,6932.127355461667,24,21,0.9
6,1,650,BFGS,6436.963353633703,24,21,0.9
6,2,650,BFGS,6491.676599950714,24,21,0.9
6,3,650,BFGS,7029.161717847515,24,21,0.9
6,4,650,BFGS,8025.715013934292,24,21,0.9
6,5,650,BFGS,7779.455078418798,24,21,0.9
6,6,650,BFGS,6211.5944788605775,24,21,0.9
6,7,650,BFGS,8347.1171268358,24,21,0.9
6,8,650,BFGS,8189.497808718708,24,21,0.9
6,9,650,BFGS,8015.8145238802845,24,21,0.9
6,10,650,BFGS,6300.26095244149,24,21,0.9
6,11,650,BFGS,6663.028133539538,24,21,0.9
6,12,650,BFGS,7973.302959035576,24,21,0.9
6,13,650,BFGS,6546.637288144904,24,21,0.9
6,14,650,BFGS,6424.126669176381,24,21,0.9
6,15,650,BFGS,6651.4957598474775,24,21,0.9
6,16,650,BFGS,6580.885719021693,24,21,0.9
6,17,650,BFGS,7230.435996295957,24,21,0.9
6,18,650,BFGS,7761.097494628596,24,21,0.9
6,19,650,BFGS,6056.95487473157,24,21,0.9
7,0,650,BFGS,6434.6484224130945,24,21,0.9
7,1,650,BFGS,7952.330937454895,24,21,0.9
7,2,650,BFGS,6762.51336567681,24,21,0.9
7,3,650,BFGS,8006.393455714728,24,21,0.9
7,4,650,BFGS,8041.939042015783,24,21,0.9
7,5,650,BFGS,6319.319605947562,24,21,0.9
7,6,650,BFGS,8104.194054595716,24,21,0.9
7,7,650,BFGS,8006.872618370629,24,21,0.9
7,8,650,BFGS,6675.959998467137,24,21,0.9
7,9,650,BFGS,7742.309303239127,24,21,0.9
7,10,650,BFGS,6437.54890506626,24,21,0.9
7,11,650,BFGS,6625.160709315908,24,21,0.9
7,12,650,BFGS,6624.3326556480115,24,21,0.9
7,13,650,BFGS,6480.145524560349,24,21,0.9
7,14,650,BFGS,8470.137581091949,24,21,0.9
7,15,650,BFGS,6520.503568627904,24,21,0.9
7,16,650,BFGS,6381.257657375409,24,21,0.9
7,17,650,BFGS,8276.5373227501,24,21,0.9
7,18,650,BFGS,6312.322238175064,24,21,0.9
7,19,650,BFGS,7665.69412773622,24,21,0.9
6,0,650,BFGS,5890.118004796801,24,21,0.7
6,1,650,BFGS,5275.059523091804,24,21,0.7
6,2,650,BFGS,6024.293235323089,24,21,0.7
6,3,650,BFGS,5782.006858910945,24,21,0.7
6,4,650,BFGS,9989.43183602039,24,21,0.7
6,5,650,BFGS,5345.385963278359,24,21,0.7
6,6,650,BFGS,6466.806065415887,24,21,0.7
6,7,650,BFGS,5563.224153680977,24,21,0.7
6,8,650,BFGS,5931.71603174761,24,21,0.7
6,9,650,BFGS,5764.840820691936,24,21,0.7
6,10,650,BFGS,5388.258203762962,24,21,0.7
6,11,650,BFGS,6311.982648059753,24,21,0.7
6,12,650,BFGS,5436.280044482419,24,21,0.7
6,13,650,BFGS,5808.423879020739,24,21,0.7
6,14,650,BFGS,5507.307592487892,24,21,0.7
6,15,650,BFGS,5632.655536195005,24,21,0.7
6,16,650,BFGS,5672.244613814088,24,21,0.7
6,17,650,BFGS,5948.3046332126805,24,21,0.7
6,18,650,BFGS,5536.894186543421,24,21,0.7
6,19,650,BFGS,5155.800808592072,24,21,0.7
7,0,650,BFGS,5456.339518374629,24,21,0.7
7,1,650,BFGS,5180.89804094643,24,21,0.7
7,2,650,BFGS,5183.951284305105,24,21,0.7
7,3,650,BFGS,5534.724363857777,24,21,0.7
7,4,650,BFGS,5650.456512233781,24,21,0.7
7,5,650,BFGS,5918.015966529959,24,21,0.7
7,6,650,BFGS,6090.274182065941,24,21,0.7
7,7,650,BFGS,5001.4111814004245,24,21,0.7
7,8,650,BFGS,9842.664585945851,24,21,0.7
7,9,650,BFGS,10012.721977109019,24,21,0.7
7,10,650,BFGS,6339.480709410445,24,21,0.7
7,11,650,BFGS,5485.488261773394,24,21,0.7
7,12,650,BFGS,5878.118528715485,24,21,0.7
7,13,650,BFGS,6005.862003082366,24,21,0.7
7,14,650,BFGS,5798.39726434279,24,21,0.7
7,15,650,BFGS,5762.089611412189,24,21,0.7
7,16,650,BFGS,5992.370856548036,24,21,0.7
7,17,650,BFGS,6472.7608919547365,24,21,0.7
7,18,650,BFGS,6560.517842271005,24,21,0.7
7,19,650,BFGS,5276.557992907432,24,21,0.7
6,0,650,BFGS,5687.213324824092,24,21,0.5
6,1,650,BFGS,5143.256776327652,24,21,0.5
6,2,650,BFGS,6287.20599792264,24,21,0.5
6,3,650,BFGS,5653.544342692752,24,21,0.5
6,4,650,BFGS,6156.31620978586,24,21,0.5
6,5,650,BFGS,5367.770655983824,24,21,0.5
6,6,650,BFGS,5781.175105491698,24,21,0.5
6,7,650,BFGS,5560.688013616431,24,21,0.5
6,8,650,BFGS,4543.319419468481,24,21,0.5
6,9,650,BFGS,5986.95275145733,24,21,0.5
6,10,650,BFGS,5516.587218482078,24,21,0.5
6,11,650,BFGS,6159.420623289352,24,21,0.5
6,12,650,BFGS,5957.074571309392,24,21,0.5
6,13,650,BFGS,5374.839494515987,24,21,0.5
6,14,650,BFGS,6709.858462776279,24,21,0.5
6,15,650,BFGS,4682.661870693052,24,21,0.5
6,16,650,BFGS,5339.883137488305,24,21,0.5
6,17,650,BFGS,7098.5597061896815,24,21,0.5
6,18,650,BFGS,6127.1380337112405,24,21,0.5
6,19,650,BFGS,6533.492078315153,24,21,0.5
7,0,650,BFGS,5548.047879886351,24,21,0.5
7,1,650,BFGS,5249.916454203954,24,21,0.5
7,2,650,BFGS,4602.250191982843,24,21,0.5
7,3,650,BFGS,5732.256887605794,24,21,0.5
7,4,650,BFGS,6038.680398786532,24,21,0.5
7,5,650,BFGS,5840.476179535599,24,21,0.5
7,6,650,BFGS,5613.012619037742,24,21,0.5
7,7,650,BFGS,5678.5957317196635,24,21,0.5
7,8,650,BFGS,6381.965028376246,24,21,0.5
7,9,650,BFGS,12112.73952983451,24,21,0.5
7,10,650,BFGS,6046.639159701964,24,21,0.5
7,11,650,BFGS,6115.064095670517,24,21,0.5
7,12,650,BFGS,5065.064181851888,24,21,0.5
7,13,650,BFGS,6491.947326435395,24,21,0.5
7,14,650,BFGS,5990.160825008836,24,21,0.5
7,15,650,BFGS,5801.426774307357,24,21,0.5
7,16,650,BFGS,5002.463526650424,24,21,0.5
7,17,650,BFGS,6283.61204683902,24,21,0.5
7,18,650,BFGS,7309.210776879557,24,21,0.5
7,19,650,BFGS,5241.147904366681,24,21,0.5
6,0,650,BFGS,7304.409357232353,24,21,0.3
6,1,650,BFGS,7942.586444387856,24,21,0.3
6,2,650,BFGS,6828.478108756171,24,21,0.3
6,3,650,BFGS,5677.307746223806,24,21,0.3
6,4,650,BFGS,5641.467824923029,24,21,0.3
6,5,650,BFGS,5991.8708097744575,24,21,0.3
6,6,650,BFGS,8078.205693143073,24,21,0.3
6,7,650,BFGS,5245.295765475743,24,21,0.3
6,8,650,BFGS,5994.168552954766,24,21,0.3
6,9,650,BFGS,6371.914655602211,24,21,0.3
6,10,650,BFGS,6199.089771652455,24,21,0.3
6,11,650,BFGS,5311.783802058209,24,21,0.3
6,12,650,BFGS,5749.694377270638,24,21,0.3
6,13,650,BFGS,6730.994098413853,24,21,0.3
6,14,650,BFGS,7151.255391458057,24,21,0.3
6,15,650,BFGS,6303.784550466084,24,21,0.3
6,16,650,BFGS,7142.944509510079,24,21,0.3
6,17,650,BFGS,6907.31367978772,24,21,0.3
6,18,650,BFGS,6016.254314087767,24,21,0.3
6,19,650,BFGS,6514.49271764622,24,21,0.3
7,0,650,BFGS,6691.807621325464,24,21,0.3
7,1,650,BFGS,6248.45330590979,24,21,0.3
7,2,650,BFGS,6324.904820739132,24,21,0.3
7,3,650,BFGS,8535.177655739893,24,21,0.3
7,4,650,BFGS,6714.19950616195,24,21,0.3
7,5,650,BFGS,6392.656062512683,24,21,0.3
7,6,650,BFGS,5456.117653631918,24,21,0.3
7,7,650,BFGS,6349.146232787054,24,21,0.3
7,8,650,BFGS,6103.534048081963,24,21,0.3
7,9,650,BFGS,7635.053238297844,24,21,0.3
7,10,650,BFGS,6331.548022774325,24,21,0.3
7,11,650,BFGS,7161.251015226102,24,21,0.3
7,12,650,BFGS,6771.358427090934,24,21,0.3
7,13,650,BFGS,6887.593741877701,24,21,0.3
7,14,650,BFGS,5404.7248808842905,24,21,0.3
7,15,650,BFGS,7121.046393366798,24,21,0.3
7,16,650,BFGS,5571.62438936563,24,21,0.3
7,17,650,BFGS,6381.722156028118,24,21,0.3
7,18,650,BFGS,7599.986618104649,24,21,0.3
7,19,650,BFGS,7578.938780468934,24,21,0.3
6,0,650,BFGS,7047.138403960307,24,21,0.1
6,1,650,BFGS,7645.599017081136,24,21,0.1
6,2,650,BFGS,7937.772570044226,24,21,0.1
6,3,650,BFGS,5675.676880282586,24,21,0.1
6,4,650,BFGS,6319.658761277884,24,21,0.1
6,5,650,BFGS,6606.436793582363,24,21,0.1
6,6,650,BFGS,6202.604154080678,24,21,0.1
6,7,650,BFGS,6369.074537486991,24,21,0.1
6,8,650,BFGS,6111.574964996885,24,21,0.1
6,9,650,BFGS,7090.645710800688,24,21,0.1
6,10,650,BFGS,6609.853054818023,24,21,0.1
