iid,rep,a1_budget,algname,achieved_auc,fid_a,fid_b,alpha
6,19,200,Elitist,1671.8972076981736,2,10,0.5
7,0,200,Elitist,1301.5752979609713,2,10,0.5
7,1,200,Elitist,1256.9767398283368,2,10,0.5
7,2,200,Elitist,1259.6606234193218,2,10,0.5
7,3,200,Elitist,1126.299987262208,2,10,0.5
7,4,200,Elitist,1315.4291408292129,2,10,0.5
7,5,200,Elitist,1369.143371272705,2,10,0.5
7,6,200,Elitist,1300.6623355303657,2,10,0.5
7,7,200,Elitist,1275.3511596568342,2,10,0.5
7,8,200,Elitist,1411.846700226045,2,10,0.5
7,9,200,Elitist,1210.0267437197576,2,10,0.5
7,10,200,Elitist,1489.0160777109163,2,10,0.5
7,11,200,Elitist,1288.858684787415,2,10,0.5
7,12,200,Elitist,1380.3022477003674,2,10,0.5
7,13,200,Elitist,1373.9407558685864,2,10,0.5
7,14,200,Elitist,1347.1527813732077,2,10,0.5
7,15,200,Elitist,1375.7820898335372,2,10,0.5
7,16,200,Elitist,1157.9672501623859,2,10,0.5
7,17,200,Elitist,1341.5228751622421,2,10,0.5
7,18,200,Elitist,1164.6029004937698,2,10,0.5
7,19,200,Elitist,1252.2730645213237,2,10,0.5
6,0,200,Elitist,1526.180445162033,2,10,0.3
6,1,200,Elitist,1472.0456019109015,2,10,0.3
6,2,200,Elitist,1233.9186798704518,2,10,0.3
6,3,200,Elitist,1456.7401732100698,2,10,0.3
6,4,200,Elitist,1326.7267750182987,2,10,0.3
6,5,200,Elitist,1531.8530532148566,2,10,0.3
6,6,200,Elitist,1502.9003902999775,2,10,0.3
6,7,200,Elitist,1269.9415447059632,2,10,0.3
6,8,200,Elitist,1510.2274202782035,2,10,0.3
6,9,200,Elitist,1159.7355447516263,2,10,0.3
6,10,200,Elitist,1360.3383458124486,2,10,0.3
6,11,200,Elitist,1351.3591357823248,2,10,0.3
6,12,200,Elitist,1412.0407434483843,2,10,0.3
6,13,200,Elitist,1387.3092744183757,2,10,0.3
6,14,200,Elitist,1617.9325926694908,2,10,0.3
6,15,200,Elitist,1517.071265083006,2,10,0.3
6,16,200,Elitist,1580.1981028909577,2,10,0.3
6,17,200,Elitist,1442.6066852144486,2,10,0.3
6,18,200,Elitist,1484.1209995464603,2,10,0.3
6,19,200,Elitist,1700.9763897124217,2,10,0.3
7,0,200,Elitist,1483.7412831732358,2,10,0.3
7,1,200,Elitist,1541.3843856531919,2,10,0.3
7,2,200,Elitist,1281.4807932756894,2,10,0.3
7,3,200,Elitist,1379.790820742775,2,10,0.3
7,4,200,Elitist,1305.0458523079367,2,10,0.3
7,5,200,Elitist,1476.1306462005762,2,10,0.3
7,6,200,Elitist,1529.0864377381113,2,10,0.3
7,7,200,Elitist,1313.1576627805402,2,10,0.3
7,8,200,Elitist,1333.2020980949978,2,10,0.3
7,9,200,Elitist,1342.3591412765359,2,10,0.3
7,10,200,Elitist,1517.799839465586,2,10,0.3
7,11,200,Elitist,1237.2297858708314,2,10,0.3
7,12,200,Elitist,1383.4329708412586,2,10,0.3
7,13,200,Elitist,1299.4308365056631,2,10,0.3
7,14,200,Elitist,1425.3328809873958,2,10,0.3
7,15,200,Elitist,1647.4431021555108,2,10,0.3
7,16,200,Elitist,961.7246898935487,2,10,0.3
7,17,200,Elitist,1454.8134372215923,2,10,0.3
7,18,200,Elitist,1288.7906671975568,2,10,0.3
7,19,200,Elitist,1232.0940233370548,2,10,0.3
6,0,200,Elitist,1422.8806375459915,2,10,0.1
6,1,200,Elitist,1511.972551457705,2,10,0.1
6,2,200,Elitist,1145.9623974443762,2,10,0.1
6,3,200,Elitist,1255.4522801620824,2,10,0.1
6,4,200,Elitist,1454.332334003696,2,10,0.1
6,5,200,Elitist,1388.8502494554996,2,10,0.1
6,6,200,Elitist,1637.2998654177482,2,10,0.1
6,7,200,Elitist,1449.2169232999345,2,10,0.1
6,8,200,Elitist,1279.048109746528,2,10,0.1
6,9,200,Elitist,1225.7023787885792,2,10,0.1
6,10,200,Elitist,1161.6320134763218,2,10,0.1
6,11,200,Elitist,1675.317843632551,2,10,0.1
6,12,200,Elitist,1437.501165638038,2,10,0.1
6,13,200,Elitist,1512.4425791609947,2,10,0.1
6,14,200,Elitist,1659.859287952718,2,10,0.1
6,15,200,Elitist,1479.2278919610062,2,10,0.1
6,16,200,Elitist,1744.413973767679,2,10,0.1
6,17,200,Elitist,1251.5219966134218,2,10,0.1
6,18,200,Elitist,1610.8539361157038,2,10,0.1
6,19,200,Elitist,1732.3674990421746,2,10,0.1
7,0,200,Elitist,1420.5668931717319,2,10,0.1
7,1,200,Elitist,1383.9861038251352,2,10,0.1
7,2,200,Elitist,1158.9547876067863,2,10,0.1
7,3,200,Elitist,1127.7107878266845,2,10,0.1
7,4,200,Elitist,1412.6597581609872,2,10,0.1
7,5,200,Elitist,1687.6098457839944,2,10,0.1
7,6,200,Elitist,1326.7661412190464,2,10,0.1
7,7,200,Elitist,1285.5212643274506,2,10,0.1
7,8,200,Elitist,1238.6075200729094,2,10,0.1
7,9,200,Elitist,1163.9076763806365,2,10,0.1
7,10,200,Elitist,1401.3800266325688,2,10,0.1
7,11,200,Elitist,1713.9064824776488,2,10,0.1
7,12,200,Elitist,1111.5450356136828,2,10,0.1
7,13,200,Elitist,1287.3070056347945,2,10,0.1
7,14,200,Elitist,1580.58239531064,2,10,0.1
7,15,200,Elitist,1436.1775803837636,2,10,0.1
7,16,200,Elitist,1307.3273123645479,2,10,0.1
7,17,200,Elitist,1206.305116732084,2,10,0.1
7,18,200,Elitist,1353.6026832343616,2,10,0.1
7,19,200,Elitist,1426.2206211137664,2,10,0.1
6,0,200,Elitist,7262.877200927771,24,21,0.9
6,1,200,Elitist,6033.253900465315,24,21,0.9
6,2,200,Elitist,6640.923691898706,24,21,0.9
6,3,200,Elitist,7208.032294911876,24,21,0.9
6,4,200,Elitist,7996.9597701869025,24,21,0.9
6,5,200,Elitist,7946.180663006852,24,21,0.9
6,6,200,Elitist,6109.292235712877,24,21,0.9
6,7,200,Elitist,8196.094417400946,24,21,0.9
6,8,200,Elitist,8013.155371249405,24,21,0.9
6,9,200,Elitist,8191.277888153099,24,21,0.9
6,10,200,Elitist,6889.899326780275,24,21,0.9
6,11,200,Elitist,6423.983607580413,24,21,0.9
6,12,200,Elitist,8148.627181083439,24,21,0.9
6,13,200,Elitist,7017.12254596909,24,21,0.9
6,14,200,Elitist,6214.107330388733,24,21,0.9
6,15,200,Elitist,6918.42052895046,24,21,0.9
6,16,200,Elitist,6742.13089434161,24,21,0.9
6,17,200,Elitist,6680.6366361772325,24,21,0.9
6,18,200,Elitist,8371.837685467965,24,21,0.9
6,19,200,Elitist,6620.602688016087,24,21,0.9
7,0,200,Elitist,6511.07823259209,24,21,0.9
7,1,200,Elitist,7984.994340373494,24,21,0.9
7,2,200,Elitist,6789.790557456793,24,21,0.9
7,3,200,Elitist,8516.937939754816,24,21,0.9
7,4,200,Elitist,8542.778458363424,24,21,0.9
7,5,200,Elitist,6088.111823153389,24,21,0.9
7,6,200,Elitist,8238.74813464202,24,21,0.9
7,7,200,Elitist,7789.238807978925,24,21,0.9
7,8,200,Elitist,6786.256818163567,24,21,0.9
7,9,200,Elitist,7871.595829829081,24,21,0.9
7,10,200,Elitist,6617.394425842501,24,21,0.9
7,11,200,Elitist,6622.828682951892,24,21,0.9
7,12,200,Elitist,6923.692877109225,24,21,0.9
7,13,200,Elitist,6976.031106800315,24,21,0.9
7,14,200,Elitist,8779.315565435283,24,21,0.9
7,15,200,Elitist,6783.3358305049605,24,21,0.9
7,16,200,Elitist,6352.957812161215,24,21,0.9
7,17,200,Elitist,8527.96135701075,24,21,0.9
7,18,200,Elitist,6480.848767534024,24,21,0.9
7,19,200,Elitist,8429.32550104174,24,21,0.9
6,0,200,Elitist,5459.220820975059,24,21,0.7
6,1,200,Elitist,5216.376292444014,24,21,0.7
6,2,200,Elitist,6299.2111579398625,24,21,0.7
6,3,200,Elitist,5267.916300607458,24,21,0.7
6,4,200,Elitist,10536.643751055582,24,21,0.7
6,5,200,Elitist,5346.265093492065,24,21,0.7
6,6,200,Elitist,5447.325763953269,24,21,0.7
6,7,200,Elitist,5293.5057657455345,24,21,0.7
6,8,200,Elitist,5416.740146749913,24,21,0.7
6,9,200,Elitist,5365.490295017581,24,21,0.7
6,10,200,Elitist,4862.80130124616,24,21,0.7
6,11,200,Elitist,5403.478234983582,24,21,0.7
6,12,200,Elitist,5319.491787290155,24,21,0.7
6,13,200,Elitist,5531.168163096538,24,21,0.7
6,14,200,Elitist,5051.876950771657,24,21,0.7
6,15,200,Elitist,4963.6927092877,24,21,0.7
6,16,200,Elitist,4876.342604146753,24,21,0.7
6,17,200,Elitist,5440.5282975684095,24,21,0.7
6,18,200,Elitist,5176.94764023992,24,21,0.7
6,19,200,Elitist,5117.713048638349,24,21,0.7
7,0,200,Elitist,5755.594896194096,24,21,0.7
7,1,200,Elitist,5252.543159364463,24,21,0.7
7,2,200,Elitist,5090.794014532634,24,21,0.7
7,3,200,Elitist,5438.429284182897,24,21,0.7
7,4,200,Elitist,5590.932303741755,24,21,0.7
7,5,200,Elitist,5964.835927410876,24,21,0.7
7,6,200,Elitist,5650.588725366832,24,21,0.7
7,7,200,Elitist,4973.40298161124,24,21,0.7
7,8,200,Elitist,9842.186224084742,24,21,0.7
7,9,200,Elitist,10469.334697750452,24,21,0.7
7,10,200,Elitist,5517.998184451072,24,21,0.7
7,11,200,Elitist,5357.830908028573,24,21,0.7
7,12,200,Elitist,5284.009872437477,24,21,0.7
7,13,200,Elitist,5609.749569584363,24,21,0.7
7,14,200,Elitist,5190.179986436394,24,21,0.7
7,15,200,Elitist,4947.73576608296,24,21,0.7
7,16,200,Elitist,5352.084611237231,24,21,0.7
7,17,200,Elitist,6343.4161512798355,24,21,0.7
7,18,200,Elitist,5571.692764741734,24,21,0.7
7,19,200,Elitist,4789.952293550685,24,21,0.7
6,0,200,Elitist,5470.548782006278,24,21,0.5
6,1,200,Elitist,4791.644007833411,24,21,0.5
