fid,iid,rep,vbs_auc,switch_budget,selected_algorithm,achieved_auc,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
1,6,0,372.0237007914273,50,Elitist,412.053315170479,412.053315170479,406.0816846535368,400.1674204233448,398.47360545025685,398.5308535704965,398.5332380631047,398.53877539020783,398.5348605911215,398.5345132307463,398.53451317708215,398.5345133020263,398.534513205301,398.53451330441726,398.5345132441344,398.5345132326349,398.5345132319844,398.5345132308116,398.5345132307463,398.5345132307471,398.5345132307463
1,6,1,284.71349486877915,50,BFGS,284.71349486877915,284.71349486877915,307.960039320378,315.2201534638216,315.7726946182909,315.4788591804179,315.47804782173625,315.4869117957361,315.478838438553,315.47886076879024,315.47887026614893,315.4788591804179,315.4788598210285,315.47885925445723,315.478859179537,315.4788591921623,315.4788591804179,315.478859180371,315.47885918041595,315.47885918041754,315.4788591804179
1,6,2,867.2277004105566,50,BFGS,867.2277004105566,867.2277004105566,1099.4348786291418,1038.2272766173426,1038.2363279592205,1038.1494574326966,1038.2934791269952,1038.2363279592205,1038.2361054406822,1038.2362399604483,1038.2365460379644,1038.236326441009,1038.2363401333105,1038.2363279592205,1038.2363282541132,1038.236327969206,1038.2363279629478,1038.2363279594786,1038.236327959223,1038.23632795922,1038.2363279592205
1,6,3,541.3032706886703,50,Elitist,639.9229190705422,639.9229190705422,605.2124296521298,604.5610288920172,604.3271658354203,604.5373646934931,604.6074501041038,604.5697856413524,604.5631995188124,604.5611653772252,604.5610753998482,604.5610288920172,604.5610427539302,604.5610288920172,604.5610291527399,604.5610289477731,604.5610288986758,604.5610288920384,604.5610288920576,604.5610288920208,604.5610288920172
1,6,4,473.26703193697983,50,BFGS,473.26703193697983,473.26703193697983,577.2075977634826,530.5891445963412,531.4876240475066,531.438603043761,531.4470298432072,531.4562993220865,531.4597433676756,531.4562922375317,531.4563072032838,531.4563015492508,531.4562991006422,531.4562992966632,531.4562996201372,531.4562993588405,531.4562993239944,531.4562993223732,531.4562993221068,531.4562993220878,531.4562993220865
1,6,5,491.294047375182,50,BFGS,491.294047375182,491.294047375182,549.3070599295173,567.9043034481916,570.7636943584841,570.58390753547,570.6071036363188,570.6126387043557,570.6140015533553,570.6138272246967,570.613785097373,570.6137917346769,570.613795212023,570.6137916418947,570.6137920691704,570.6137917378599,570.6137917340484,570.6137917346857,570.6137917346769,570.6137917346857,570.6137917346769
1,6,6,317.87535039877616,50,BFGS,317.87535039877616,317.87535039877616,336.0279900769798,339.4428510171633,340.4126574708607,340.44291327652263,340.4506092486211,340.4528086795899,340.4538246591577,340.4538643938702,340.4538465603148,340.45381120984644,340.4538111600613,340.4538111948762,340.45381122503335,340.4538111964174,340.4538111948999,340.4538111948762,340.45381119488394,340.4538111948762,340.4538111948762
1,6,7,485.1904649482752,50,Elitist,552.9660052255564,552.9660052255564,576.1513935744681,576.1808757145697,577.5996191138865,576.3518877737897,576.3777677328036,576.330503980224,576.1625363651829,576.1527959239961,576.1513532673941,576.1513935744681,576.1513935744681,576.1513935744681,576.1513935691103,576.1513937016507,576.1513935815707,576.1513935744681,576.151393574467,576.1513935744732,576.1513935744681
1,6,8,850.0841826429346,100,DE,902.8612266316096,910.6987322349862,902.8612266316096,885.134798625755,885.0509562895592,884.6924556738903,884.7273989454357,884.7084812600226,884.7090246323652,884.7088731786669,884.7088845531439,884.708924807419,884.7088909430904,884.7088910085421,884.7088911662321,884.70889100924,884.7088910132767,884.7088910093607,884.708891008645,884.7088910085427,884.7088910085421
1,6,9,464.2366688640584,50,BFGS,464.2366688640584,464.2366688640584,520.6127992038017,537.5129605889422,528.00890144775,528.930322053699,528.7904802698732,528.7766099095206,528.7705426218638,528.7689619052502,528.768859443321,528.768831016038,528.768828773548,528.768828773548,528.7688287726163,528.7688287738362,528.7688287740918,528.768828773548,528.7688287735479,528.768828773548,528.768828773548
1,6,10,401.9136732313444,50,Elitist,419.83555230683976,419.83555230683976,417.2469249445929,418.68394939930585,419.5297893953249,419.5947983619489,419.5959183277454,419.59708966507753,419.59714384429753,419.5971679320108,419.5971663594248,419.5971637904697,419.59716378277096,419.59716382546,419.5971637925588,419.5971637965236,419.5971637939293,419.5971637938551,419.5971637937852,419.5971637937768,419.5971637937768
