fid,iid,rep,a1_budget,algname,achieved_auc
1,1,0,200,BFGS,35185.19604077814
1,1,1,200,BFGS,35167.31424932677
1,1,2,200,BFGS,29953.35915636894
1,1,3,200,BFGS,36185.837243133115
1,1,4,200,BFGS,31615.544323959628
1,1,5,200,BFGS,32981.39099169945
1,1,6,200,BFGS,30658.29801683047
1,1,7,200,BFGS,37265.152123539716
1,1,8,200,BFGS,35656.991761700934
1,1,9,200,BFGS,34083.340596878916
1,1,10,200,BFGS,28252.776872499206
1,1,11,200,BFGS,36165.52681254415
1,1,12,200,BFGS,32796.62652916555
1,1,13,200,BFGS,28291.730583967408
1,1,14,200,BFGS,34508.85497864055
1,1,15,200,BFGS,39489.090188496906
1,1,16,200,BFGS,41449.901654026784
1,1,17,200,BFGS,38460.19463023649
1,1,18,200,BFGS,32101.40583462757
1,1,19,200,BFGS,30139.964278709776
1,2,0,200,BFGS,42415.8812585598
1,2,1,200,BFGS,51203.76306814778
1,2,2,200,BFGS,44488.797007033536
1,2,3,200,BFGS,42148.29143764403
1,2,4,200,BFGS,49344.53390582763
1,2,5,200,BFGS,38149.03968513853
1,2,6,200,BFGS,40149.829284420804
1,2,7,200,BFGS,38765.91578249433
1,2,8,200,BFGS,39505.54346261818
1,2,9,200,BFGS,44468.92371301896
1,2,10,200,BFGS,37734.55437117494
1,2,11,200,BFGS,39758.58543632709
1,2,12,200,BFGS,42858.88077186482
1,2,13,200,BFGS,38842.11678153881
1,2,14,200,BFGS,40610.361994728686
1,2,15,200,BFGS,45833.773037633844
1,2,16,200,BFGS,38408.83201718605
1,2,17,200,BFGS,51267.97220029217
1,2,18,200,BFGS,50046.74187860739
1,2,19,200,BFGS,42908.278332161324
1,3,0,200,BFGS,39602.94805161819
1,3,1,200,BFGS,38505.97507734203
1,3,2,200,BFGS,36219.7533765943
1,3,3,200,BFGS,35855.31261765416
1,3,4,200,BFGS,35849.03266554945
1,3,5,200,BFGS,35998.06853585935
1,3,6,200,BFGS,32838.53844416968
1,3,7,200,BFGS,37676.41287716764
1,3,8,200,BFGS,32986.57099906233
1,3,9,200,BFGS,33772.51317778637
1,3,10,200,BFGS,32202.117071280874
1,3,11,200,BFGS,37079.705304333285
1,3,12,200,BFGS,34625.116348473515
1,3,13,200,BFGS,33411.558225618086
1,3,14,200,BFGS,36577.72487389707
1,3,15,200,BFGS,38161.06077922817
1,3,16,200,BFGS,33219.69255610084
1,3,17,200,BFGS,36421.71021042098
1,3,18,200,BFGS,36994.754854759216
1,3,19,200,BFGS,37291.4181653806
1,4,0,200,BFGS,39986.30990610629
1,4,1,200,BFGS,39325.49317399162
1,4,2,200,BFGS,34384.98737437109
1,4,3,200,BFGS,38884.95148683388
1,4,4,200,BFGS,41475.81247759565
1,4,5,200,BFGS,33001.7667149529
1,4,6,200,BFGS,36296.64537655892
1,4,7,200,BFGS,34641.35938385019
1,4,8,200,BFGS,39804.970534049535
1,4,9,200,BFGS,32550.903791262117
1,4,10,200,BFGS,32575.031180051363
1,4,11,200,BFGS,27505.075673956064
1,4,12,200,BFGS,39104.79649257475
1,4,13,200,BFGS,32065.455957613387
1,4,14,200,BFGS,36065.32521618438
1,4,15,200,BFGS,35207.90158440118
1,4,16,200,BFGS,33239.07219540823
1,4,17,200,BFGS,40399.97589047316
1,4,18,200,BFGS,38848.90016701207
1,4,19,200,BFGS,37667.489662145985
1,5,0,200,BFGS,33399.32438638572
1,5,1,200,BFGS,28733.62680740319
1,5,2,200,BFGS,38892.30061499499
1,5,3,200,BFGS,27595.97406181714
1,5,4,200,BFGS,24271.401784831225
1,5,5,200,BFGS,37124.99577136634
1,5,6,200,BFGS,28064.901259863465
1,5,7,200,BFGS,31457.107563157882
1,5,8,200,BFGS,34466.80619354816
1,5,9,200,BFGS,29468.109697048403
1,5,10,200,BFGS,30374.96595426201
1,5,11,200,BFGS,27363.030270455198
1,5,12,200,BFGS,37395.16208446069
1,5,13,200,BFGS,29333.307809527367
1,5,14,200,BFGS,31366.70965195362
1,5,15,200,BFGS,32075.987871164187
1,5,16,200,BFGS,32172.969862687296
1,5,17,200,BFGS,41997.23927754168
1,5,18,200,BFGS,33441.72199590586
1,5,19,200,BFGS,32106.12128161307
1,6,0,200,BFGS,35610.6701262788
1,6,1,200,BFGS,32172.451583710998
1,6,2,200,BFGS,36762.65254323028
1,6,3,200,BFGS,45057.176654876646
1,6,4,200,BFGS,40864.965096448504
1,6,5,200,BFGS,39816.29454061154
1,6,6,200,BFGS,31695.308300991106
1,6,7,200,BFGS,33214.94227076636
1,6,8,200,BFGS,36901.450473278215
1,6,9,200,BFGS,40584.78915322067
1,6,10,200,BFGS,32043.26642052733
1,6,11,200,BFGS,36379.123775055465
1,6,12,200,BFGS,33156.2344202755
1,6,13,200,BFGS,37031.568984424295
1,6,14,200,BFGS,42321.62430702498
1,6,15,200,BFGS,38631.27749985973
1,6,16,200,BFGS,31450.87660736248
1,6,17,200,BFGS,34163.55619903958
1,6,18,200,BFGS,36936.446733128585
1,6,19,200,BFGS,37625.50216361664
1,7,0,200,BFGS,35767.31790676173
1,7,1,200,BFGS,34747.47692578464
1,7,2,200,BFGS,37758.21007180697
1,7,3,200,BFGS,47200.14564511322
1,7,4,200,BFGS,32511.118299053276
1,7,5,200,BFGS,33947.41942314912
1,7,6,200,BFGS,39357.83970356363
1,7,7,200,BFGS,38577.79925440451
1,7,8,200,BFGS,32232.693858712
1,7,9,200,BFGS,39545.17845944861
1,7,10,200,BFGS,33700.00646587958
1,7,11,200,BFGS,39100.82826636803
1,7,12,200,BFGS,34812.96513137356
1,7,13,200,BFGS,43995.47016989971
1,7,14,200,BFGS,38812.56785551335
1,7,15,200,BFGS,40102.494625468484
1,7,16,200,BFGS,36277.90650840768
1,7,17,200,BFGS,37329.90573097903
1,7,18,200,BFGS,40302.50258896236
1,7,19,200,BFGS,35070.42415945909
2,1,0,200,BFGS,1169745435.7996547
2,1,1,200,BFGS,1482681310.0573874
2,1,2,200,BFGS,1572277778.6670246
2,1,3,200,BFGS,1263715230.7860696
2,1,4,200,BFGS,1386442727.7865024
2,1,5,200,BFGS,1690589905.78581
2,1,6,200,BFGS,1503441694.5480049
2,1,7,200,BFGS,1334843698.5008078
2,1,8,200,BFGS,1055025014.8420058
2,1,9,200,BFGS,1391400715.092163
2,1,10,200,BFGS,1486179331.5488675
2,1,11,200,BFGS,1568518173.0007277
2,1,12,200,BFGS,1394370724.6833034
2,1,13,200,BFGS,970955586.3252068
2,1,14,200,BFGS,1579323677.4282854
2,1,15,200,BFGS,1795570560.1228151
2,1,16,200,BFGS,1580613019.1286557
2,1,17,200,BFGS,1706260127.9827635
2,1,18,200,BFGS,1324050105.0112014
2,1,19,200,BFGS,1427838721.3203192
2,2,0,200,BFGS,1795145619.6457646
2,2,1,200,BFGS,1874369107.102213
2,2,2,200,BFGS,1788815973.5199397
2,2,3,200,BFGS,1793258447.247051
2,2,4,200,BFGS,2083297960.0660112
2,2,5,200,BFGS,1792010281.1346598
2,2,6,200,BFGS,2034971895.5412471
2,2,7,200,BFGS,1843533299.4923408
2,2,8,200,BFGS,2117559474.609752
2,2,9,200,BFGS,1802611792.2302058
2,2,10,200,BFGS,1620086448.5510387
2,2,11,200,BFGS,1260386520.6991248
2,2,12,200,BFGS,2471027665.915062
2,2,13,200,BFGS,1621090120.3581948
2,2,14,200,BFGS,1771406665.512966
2,2,15,200,BFGS,2693090344.8414507
2,2,16,200,BFGS,1490024619.5982742
2,2,17,200,BFGS,1632428003.2232947
2,2,18,200,BFGS,1761236658.416716
2,2,19,200,BFGS,1310361415.720829
2,3,0,200,BFGS,1733319698.7275698
2,3,1,200,BFGS,1423536481.2494235
2,3,2,200,BFGS,1751569277.8238292
2,3,3,200,BFGS,2141315655.0305526
2,3,4,200,BFGS,1746695738.964569
2,3,5,200,BFGS,1523018929.1245499
2,3,6,200,BFGS,1772164340.750219
2,3,7,200,BFGS,1627264009.1890712
2,3,8,200,BFGS,1688557780.4473267
2,3,9,200,BFGS,1266016172.8296037
2,3,10,200,BFGS,1141249776.4548476
2,3,11,200,BFGS,2228542323.8451014
2,3,12,200,BFGS,1703229580.745144
2,3,13,200,BFGS,1760898644.2510545
2,3,14,200,BFGS,2119411531.4410763
2,3,15,200,BFGS,1713667187.0448923
2,3,16,200,BFGS,1634003617.8081906
2,3,17,200,BFGS,1583884301.4282382
2,3,18,200,BFGS,1470064938.7798896
2,3,19,200,BFGS,2040803730.436028
2,4,0,200,BFGS,1624467849.9241428
2,4,1,200,BFGS,1574622918.110707
2,4,2,200,BFGS,1772621160.1779692
2,4,3,200,BFGS,1374974511.3657846
2,4,4,200,BFGS,1497417233.527869
