fid,iid,rep,best_budget
1,1.0,0.0,1000
1,1.0,1.0,1000
1,1.0,2.0,1000
1,1.0,3.0,1000
1,1.0,4.0,1000
1,1.0,5.0,1000
1,1.0,6.0,1000
1,1.0,7.0,1000
1,1.0,8.0,1000
1,1.0,9.0,1000
1,1.0,10.0,1000
1,1.0,11.0,1000
1,1.0,12.0,1000
1,1.0,13.0,1000
1,1.0,14.0,1000
1,1.0,15.0,1000
1,1.0,16.0,1000
1,1.0,17.0,1000
1,1.0,18.0,1000
1,1.0,19.0,1000
1,2.0,0.0,1000
1,2.0,1.0,1000
1,2.0,2.0,1000
1,2.0,3.0,1000
1,2.0,4.0,1000
1,2.0,5.0,1000
1,2.0,6.0,1000
1,2.0,7.0,1000
1,2.0,8.0,1000
1,2.0,9.0,1000
1,2.0,10.0,1000
1,2.0,11.0,1000
1,2.0,12.0,1000
1,2.0,13.0,1000
1,2.0,14.0,1000
1,2.0,15.0,1000
1,2.0,16.0,1000
1,2.0,17.0,1000
1,2.0,18.0,1000
1,2.0,19.0,1000
1,3.0,0.0,1000
1,3.0,1.0,1000
1,3.0,2.0,1000
1,3.0,3.0,1000
1,3.0,4.0,1000
1,3.0,5.0,1000
1,3.0,6.0,1000
1,3.0,7.0,1000
1,3.0,8.0,1000
1,3.0,9.0,1000
1,3.0,10.0,1000
1,3.0,11.0,1000
1,3.0,12.0,1000
1,3.0,13.0,1000
1,3.0,14.0,1000
1,3.0,15.0,1000
1,3.0,16.0,1000
1,3.0,17.0,1000
1,3.0,18.0,1000
1,3.0,19.0,1000
1,4.0,0.0,1000
1,4.0,1.0,1000
1,4.0,2.0,1000
1,4.0,3.0,1000
1,4.0,4.0,1000
1,4.0,5.0,1000
1,4.0,6.0,1000
1,4.0,7.0,1000
1,4.0,8.0,1000
1,4.0,9.0,1000
1,4.0,10.0,1000
1,4.0,11.0,1000
1,4.0,12.0,1000
1,4.0,13.0,1000
1,4.0,14.0,1000
1,4.0,15.0,1000
1,4.0,16.0,1000
1,4.0,17.0,1000
1,4.0,18.0,1000
1,4.0,19.0,1000
1,5.0,0.0,1000
1,5.0,1.0,1000
1,5.0,2.0,1000
1,5.0,3.0,1000
1,5.0,4.0,1000
1,5.0,5.0,1000
1,5.0,6.0,1000
1,5.0,7.0,1000
1,5.0,8.0,1000
1,5.0,9.0,1000
1,5.0,10.0,1000
1,5.0,11.0,1000
1,5.0,12.0,1000
1,5.0,13.0,1000
1,5.0,14.0,1000
1,5.0,15.0,1000
1,5.0,16.0,1000
1,5.0,17.0,1000
1,5.0,18.0,1000
1,5.0,19.0,1000
2,1.0,0.0,700
2,1.0,1.0,700
2,1.0,2.0,600
2,1.0,3.0,700
2,1.0,4.0,550
2,1.0,5.0,700
2,1.0,6.0,700
2,1.0,7.0,550
2,1.0,8.0,650
2,1.0,9.0,750
2,1.0,10.0,750
2,1.0,11.0,750
2,1.0,12.0,700
2,1.0,13.0,750
2,1.0,14.0,650
2,1.0,15.0,750
2,1.0,16.0,650
2,1.0,17.0,300
2,1.0,18.0,600
2,1.0,19.0,600
2,2.0,0.0,750
2,2.0,1.0,750
2,2.0,2.0,750
