fid,iid,rep,optimal_budget
1,1,0,900
1,1,1,750
1,1,2,1000
1,1,3,1000
1,1,4,700
1,1,5,1000
1,1,6,900
1,1,7,1000
1,1,8,1000
1,1,9,700
1,1,10,1000
1,1,11,1000
1,1,12,850
1,1,13,1000
1,1,14,700
1,1,15,700
1,1,16,1000
1,1,17,700
1,1,18,900
1,1,19,700
1,2,0,1000
1,2,1,850
1,2,2,850
1,2,3,1000
1,2,4,700
1,2,5,1000
1,2,6,900
1,2,7,800
1,2,8,950
1,2,9,800
1,2,10,900
1,2,11,700
1,2,12,700
1,2,13,850
1,2,14,700
1,2,15,800
1,2,16,950
1,2,17,850
1,2,18,750
1,2,19,1000
1,3,0,850
1,3,1,850
1,3,2,1000
1,3,3,1000
1,3,4,850
1,3,5,700
1,3,6,950
1,3,7,700
1,3,8,900
1,3,9,800
1,3,10,1000
1,3,11,900
1,3,12,700
1,3,13,750
1,3,14,700
1,3,15,800
1,3,16,1000
1,3,17,700
1,3,18,700
1,3,19,1000
1,4,0,1000
1,4,1,1000
1,4,2,1000
1,4,3,1000
1,4,4,900
1,4,5,700
1,4,6,850
1,4,7,950
1,4,8,1000
1,4,9,1000
1,4,10,1000
1,4,11,700
1,4,12,800
1,4,13,1000
1,4,14,750
1,4,15,1000
1,4,16,1000
1,4,17,1000
1,4,18,700
1,4,19,1000
1,5,0,700
1,5,1,700
1,5,2,800
1,5,3,700
1,5,4,750
1,5,5,700
1,5,6,700
1,5,7,700
1,5,8,850
1,5,9,700
1,5,10,1000
1,5,11,700
1,5,12,800
1,5,13,700
1,5,14,700
1,5,15,700
1,5,16,1000
1,5,17,700
1,5,18,800
1,5,19,800
2,1,0,550
2,1,1,300
2,1,2,550
2,1,3,100
2,1,4,150
2,1,5,450
2,1,6,500
2,1,7,750
2,1,8,200
2,1,9,350
2,1,10,450
2,1,11,200
2,1,12,750
2,1,13,750
2,1,14,300
2,1,15,700
2,1,16,250
2,1,17,550
2,1,18,600
2,1,19,700
2,2,0,450
2,2,1,450
2,2,2,300
2,2,3,600
2,2,4,50
2,2,5,550
2,2,6,100
2,2,7,50
2,2,8,550
2,2,9,600
2,2,10,350
2,2,11,700
2,2,12,400
2,2,13,600
2,2,14,450
2,2,15,500
2,2,16,800
2,2,17,500
2,2,18,450
2,2,19,200
2,3,0,350
2,3,1,700
2,3,2,500
2,3,3,400
2,3,4,150
2,3,5,550
2,3,6,300
2,3,7,250
2,3,8,150
2,3,9,450
2,3,10,450
2,3,11,750
2,3,12,150
2,3,13,150
2,3,14,350
2,3,15,150
2,3,16,600
2,3,17,600
2,3,18,750
2,3,19,700
2,4,0,400
2,4,1,250
2,4,2,550
2,4,3,50
2,4,4,300
2,4,5,350
2,4,6,650
2,4,7,350
2,4,8,750
2,4,9,450
2,4,10,450
2,4,11,200
2,4,12,400
2,4,13,200
2,4,14,350
2,4,15,550
2,4,16,600
2,4,17,400
2,4,18,50
2,4,19,550
2,5,0,600
2,5,1,500
2,5,2,450
2,5,3,500
2,5,4,400
2,5,5,300
2,5,6,500
2,5,7,650
2,5,8,500
2,5,9,750
2,5,10,600
2,5,11,300
2,5,12,650
2,5,13,450
2,5,14,200
2,5,15,650
2,5,16,400
