fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
1,6,0,1.6484591469634324e-12,2.7853275241795927e-12,1.0459189070388676e-11,1.0459189070388676e-11,1.6484591469634324e-12,2.7853275241795927e-12,1.6484591469634324e-12,1.0459189070388676e-11,1.6484591469634324e-12,1.6484591469634324e-12,1.0459189070388676e-11,1.6484591469634324e-12,1.0459189070388676e-11,1.6484591469634324e-12,1.0459189070388676e-11,1.0459189070388676e-11,1.0459189070388676e-11,1.6484591469634324e-12,1.0459189070388676e-11,1.6484591469634324e-12,1.6484591469634324e-12,1.6484591469634324e-12,1.6484591469634324e-12
1,6,1,1.1652900866465645e-12,4.774847184307873e-12,4.774847184307873e-12,1.1652900866465645e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,1.1652900866465645e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12,4.774847184307873e-12
1,6,2,1.7337242752546445e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12,3.922195901395753e-12
1,6,3,1.4495071809506044e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,2.8137492336099967e-12,2.8137492336099967e-12,2.8137492336099967e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,2.8137492336099967e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12,3.893774191965349e-12
1,6,4,2.131628207280301e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,3.865352482534945e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12,5.542233338928781e-12
1,6,5,1.8474111129762605e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12,3.154809746774845e-12
1,6,6,1.9610979506978765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12,2.586375558166765e-12
1,6,7,3.552713678800501e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,3.552713678800501e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,3.552713678800501e-12,3.552713678800501e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12,4.519051799434237e-12
1,6,8,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12,1.7905676941154525e-12
1,6,9,2.444267011014745e-12,2.444267011014745e-12,2.444267011014745e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,2.444267011014745e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,2.444267011014745e-12,3.467448550509289e-12,2.444267011014745e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,3.467448550509289e-12,2.444267011014745e-12,2.444267011014745e-12
