fid,iid,rep,alg_B50,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1.0,0.0,Non-elitist,BFGS,MLSL,DE,BFGS,BFGS,DE,MLSL,DE,Elitist,DE,MLSL,MLSL,DE,DE,DE,Non-elitist,Elitist,PSO,Non-elitist
1,1.0,1.0,Non-elitist,MLSL,DE,DE,BFGS,DE,Elitist,MLSL,MLSL,Elitist,Elitist,Elitist,MLSL,Elitist,DE,Non-elitist,Elitist,MLSL,PSO,Non-elitist
1,1.0,2.0,DE,MLSL,Elitist,MLSL,BFGS,MLSL,Elitist,DE,MLSL,DE,MLSL,MLSL,Non-elitist,DE,Non-elitist,DE,BFGS,MLSL,Elitist,Non-elitist
1,1.0,3.0,MLSL,MLSL,MLSL,Elitist,BFGS,MLSL,Elitist,MLSL,MLSL,DE,MLSL,MLSL,DE,MLSL,Elitist,DE,Elitist,MLSL,PSO,Non-elitist
1,1.0,4.0,DE,DE,BFGS,DE,BFGS,MLSL,DE,MLSL,MLSL,MLSL,MLSL,Elitist,DE,MLSL,Elitist,DE,Elitist,MLSL,PSO,Non-elitist
1,1.0,5.0,MLSL,MLSL,DE,Elitist,BFGS,MLSL,Elitist,Non-elitist,Non-elitist,DE,Elitist,Non-elitist,MLSL,Elitist,DE,DE,PSO,MLSL,Non-elitist,Non-elitist
1,1.0,6.0,Elitist,MLSL,MLSL,DE,DE,MLSL,Elitist,MLSL,MLSL,DE,MLSL,MLSL,MLSL,Non-elitist,Elitist,DE,Elitist,MLSL,BFGS,Non-elitist
1,1.0,7.0,Non-elitist,BFGS,MLSL,Elitist,DE,MLSL,Elitist,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,MLSL,DE,DE,BFGS,PSO,PSO,Non-elitist
1,1.0,8.0,Non-elitist,MLSL,MLSL,BFGS,BFGS,MLSL,Elitist,Elitist,DE,BFGS,Elitist,Elitist,MLSL,MLSL,DE,Non-elitist,Elitist,Elitist,PSO,Non-elitist
1,1.0,9.0,MLSL,MLSL,DE,Elitist,DE,MLSL,MLSL,MLSL,DE,DE,Elitist,Non-elitist,DE,Elitist,DE,DE,DE,MLSL,Non-elitist,Non-elitist
1,1.0,10.0,MLSL,MLSL,Non-elitist,Elitist,DE,MLSL,MLSL,MLSL,MLSL,DE,MLSL,MLSL,MLSL,MLSL,Elitist,DE,Elitist,MLSL,PSO,Non-elitist
1,1.0,11.0,MLSL,DE,MLSL,Elitist,Non-elitist,MLSL,Elitist,MLSL,MLSL,DE,MLSL,Elitist,MLSL,MLSL,DE,DE,DE,MLSL,PSO,Non-elitist
1,1.0,12.0,DE,MLSL,MLSL,DE,MLSL,MLSL,BFGS,DE,MLSL,DE,Non-elitist,MLSL,MLSL,Non-elitist,DE,Elitist,Elitist,MLSL,BFGS,Non-elitist
1,1.0,13.0,Non-elitist,Non-elitist,DE,Non-elitist,Non-elitist,DE,BFGS,Elitist,DE,MLSL,MLSL,MLSL,MLSL,DE,Elitist,Non-elitist,BFGS,MLSL,PSO,Non-elitist
1,1.0,14.0,Elitist,Non-elitist,MLSL,MLSL,Non-elitist,MLSL,MLSL,DE,MLSL,DE,Non-elitist,Elitist,DE,MLSL,DE,DE,Non-elitist,PSO,PSO,Non-elitist
1,1.0,15.0,MLSL,MLSL,BFGS,MLSL,Elitist,DE,DE,MLSL,Non-elitist,Non-elitist,DE,MLSL,MLSL,DE,DE,BFGS,Elitist,MLSL,PSO,Non-elitist
1,1.0,16.0,Non-elitist,MLSL,MLSL,Elitist,BFGS,BFGS,MLSL,MLSL,MLSL,DE,MLSL,Elitist,MLSL,Non-elitist,Elitist,DE,Elitist,PSO,BFGS,Non-elitist
1,1.0,17.0,Non-elitist,DE,DE,MLSL,Non-elitist,MLSL,MLSL,MLSL,MLSL,DE,MLSL,MLSL,MLSL,MLSL,DE,DE,Elitist,PSO,Non-elitist,Non-elitist
1,1.0,18.0,Elitist,MLSL,Elitist,Elitist,DE,MLSL,MLSL,DE,MLSL,DE,MLSL,DE,DE,DE,DE,DE,MLSL,PSO,PSO,Non-elitist
1,1.0,19.0,DE,BFGS,MLSL,Elitist,DE,MLSL,Elitist,DE,DE,DE,MLSL,MLSL,DE,MLSL,Elitist,DE,BFGS,MLSL,PSO,Non-elitist
1,2.0,0.0,Non-elitist,Elitist,Elitist,Elitist,MLSL,MLSL,MLSL,Non-elitist,Non-elitist,BFGS,MLSL,Elitist,DE,MLSL,DE,Elitist,PSO,Elitist,MLSL,Non-elitist
1,2.0,1.0,Non-elitist,MLSL,MLSL,DE,DE,DE,BFGS,Elitist,DE,DE,Non-elitist,MLSL,DE,Elitist,DE,Elitist,DE,PSO,MLSL,Non-elitist
1,2.0,2.0,Elitist,Elitist,MLSL,DE,Non-elitist,Elitist,Elitist,Elitist,Elitist,Elitist,Elitist,MLSL,DE,Elitist,Elitist,DE,PSO,PSO,BFGS,Non-elitist
