fid,iid,rep,budget,pred_t1,pred_t2,pred_t3
1,1.0,0.0,50,-12.0,-12.0,-11.92687569164066
1,1.0,0.0,100,-11.999705872544649,-11.861421279582395,-12.0
1,1.0,0.0,150,-11.913827819715456,-11.901761417961822,-11.988917089283724
1,1.0,0.0,200,-11.781001925298984,-11.829273823226202,-11.693993483794172
1,1.0,0.0,250,-11.908393640730301,-12.0,-12.0
1,1.0,0.0,300,-12.0,-12.0,-11.935068795120774
1,1.0,0.0,350,-12.0,-12.0,-12.0
1,1.0,0.0,400,-12.0,-12.0,-12.0
1,1.0,0.0,450,-12.0,-12.0,-12.0
1,1.0,0.0,500,-11.999851652053554,-12.0,-12.0
1,1.0,0.0,550,-12.0,-12.0,-12.0
1,1.0,0.0,600,-12.0,-12.0,-12.0
1,1.0,0.0,650,-11.764095852770007,-12.0,-11.976734530488793
1,1.0,0.0,700,-11.946420486438747,-12.0,-12.0
1,1.0,0.0,750,-12.0,-12.0,-12.0
1,1.0,0.0,800,-12.0,-11.467428651437565,-12.0
1,1.0,0.0,850,-11.847183091635078,-12.0,-12.0
1,1.0,0.0,900,-12.0,-12.0,
1,1.0,0.0,950,-12.0,,
1,1.0,1.0,50,-11.872699979554335,-11.84562951734668,-11.816994401210147
1,1.0,1.0,100,-11.606322118776385,-11.663254203938925,-11.760050445335777
1,1.0,1.0,150,-11.798923547675994,-11.810301226824906,-11.753538512310072
1,1.0,1.0,200,-11.677429999107014,-11.890489502002328,-11.570944435590206
1,1.0,1.0,250,-11.83501328882651,-11.946740263107262,-11.99983994037357
1,1.0,1.0,300,-12.0,-11.900257839529191,-11.999866323828478
1,1.0,1.0,350,-12.0,-12.0,-12.0
1,1.0,1.0,400,-12.0,-12.0,-12.0
1,1.0,1.0,450,-11.997906926352703,-12.0,-11.95895936762129
1,1.0,1.0,500,-12.0,-11.995483783102129,-11.911497848194747
1,1.0,1.0,550,-12.0,-12.0,-12.0
1,1.0,1.0,600,-12.0,-12.0,-12.0
1,1.0,1.0,650,-12.0,-12.0,-12.0
1,1.0,1.0,700,-12.0,-12.0,-12.0
1,1.0,1.0,750,-11.554650701066945,-11.748635775750047,-12.0
1,1.0,1.0,800,-12.0,-12.0,-12.0
1,1.0,1.0,850,-11.942675228053865,-12.0,-12.0
1,1.0,1.0,900,-12.0,-11.905231483708777,
1,1.0,1.0,950,-11.841898398789596,,
1,1.0,2.0,50,-11.648918577749443,-11.850028986804825,-11.761687069190536
1,1.0,2.0,100,-11.802077107802083,-11.805662466490674,-11.980573544935048
1,1.0,2.0,150,-10.955794492603918,-11.286358502893565,-11.335009073446667
1,1.0,2.0,200,-11.572253132493637,-11.801884901436221,-10.847317131696805
1,1.0,2.0,250,-11.858302286894261,-11.811889161200918,-11.702253377153214
1,1.0,2.0,300,-12.0,-11.999579956995744,-11.734607596412507
1,1.0,2.0,350,-12.0,-12.0,-11.986981713992101
1,1.0,2.0,400,-12.0,-12.0,-12.0
1,1.0,2.0,450,-12.0,-11.71654067867185,-12.0
1,1.0,2.0,500,-11.852397346402329,-11.914776811072054,-11.847473825509233
1,1.0,2.0,550,-11.44617601469427,-11.842747850713216,-11.690047022448855
1,1.0,2.0,600,-12.0,-12.0,-12.0
1,1.0,2.0,650,-12.0,-12.0,-12.0
1,1.0,2.0,700,-12.0,-12.0,-12.0
1,1.0,2.0,750,-12.0,-12.0,-12.0
1,1.0,2.0,800,-12.0,-12.0,-11.722089203059474
1,1.0,2.0,850,-12.0,-12.0,-12.0
1,1.0,2.0,900,-12.0,-11.863734101570556,
1,1.0,2.0,950,-11.531857250382807,,
1,1.0,3.0,50,-11.648679656927316,-11.858172269864182,-11.615438452471853
1,1.0,3.0,100,-11.493408312500781,-11.769538020141825,-11.93677198759607
1,1.0,3.0,150,-11.379932308081845,-11.599394322655487,-11.172218343406794
1,1.0,3.0,200,-11.251799284157595,-11.71005342047272,-10.867616663903242
1,1.0,3.0,250,-11.629120990404953,-11.664483047061912,-11.703759848704697
1,1.0,3.0,300,-11.578703244794124,-11.741844515313144,-11.994894475607035
1,1.0,3.0,350,-12.0,-11.999493144516308,-11.998352665114451
1,1.0,3.0,400,-11.999735553660683,-11.938622595885885,-11.999611770267808
1,1.0,3.0,450,-11.631681959612086,-10.419995545916189,-9.554843173395268
1,1.0,3.0,500,-11.845037927846846,-11.994962446033188,-11.456436904354419
1,1.0,3.0,550,-11.998228162480927,-10.531049345425513,-11.292157364578518
1,1.0,3.0,600,-11.779528820957712,-11.728895388296385,-11.4534502957887
1,1.0,3.0,650,-11.771786354289228,-11.70073604179801,-11.976734530488793
1,1.0,3.0,700,-11.358879110770808,-11.895979816771746,-12.0
1,1.0,3.0,750,-11.691002835564813,-11.748635775750047,-12.0
1,1.0,3.0,800,-12.0,-12.0,-12.0
1,1.0,3.0,850,-11.799550809449347,-12.0,-11.832764258651828
1,1.0,3.0,900,-12.0,-11.580554566600364,
1,1.0,3.0,950,-10.912981778578256,,
1,1.0,4.0,50,-11.41321386871582,-11.708201256669009,-11.688562760831195
1,1.0,4.0,100,-11.229112148906806,-11.528489376468274,-11.706560631005228
1,1.0,4.0,150,-11.406301036284393,-11.478941151708643,-11.452332973705248
1,1.0,4.0,200,-11.209580714340259,-11.845062827345922,-11.048916800256107
1,1.0,4.0,250,-11.75684382406667,-11.82027646083882,-11.703759848704697
1,1.0,4.0,300,-12.0,-11.831878296983684,-11.949706418663197
1,1.0,4.0,350,-12.0,-11.999493144516308,-11.97253852793869
1,1.0,4.0,400,-9.291531337481466,-12.0,-11.044342569308863
1,1.0,4.0,450,-11.865085523080884,-11.102898202298833,-11.961507454213676
1,1.0,4.0,500,-11.852397346402329,-9.17257876196853,-11.194799120894693
1,1.0,4.0,550,-10.013027511267733,-10.1476980521595,-11.304451031178756
1,1.0,4.0,600,-11.53525562098435,-11.864561736632023,-11.41692606415133
1,1.0,4.0,650,-11.621266350066538,-11.632098500183016,-11.959095554378301
1,1.0,4.0,700,-11.370831313740645,-11.878803382694834,-12.0
1,1.0,4.0,750,-11.873672425624187,-11.583423317138083,-12.0
1,1.0,4.0,800,-12.0,-11.690653120683656,-12.0
1,1.0,4.0,850,-11.838378221135857,-12.0,-11.832764258651828
1,1.0,4.0,900,-12.0,-11.675323082891587,
1,1.0,4.0,950,-11.694377525833568,,
1,1.0,5.0,50,-11.88240167773702,-12.0,-11.735862935321942
1,1.0,5.0,100,-11.553120366810777,-11.506748835993129,-11.492090043250201
1,1.0,5.0,150,-11.375721193237545,-11.769549804541722,-11.499858380363467
1,1.0,5.0,200,-11.609073220223772,-11.643623045744507,-11.515342020012707
1,1.0,5.0,250,-11.843204601075442,-11.844206586223093,-12.0
1,1.0,5.0,300,-11.739643475262664,-11.792310316597327,-11.987153103896285
1,1.0,5.0,350,-12.0,-12.0,-11.72883259611414
1,1.0,5.0,400,-12.0,-11.907933893828828,-11.964970747171826
1,1.0,5.0,450,-11.928567066895921,-11.939241325128542,-11.951880532444257
1,1.0,5.0,500,-12.0,-11.995483783102129,-11.561345768226518
1,1.0,5.0,550,-11.900829844069222,-11.621105744218083,-12.0
1,1.0,5.0,600,-11.890367725951187,-12.0,-12.0
1,1.0,5.0,650,-11.914201045238126,-12.0,-12.0
1,1.0,5.0,700,-11.851412188264353,-11.992724289551768,-12.0
1,1.0,5.0,750,-11.475884005083374,-11.748635775750047,-12.0
1,1.0,5.0,800,-11.44588203405289,-12.0,-12.0
1,1.0,5.0,850,-11.848371008744964,-12.0,-12.0
1,1.0,5.0,900,-12.0,-11.69470399985986,
1,1.0,5.0,950,-11.532853504792756,,
1,1.0,6.0,50,-11.732701855423132,-11.872984247488873,-11.92687569164066
1,1.0,6.0,100,-11.521396510811384,-11.508844599354584,-11.850976185110975
1,1.0,6.0,150,-11.648288502227194,-11.770931141483855,-11.443414993969071
1,1.0,6.0,200,-11.379940880294075,-11.66688957396312,-10.971797657578268
1,1.0,6.0,250,-11.715431990372949,-11.767016723946082,-11.703759848704697
1,1.0,6.0,300,-11.999270128103483,-11.789817344998594,-11.996585671441863
1,1.0,6.0,350,-12.0,-12.0,-12.0
1,1.0,6.0,400,-9.291399114311808,-12.0,-11.041058729382732
1,1.0,6.0,450,-11.62130249719001,-10.498876659509504,-9.640604563710156
1,1.0,6.0,500,-10.542099450479926,-9.123854020989558,-11.224302746066586
1,1.0,6.0,550,-10.065788847181773,-10.445883572798346,-11.308517449044215
1,1.0,6.0,600,-11.779528820957712,-12.0,-11.376882355792048
1,1.0,6.0,650,-11.52416391002048,-12.0,-12.0
1,1.0,6.0,700,-11.146974845330785,-12.0,-12.0
1,1.0,6.0,750,-11.50771853975752,-11.748635775750047,-12.0
1,1.0,6.0,800,-12.0,-11.675084845380697,-12.0
1,1.0,6.0,850,-11.503591528564346,-12.0,-11.833680206232268
1,1.0,6.0,900,-12.0,-11.905231483708777,
1,1.0,6.0,950,-11.375609150672235,,
1,1.0,7.0,50,-11.585765196103566,-11.800184723028794,-11.780627074921977
1,1.0,7.0,100,-11.320934491835962,-11.4166001784224,-11.573155794551859
1,1.0,7.0,150,-11.069700226213689,-11.483760222029582,-11.124001063212345
1,1.0,7.0,200,-10.893427684916688,-11.628709976874209,-10.693442021886664
1,1.0,7.0,250,-11.61097541653035,-11.664483047061912,-11.700616319401865
1,1.0,7.0,300,-11.999270128103483,-11.742410641274043,-11.991115794090677
1,1.0,7.0,350,-12.0,-12.0,-11.728388341103454
1,1.0,7.0,400,-11.999735553660683,-11.907933893828828,-11.940223307501824
1,1.0,7.0,450,-11.679599420109517,-10.231953243274173,-9.617481796172797
1,1.0,7.0,500,-10.538186700666936,-9.31400869357366,-10.712811210427507
1,1.0,7.0,550,-9.856810792320047,-10.361847514957997,-11.23570634934106
1,1.0,7.0,600,-11.250658515570509,-11.358121718457376,-11.068727275659235
1,1.0,7.0,650,-11.667280560231449,-11.008994443925975,-11.976734530488793
1,1.0,7.0,700,-11.002089713724862,-11.793242974349116,-11.566301721110902
1,1.0,7.0,750,-11.55361049158644,-11.33205909288813,-11.70374036971011
1,1.0,7.0,800,-12.0,-11.158081772121221,-11.902803158874567
1,1.0,7.0,850,-11.34375035530116,-11.77096502318575,-11.89407675520367
1,1.0,7.0,900,-12.0,-11.241141275602725,
1,1.0,7.0,950,-11.69095510600316,,
1,1.0,8.0,50,-11.462128075530801,-11.965166097274542,-11.834811377549876
1,1.0,8.0,100,-11.682969520900782,-11.515379327001988,-11.653499184892286
1,1.0,8.0,150,-11.889774010600922,-12.0,-11.667534525221885
1,1.0,8.0,200,-11.73193882856677,-11.665948682799035,-11.369814738814046
1,1.0,8.0,250,-11.823334625812983,-11.946740263107262,-12.0
1,1.0,8.0,300,-11.578703244794124,-11.966566415770055,-11.952853394878288
1,1.0,8.0,350,-12.0,-12.0,-12.0
1,1.0,8.0,400,-12.0,-12.0,-12.0
1,1.0,8.0,450,-11.997906926352703,-12.0,-11.95895936762129
1,1.0,8.0,500,-12.0,-11.995483783102129,-11.911497848194747
1,1.0,8.0,550,-12.0,-12.0,-12.0
1,1.0,8.0,600,-12.0,-12.0,-12.0
1,1.0,8.0,650,-12.0,-12.0,-12.0
1,1.0,8.0,700,-12.0,-12.0,-12.0
1,1.0,8.0,750,-11.817330409940626,-11.748635775750047,-12.0
1,1.0,8.0,800,-12.0,-12.0,-12.0
1,1.0,8.0,850,-11.967321751690587,-12.0,-12.0
1,1.0,8.0,900,-12.0,-11.905231483708777,
1,1.0,8.0,950,-11.536558393894524,,
1,1.0,9.0,50,-12.0,-12.0,-11.92687569164066
1,1.0,9.0,100,-11.530111468073088,-11.50679068644591,-11.519231759307758
1,1.0,9.0,150,-11.617883810788316,-11.737934107581902,-11.601871881736677
1,1.0,9.0,200,-11.80389875197062,-11.73732500717425,-11.39726223077887
1,1.0,9.0,250,-11.382442949867436,-11.54741379507964,-11.537913958094757
1,1.0,9.0,300,-11.08386447242251,-11.589837244565485,-11.416049724685056
1,1.0,9.0,350,-12.0,-12.0,-11.953274854973508
1,1.0,9.0,400,-11.998275995064159,-11.148704202053246,-11.890288081961033
1,1.0,9.0,450,-11.928567066895921,-11.939241325128542,-11.951880532444257
1,1.0,9.0,500,-12.0,-11.850554531965882,-11.712608626171054
1,1.0,9.0,550,-12.0,-11.6925221424455,-12.0
1,1.0,9.0,600,-11.89164938930562,-12.0,-12.0
1,1.0,9.0,650,-12.0,-12.0,-12.0
1,1.0,9.0,700,-11.851412188264353,-12.0,-12.0
1,1.0,9.0,750,-11.50771853975752,-11.748635775750047,-12.0
1,1.0,9.0,800,-11.44588203405289,-12.0,-12.0
1,1.0,9.0,850,-11.942675228053865,-12.0,-12.0
1,1.0,9.0,900,-12.0,-11.69470399985986,
1,1.0,9.0,950,-11.532853504792756,,
1,1.0,10.0,50,-11.42841745803309,-11.965166097274542,-11.92687569164066
1,1.0,10.0,100,-11.612013427850648,-11.606008961578357,-11.822559327542368
1,1.0,10.0,150,-11.522910518066585,-11.770633887891915,-11.434602054975644
1,1.0,10.0,200,-11.501944636581397,-11.731009481593228,-11.148409827291934
1,1.0,10.0,250,-11.539331009673143,-11.79383895311517,-11.905908343019378
1,1.0,10.0,300,-12.0,-11.926846016446321,-11.955445832252092
1,1.0,10.0,350,-11.781307107467777,-11.683603410858652,-12.0
1,1.0,10.0,400,-9.148328864741941,-12.0,-11.041058729382732
1,1.0,10.0,450,-11.62130249719001,-10.498876659509504,-9.640604563710156
1,1.0,10.0,500,-11.852397346402329,-9.30600877411143,-11.33463386636032
1,1.0,10.0,550,-9.904403323734307,-10.361787634995842,-11.308517449044215
1,1.0,10.0,600,-12.0,-12.0,-11.366693675340429
1,1.0,10.0,650,-11.842802037897336,-12.0,-12.0
1,1.0,10.0,700,-11.554511039363984,-12.0,-11.566301721110902
1,1.0,10.0,750,-11.782337630594501,-11.748635775750047,-11.905233079902704
1,1.0,10.0,800,-12.0,-12.0,-12.0
1,1.0,10.0,850,-11.852422906610554,-12.0,-12.0
1,1.0,10.0,900,-12.0,-11.692045060832477,
1,1.0,10.0,950,-11.523130023628262,,
1,1.0,11.0,50,-11.598307593223824,-11.858172269864182,-12.0
1,1.0,11.0,100,-11.45593401223251,-11.620489437321195,-11.781811931944295
1,1.0,11.0,150,-11.13716967578232,-11.54590239514538,-11.10590124683784
1,1.0,11.0,200,-11.308867384484799,-11.896343495778998,-10.9275082629634
1,1.0,11.0,250,-11.706017691382135,-11.82027646083882,-11.702253377153214
1,1.0,11.0,300,-11.578703244794124,-11.814816175679358,-11.777010241412555
1,1.0,11.0,350,-11.781144344840754,-12.0,-11.973542863159002
1,1.0,11.0,400,-9.291293335776079,-12.0,-11.041058729382732
1,1.0,11.0,450,-11.533269994703806,-10.498876659509504,-9.555293711602996
1,1.0,11.0,500,-10.481746599756217,-9.06529495411854,-11.481261866690588
1,1.0,11.0,550,-10.768392276974717,-10.559579009236508,-11.322523495952233
1,1.0,11.0,600,-11.529948938342827,-11.7724823605247,-11.439290494370304
1,1.0,11.0,650,-11.676494124334338,-11.632578679062304,-12.0
1,1.0,11.0,700,-11.370831313740645,-11.895979816771746,-11.566301721110902
1,1.0,11.0,750,-11.587476435103238,-11.748635775750047,-11.905233079902704
1,1.0,11.0,800,-12.0,-11.690653120683656,-11.902803158874567
1,1.0,11.0,850,-11.403617339799318,-11.846323913355736,-11.666444464884094
1,1.0,11.0,900,-11.741544763371008,-11.749613683224439,
1,1.0,11.0,950,-11.523130023628262,,
1,1.0,12.0,50,-11.644145956354192,-11.838150344763413,-11.834811377549876
1,1.0,12.0,100,-11.644141773991523,-11.730487251646661,-11.686629793375666
1,1.0,12.0,150,-11.531494002752668,-11.727073417651674,-11.666463726813216
1,1.0,12.0,200,-11.375945858990374,-11.838147999293659,-11.025428412254875
1,1.0,12.0,250,-11.771616661075122,-11.95184273967369,-11.939962226755535
1,1.0,12.0,300,-11.578703244794124,-11.920145831282548,-11.95233094057249
1,1.0,12.0,350,-12.0,-12.0,-12.0
1,1.0,12.0,400,-12.0,-12.0,-12.0
1,1.0,12.0,450,-12.0,-11.99401997998538,-12.0
1,1.0,12.0,500,-11.582709975532012,-9.322770019885063,-11.5322715424388
1,1.0,12.0,550,-10.590354887619988,-10.74519880822401,-11.118005030402008
1,1.0,12.0,600,-11.862818537938614,-11.864561736632023,-11.428726953644222
1,1.0,12.0,650,-11.672798929052266,-12.0,-11.976734530488793
1,1.0,12.0,700,-11.419109446122924,-11.895979816771746,-11.549644147675517
1,1.0,12.0,750,-11.50746631628893,-12.0,-12.0
1,1.0,12.0,800,-12.0,-12.0,-11.722084652313182
1,1.0,12.0,850,-11.83222905775876,-12.0,-11.782903256460365
1,1.0,12.0,900,-12.0,-11.440001044596288,
1,1.0,12.0,950,-11.360609748177499,,
1,1.0,13.0,50,-11.57979268699677,-11.826281932554345,-11.688562760831195
1,1.0,13.0,100,-11.872809038051715,-11.863118675302184,-11.999964569325412
1,1.0,13.0,150,-11.798154402796518,-12.0,-11.672078412141103
1,1.0,13.0,200,-11.224206416802689,-11.478914533369435,-10.877097170159423
1,1.0,13.0,250,-11.838696144847484,-12.0,-11.703759848704697
1,1.0,13.0,300,-11.718417530934653,-11.813523449099618,-12.0
1,1.0,13.0,350,-12.0,-12.0,-12.0
1,1.0,13.0,400,-9.322737084623414,-12.0,-11.041058729382732
1,1.0,13.0,450,-11.571301732433053,-10.498876659509504,-9.619619773711891
1,1.0,13.0,500,-12.0,-9.625160835299111,-11.786078476472808
1,1.0,13.0,550,-9.858144932025837,-10.68977839655818,-11.407628262255622
1,1.0,13.0,600,-11.789663063543074,-11.999543830064678,-11.791927802946864
1,1.0,13.0,650,-12.0,-12.0,-11.976734530488793
1,1.0,13.0,700,-12.0,-12.0,-11.566301721110902
1,1.0,13.0,750,-11.702327511780194,-12.0,-12.0
1,1.0,13.0,800,-12.0,-12.0,-12.0
1,1.0,13.0,850,-11.975353476363278,-12.0,-12.0
1,1.0,13.0,900,-12.0,-12.0,
1,1.0,13.0,950,-12.0,,
1,1.0,14.0,50,-11.602487434266534,-11.858172269864182,-11.780627074921977
1,1.0,14.0,100,-11.629758108316224,-11.619811356773601,-11.734861566960271
1,1.0,14.0,150,-11.035445058867337,-11.601146389855487,-11.247356151275063
1,1.0,14.0,200,-11.351978351533692,-11.798369789696594,-11.022326073531135
1,1.0,14.0,250,-11.492711826400194,-11.781104649250024,-11.756822796333056
1,1.0,14.0,300,-11.578703244794124,-11.960275399921628,-11.999343869522678
1,1.0,14.0,350,-11.781144344840754,-12.0,-12.0
1,1.0,14.0,400,-9.738873244328014,-12.0,-11.167877194542966
1,1.0,14.0,450,-11.74959793349723,-10.291516880376369,-9.61824808159778
1,1.0,14.0,500,-10.550881185941629,-9.211948994373882,-11.360005778339715
1,1.0,14.0,550,-10.736320600061593,-10.938452839728926,-10.996662853834792
1,1.0,14.0,600,-11.74277469703933,-11.823986628428326,-11.370002814990473
1,1.0,14.0,650,-11.611890124846543,-11.118429081609156,-11.935731453529725
1,1.0,14.0,700,-11.563340834445803,-12.0,-11.555245990915365
1,1.0,14.0,750,-11.82648804084617,-12.0,-11.905233079902704
1,1.0,14.0,800,-12.0,-12.0,-11.902803158874567
1,1.0,14.0,850,-11.459360941672324,-12.0,-11.916299152300374
1,1.0,14.0,900,-12.0,-11.645310525007439,
1,1.0,14.0,950,-11.841898398789596,,
1,1.0,15.0,50,-12.0,-11.965166097274542,-12.0
1,1.0,15.0,100,-11.53684953782366,-11.541111770683694,-11.604711605494185
1,1.0,15.0,150,-11.889376727138705,-12.0,-11.877431562530543
1,1.0,15.0,200,-11.777673839448974,-11.970281959994518,-11.726176056958828
1,1.0,15.0,250,-11.987705283379391,-12.0,-11.996856470697168
1,1.0,15.0,300,-12.0,-12.0,-12.0
1,1.0,15.0,350,-12.0,-12.0,-11.97253852793869
1,1.0,15.0,400,-12.0,-12.0,-12.0
1,1.0,15.0,450,-12.0,-12.0,-12.0
1,1.0,15.0,500,-11.64976479702729,-11.817630401063765,-11.842855191424317
1,1.0,15.0,550,-12.0,-12.0,-12.0
1,1.0,15.0,600,-12.0,-12.0,-12.0
