feature,importance
d_mean__quantile__q_0.4,0.0035698120417269924
ps_norm__median,0.00356327814363473
"pc_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.003495846296794368
sigma__quantile__q_0.1,0.003458921455452836
"d_norm__fft_coefficient__attr_""real""__coeff_2",0.003454151949837675
d_norm__variance,0.003451507017695399
d_norm__quantile__q_0.4,0.0033627268753160943
"d_mean__linear_trend__attr_""slope""",0.0033409390649967786
d_norm__absolute_sum_of_changes,0.0033320658911001177
"d_mean__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0032940830880391877
d_norm__quantile__q_0.6,0.0032120412640561924
"d_norm__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.003161279333332066
d_mean__standard_deviation,0.003138918988761986
"sigma__fft_coefficient__attr_""abs""__coeff_2",0.0031376246107488372
"ps_norm__fft_coefficient__attr_""real""__coeff_0",0.0031269899953604336
d_mean__mean,0.003105390493814838
"sigma__linear_trend__attr_""pvalue""",0.0030762880741714393
"ps_norm__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.003058579502412038
d_mean__variance,0.003053746214166562
sigma__variance,0.0030395966051837164
"pc_norm__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.0029992223864866684
d_mean__quantile__q_0.1,0.002895859600135135
d_norm__quantile__q_0.8,0.0028916292660438607
ps_norm__c3__lag_1,0.002872184894057407
"d_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.0028073341585128724
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.00271322791763126
sigma__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0027031174033273105
"pc_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0026149916426478916
"d_norm__fft_coefficient__attr_""imag""__coeff_1",0.002580714198242674
"sigma__fft_coefficient__attr_""imag""__coeff_1",0.002537443495041457
"pc_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.0025186736902224464
"d_mean__fft_coefficient__attr_""abs""__coeff_0",0.0025120814686924076
"ps_norm__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.0025065944698834937
"ps_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0024887100276708217
"sigma__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0024871485374648446
pc_norm__quantile__q_0.6,0.0024858448036514736
pc_norm__quantile__q_0.9,0.0024851981417066296
sigma__cid_ce__normalize_False,0.0024711964339474203
pc_mean__quantile__q_0.1,0.002461462606652642
sigma__absolute_sum_of_changes,0.002449379386045583
"sigma__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0023876076668174354
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.002339429238619576
d_norm__median,0.0023275921047533356
d_mean__sum_values,0.0022757493599130925
pc_mean__quantile__q_0.3,0.0022246438890683815
d_mean__maximum,0.0022197207182783167
"d_norm__fft_aggregated__aggtype_""centroid""",0.0022183460009168854
"pc_mean__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0022176509024930567
d_mean__time_reversal_asymmetry_statistic__lag_1,0.002196388130712899
d_norm__variation_coefficient,0.0021378520732079965
ps_norm__time_reversal_asymmetry_statistic__lag_1,0.0021079630683205467
"ps_norm__fft_coefficient__attr_""abs""__coeff_1",0.0021021546306463955
pc_norm__c3__lag_1,0.002096121947403002
"pc_norm__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.002093719055970211
"d_norm__linear_trend__attr_""slope""",0.0020904914328787987
"d_norm__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0.002085368376641577
"d_mean__fft_coefficient__attr_""imag""__coeff_1",0.002060094812310828
"pc_norm__linear_trend__attr_""slope""",0.0019908231179815872
d_norm__abs_energy,0.001960359705285933
"pc_mean__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.001957050411967678
sigma__root_mean_square,0.0018912186170982742
ps_mean__sum_values,0.001887460126109224
"sigma__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0018710031321971098
"pc_mean__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.001858305376530099
pc_norm__absolute_maximum,0.0018200116271682068
"d_mean__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.001812063766154263
"ps_mean__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.0017693837133181034
"ps_norm__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.001759849542060323
"sigma__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.0017499901617462552
"sigma__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0017384248519023593
ps_mean__maximum,0.0017348936346329247
d_norm__standard_deviation,0.0017014976657612746
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.0016927305932139044
"sigma__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0016639594501377311
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.001660703121785459
sigma__autocorrelation__lag_3,0.0016569469721529468
"ps_mean__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0016538156551887011
"ps_norm__linear_trend__attr_""slope""",0.001649925405091522
pc_mean__quantile__q_0.7,0.0016474170223742745
sigma__cid_ce__normalize_True,0.001646067503576176
pc_norm__quantile__q_0.8,0.0016408887924162481
"d_norm__fft_coefficient__attr_""real""__coeff_1",0.0016337937297944516
ps_mean__quantile__q_0.7,0.001613306378621629
"ps_mean__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0016087151295135632
"pc_mean__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.0015946039432271012
"sigma__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.001586065772927229
"ps_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0015839999288418877
pc_norm__median,0.001555714679209121
"d_norm__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.0015321117886696006
"d_mean__fft_aggregated__aggtype_""variance""",0.0015046554434300678
pc_norm__standard_deviation,0.001504079075638627
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0014889056959023603
sigma__variation_coefficient,0.0014785973630133682
d_norm__quantile__q_0.9,0.0014717222122593023
"ps_norm__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.0014629558607931836
"d_mean__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0014303287423598177
ps_mean__quantile__q_0.4,0.0014251304991631571
sigma__quantile__q_0.2,0.0014013760823698839
"d_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.001396702221388216
"pc_norm__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.0013894666423928759
"d_mean__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.0013855668060928131
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.001384975629622763
"d_norm__fft_coefficient__attr_""abs""__coeff_2",0.0013720084608508012
pc_mean__quantile__q_0.6,0.0013661277976071218
d_mean__quantile__q_0.9,0.0013649060987308392
ps_mean__abs_energy,0.0013130806590047125
"sigma__fft_aggregated__aggtype_""centroid""",0.001295456970694811
pc_mean__c3__lag_1,0.0012714821770912184
