fid,iid,rep,optimal_budget
1,1,0,250
1,1,1,50
1,1,2,100
1,1,3,50
1,1,4,50
1,1,5,50
1,1,6,50
1,1,7,150
1,1,8,150
1,1,9,150
1,1,10,100
1,1,11,50
1,1,12,100
1,1,13,100
1,1,14,50
1,1,15,50
1,1,16,50
1,1,17,200
1,1,18,100
1,1,19,250
1,2,0,150
1,2,1,50
1,2,2,100
1,2,3,100
1,2,4,150
1,2,5,100
1,2,6,200
1,2,7,150
1,2,8,50
1,2,9,100
1,2,10,200
1,2,11,250
1,2,12,100
1,2,13,50
1,2,14,150
1,2,15,100
1,2,16,300
1,2,17,200
1,2,18,50
1,2,19,100
1,3,0,50
1,3,1,100
1,3,2,150
1,3,3,50
1,3,4,200
1,3,5,200
1,3,6,150
1,3,7,150
1,3,8,200
1,3,9,50
1,3,10,100
1,3,11,200
1,3,12,50
1,3,13,50
1,3,14,150
1,3,15,250
1,3,16,50
1,3,17,100
1,3,18,100
1,3,19,100
1,4,0,50
1,4,1,100
1,4,2,50
1,4,3,50
1,4,4,100
1,4,5,100
1,4,6,200
1,4,7,100
1,4,8,100
1,4,9,100
1,4,10,100
1,4,11,150
1,4,12,150
1,4,13,200
1,4,14,50
1,4,15,50
1,4,16,150
1,4,17,100
1,4,18,300
1,4,19,50
1,5,0,50
1,5,1,150
1,5,2,200
1,5,3,50
1,5,4,50
1,5,5,200
1,5,6,50
1,5,7,150
1,5,8,100
1,5,9,50
1,5,10,100
1,5,11,50
1,5,12,100
1,5,13,100
1,5,14,100
1,5,15,100
1,5,16,250
1,5,17,50
1,5,18,250
1,5,19,150
2,1,0,200
2,1,1,150
2,1,2,600
2,1,3,150
2,1,4,350
2,1,5,400
2,1,6,450
2,1,7,200
2,1,8,250
2,1,9,200
2,1,10,500
2,1,11,200
2,1,12,600
2,1,13,150
2,1,14,300
2,1,15,350
2,1,16,200
2,1,17,250
2,1,18,250
2,1,19,200
2,2,0,100
2,2,1,150
2,2,2,200
2,2,3,100
2,2,4,250
2,2,5,150
2,2,6,100
2,2,7,150
2,2,8,200
2,2,9,250
2,2,10,300
2,2,11,250
2,2,12,450
2,2,13,400
2,2,14,350
2,2,15,300
2,2,16,100
2,2,17,200
2,2,18,50
2,2,19,250
2,3,0,150
2,3,1,300
2,3,2,150
2,3,3,250
2,3,4,200
2,3,5,100
2,3,6,150
2,3,7,150
2,3,8,100
2,3,9,150
2,3,10,200
2,3,11,50
2,3,12,100
2,3,13,200
2,3,14,100
2,3,15,50
2,3,16,150
2,3,17,100
2,3,18,250
2,3,19,200
2,4,0,250
2,4,1,100
2,4,2,150
2,4,3,250
2,4,4,400
2,4,5,300
2,4,6,250
2,4,7,350
2,4,8,550
2,4,9,100
2,4,10,300
2,4,11,50
2,4,12,50
2,4,13,400
2,4,14,250
2,4,15,150
2,4,16,150
2,4,17,50
2,4,18,200
2,4,19,100
2,5,0,150
2,5,1,200
2,5,2,400
2,5,3,200
2,5,4,150
2,5,5,300
2,5,6,100
2,5,7,150
2,5,8,300
2,5,9,150
2,5,10,50
2,5,11,150
2,5,12,300
2,5,13,300
2,5,14,100
2,5,15,250
2,5,16,100
2,5,17,150
2,5,18,150
2,5,19,200
3,1,0,500
3,1,1,750
3,1,2,600
3,1,3,500
3,1,4,750
3,1,5,800
3,1,6,600
3,1,7,650
3,1,8,600
3,1,9,650
3,1,10,650
3,1,11,650
3,1,12,750
3,1,13,700
3,1,14,700
3,1,15,750
3,1,16,500
3,1,17,650
3,1,18,650
3,1,19,650
3,2,0,750
3,2,1,750
3,2,2,500
3,2,3,700
3,2,4,800
3,2,5,500
3,2,6,600
3,2,7,450
3,2,8,550
3,2,9,800
3,2,10,700
3,2,11,500
3,2,12,650
3,2,13,500
3,2,14,800
3,2,15,500
3,2,16,650
3,2,17,700
3,2,18,750
3,2,19,750
3,3,0,650
3,3,1,850
3,3,2,700
3,3,3,500
3,3,4,750
3,3,5,650
3,3,6,650
3,3,7,650
3,3,8,450
3,3,9,550
3,3,10,700
3,3,11,600
3,3,12,750
3,3,13,550
3,3,14,550
3,3,15,650
3,3,16,500
3,3,17,650
3,3,18,900
3,3,19,450
3,4,0,800
3,4,1,650
3,4,2,750
3,4,3,450
3,4,4,550
3,4,5,650
3,4,6,700
3,4,7,500
3,4,8,550
3,4,9,600
3,4,10,500
3,4,11,750
3,4,12,650
3,4,13,650
3,4,14,750
3,4,15,850
3,4,16,650
3,4,17,650
3,4,18,750
3,4,19,750
3,5,0,500
3,5,1,500
3,5,2,550
3,5,3,700
3,5,4,750
3,5,5,450
3,5,6,500
3,5,7,750
3,5,8,400
3,5,9,750
3,5,10,700
3,5,11,700
3,5,12,700
3,5,13,650
3,5,14,800
3,5,15,750
3,5,16,600
3,5,17,750
3,5,18,800
3,5,19,700
4,1,0,650
4,1,1,800
4,1,2,900
4,1,3,650
4,1,4,750
4,1,5,550
4,1,6,500
4,1,7,700
4,1,8,800
4,1,9,850
4,1,10,100
4,1,11,650
4,1,12,900
4,1,13,800
4,1,14,800
4,1,15,900
4,1,16,100
4,1,17,750
4,1,18,850
4,1,19,600
4,2,0,550
4,2,1,700
4,2,2,650
4,2,3,100
4,2,4,350
4,2,5,800
4,2,6,850
4,2,7,700
4,2,8,750
4,2,9,200
4,2,10,400
4,2,11,750
4,2,12,900
4,2,13,750
4,2,14,550
4,2,15,700
4,2,16,650
4,2,17,700
4,2,18,550
4,2,19,650
4,3,0,750
4,3,1,650
4,3,2,850
4,3,3,750
4,3,4,850
4,3,5,700
4,3,6,50
4,3,7,700
4,3,8,750
4,3,9,900
4,3,10,200
4,3,11,750
4,3,12,50
4,3,13,600
4,3,14,650
4,3,15,800
4,3,16,850
4,3,17,250
4,3,18,200
4,3,19,700
4,4,0,900
4,4,1,600
4,4,2,600
4,4,3,750
4,4,4,700
4,4,5,750
4,4,6,600
4,4,7,650
4,4,8,650
4,4,9,750
4,4,10,850
4,4,11,750
4,4,12,850
4,4,13,700
4,4,14,650
4,4,15,50
4,4,16,650
4,4,17,600
4,4,18,750
4,4,19,550
4,5,0,650
4,5,1,700
4,5,2,700
4,5,3,700
4,5,4,700
4,5,5,900
4,5,6,700
4,5,7,850
4,5,8,650
4,5,9,550
4,5,10,650
4,5,11,700
4,5,12,700
4,5,13,650
4,5,14,800
4,5,15,900
4,5,16,750
4,5,17,700
4,5,18,600
4,5,19,500
5,1,0,250
5,1,1,450
5,1,2,300
5,1,3,300
5,1,4,250
5,1,5,300
5,1,6,300
5,1,7,300
5,1,8,100
5,1,9,350
5,1,10,250
5,1,11,150
5,1,12,500
5,1,13,350
5,1,14,250
5,1,15,150
5,1,16,350
5,1,17,250
5,1,18,150
5,1,19,200
5,2,0,400
5,2,1,250
5,2,2,400
5,2,3,300
5,2,4,250
5,2,5,300
5,2,6,350
5,2,7,400
