fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1,1,0,1,0.3145936982758255,-0.4576203919337995,1,0.102507,0.6088458289958114,133.95920362318373,0.8056803963747382,5.101667179901343,6.332122765872107,0.6123987582675461,1.0,1.0000000000000029,1.0,0.010034,0.3671462972890187,0.4822384995697553,0.5578767909193557,0.7136929650318421,0.3665121142566499,0.4778397292946872,0.5742108079519025,0.7145586383677954,-5.5816528602335165,-4.56656087720655,-3.8994451070907488,-2.5251752084080303,-5.621078730229409,-4.633244072202489,-3.7781220838574656,-2.532784608368257,0.002358,0.8184566608343542,1.1861861861861855,2.067429290844337,0.4654654654654652,0.5743243243243243,0.102885,0.8892282185270515,0.8619635318351654,0.625045966047965,0.1948928555606278,-0.4744703432877125,0.01042,0.0,0.0,0.0,0.0,0.0,8.0588e-06
1,2,0,1,0.2224815710688124,-0.6839780744483921,1,0.001661,0.8655075007204154,490.13734442318366,1.9783328200986587,8.10165575823048,4.0951935265505295,0.8667291222010005,1.0,1.0000000000000018,1.0,0.007017,0.4349025953246991,0.536265469167981,0.649869056600582,0.7751553924007373,0.3962988568679721,0.5191907644184325,0.6313081809944785,0.786231691096336,-4.984054816468246,-4.090052976413869,-3.088090301612941,-1.9830879423449577,-5.356774346351807,-4.26632715202444,-3.2714844095079574,-1.896813690392042,0.001916,0.8204162466814784,1.3063063063063056,4.032789982193705,0.9059059059059056,0.4797297297297297,0.08524,0.8520066077181163,0.8473786811850289,0.6293565712820307,0.2025526139813291,-0.3754691776963976,0.015704,0.0,0.0,0.0,0.0,0.0,5.57029e-05
1,3,0,1,0.5011525282695638,-0.2183362859573736,1,0.001826,0.8084978226173536,-167.27788373681634,0.752888875190915,7.296719603625266,9.691628929667727,0.8102372740716919,1.0,1.0000000000000018,1.0,0.00803,0.6219349200434726,0.6199073603206219,0.6764333518671607,0.7809089954138765,0.5438113141615145,0.6546846037344292,0.6671841604345015,0.7840065004427847,-3.3344642306019443,-3.35234693315684,-2.853798119992411,-1.932342225637659,-4.047863545060593,-3.064060217807434,-2.953148874614775,-1.91655830135442,0.002164,0.8023266518723178,1.2462462462462456,4.223044187206672,0.6656656656656653,0.527027027027027,0.095202,0.8226081608088381,0.8478805280847923,0.592494665745101,0.206481330377166,-0.4436278156071767,0.020251,0.0,0.0,0.0,0.0,0.0,1.15857e-05
1,4,0,1,0.4978271699002054,-0.3259647190153876,1,0.001778,0.7978607920270211,-76.1601262968163,0.2343196036252589,8.183957228453787,34.92647265459774,0.7996968616952256,1.0,1.0000000000000029,1.0,0.007865,0.3284591607997977,0.551314617131238,0.6554724047312893,0.7762733992869184,0.3179672457326326,0.5494183496030116,0.6604266037668212,0.7940070241236148,-5.922866264080696,-3.9573222688058394,-3.0386698052380785,-1.973227327945008,-6.051828132172494,-3.9981110740676256,-3.0131101760190555,-1.8278214332649745,0.002141,0.8213608964372587,1.2062062062062056,3.851107002325569,0.7457457457457454,0.5,0.087224,0.8172566844615831,0.848749911482044,0.6195701788972868,0.2033412732253511,-0.4139474304289533,0.010553,0.0,0.0,0.0,0.0,0.0,1.14637e-05
1,5,0,1,0.7694352827121603,1.6944879478381942,2,0.001791,0.7852937135913595,47.3969789831837,1.6168888751909134,7.52888039637474,4.656399404990507,0.7872439324726981,1.0,1.0000000000000022,1.0,0.007974,0.4202023031106051,0.5717181101211276,0.6465924658341102,0.7524258236776428,0.4637808832120498,0.5921366383618725,0.6414230169050819,0.7596504868982988,-5.113708680752483,-3.77736722624558,-3.116989227454961,-2.1835585435781697,-4.75799133645988,-3.619062208669885,-3.1817332236109506,-2.132674619865293,0.002145,0.8313865741179707,1.2062062062062056,2.543345761304648,0.6456456456456453,0.5337837837837838,0.084377,0.8039344676441196,0.843014304204583,0.5580757655401574,0.2133435723608695,-0.4005936294500556,0.010011,0.0,0.2086942368,0.0,0.0,0.0,1.92143e-05
2,1,0,1,1.0309030746043453,-0.1999383694461665,1,0.001706,0.6523818927646938,11354600.215056852,21512.71784598605,3228950.3391641984,150.09495138089542,0.6548305725702044,0.9969328513928716,204.0585806726168,0.9989029454724988,0.007702,0.6401322592552904,0.7769436085267208,0.8506949303949266,0.9336577044983904,0.6151619453007312,0.7326576643135642,0.8598823104000956,0.9297906500744568,-3.1739670572028205,-1.9673162061418583,-1.3168431585982434,-0.5851268023790457,-3.4147535454676685,-2.37218793071869,-1.2432953849065411,-0.6229831578651428,0.002094,0.7858595751157553,6.81181181181181,852964.4499741016,6.21121121121121,0.5135135135135135,0.104095,0.6788268857691596,0.8125908452910667,0.4716602682192433,0.2276263958350398,-0.3194001377400102,0.013136,1e-10,874.2870731721,319.6988921136,3.2682e-06,11.9924044021,24.7832302891
2,2,0,1,0.6465154084238274,-0.8326005052820311,1,0.00156,-0.0200031322904639,8666708.54308972,23226.9694410942,249715.4187543747,10.75109774383941,-0.0143325255528747,0.9985126500387852,1390.791125618838,0.9985265666918582,0.007104,0.7458348076280018,0.7578999317906366,0.870269087829747,0.9281443757112776,0.7376906341416057,0.8053777493798101,0.8414931966089585,0.9416190111199572,-2.2416900887168483,-2.1352779203073693,-1.144202702573887,-0.6337533447571211,-2.327529271434157,-1.7269264622271605,-1.406466076446816,-0.518027482811755,0.001899,0.7873917477050671,6.81181181181181,576601.9548054922,6.19119119119119,0.527027027027027,0.101216,0.7011102708499594,0.8207795687258667,0.4654783893883538,0.2253382226354838,-0.4714461440559256,0.013387,0.0,315.5967826626,1.2991006453,2.69844e-05,5.8632969282,13.1371449701
2,3,0,1,0.974027880109013,-0.3939843114128076,2,0.001585,0.8283500953750561,18914887.30834428,38274.52684904416,6476648.66662097,169.21564287822707,0.8302152170499375,0.9982368906306648,124.91193934915866,0.998640646342972,0.007495,0.8725228589678486,0.8099164397168268,0.7883024362885371,0.8405202735175715,0.8244397758107399,0.7335652739418551,0.7557799561773093,0.8235008995497124,-1.124324857085414,-1.6765019204169596,-1.8671334416355467,-1.406581754450814,-1.5577848673563457,-2.3641345088747165,-2.1670186987341795,-1.5661157249780135,0.001876,0.7146947792817363,7.11211211211211,490558.37063650455,6.091091091091091,0.5135135135135135,0.100357,0.68856269742037,0.8328638697509532,0.4772384183339762,0.2193943088383091,-0.2840041231856329,0.010886,0.0,928.2886050007,406.2239668834,1.1009e-05,7.4193216104,155.9956491979
2,4,0,1,0.8433190206328328,-0.7039876333738881,2,0.001767,0.8658616051448376,21292108.23347714,19937.809978549496,7218910.43276929,362.0713829922095,0.8682022245306936,0.9970101103025512,194.5084906259325,0.9974306779561078,0.007765,0.4945316568445939,0.7233920097509221,0.7583973055105411,0.8505463947468732,0.4527018298347821,0.6978451330711875,0.7476598915148482,0.8317178171955922,-4.458137498832576,-2.439631424013821,-2.1308911758916897,-1.3181532156007574,-4.856298238125347,-2.68108725352476,-2.239069836237287,-1.4932051894385632,0.002049,0.7176635998248735,7.1321321321321305,979469.6670695384,6.21121121121121,0.5,0.095765,0.7798521240302622,0.8450348268318768,0.6271299100287402,0.2065339994677967,-0.2832811669365774,0.008204,1e-10,254.3437826704,375.7940579304,1.15691e-05,2.0429490163,268.6211232635
2,5,0,1,0.6344216011825067,-0.8872427286458469,1,0.001794,-0.0278028053115528,8552559.888945214,23486.69828654272,160947.3114667943,6.852700601131875,-0.0219319028433162,0.998484310290774,902.7455583165106,0.9984482509539316,0.008076,0.9138451352674748,0.7539902733261269,0.8405075541382545,0.9348881675953724,0.899758718034793,0.7832738028459453,0.8455002246334707,0.942035035493456,-0.7598700064443609,-2.169760386408912,-1.4066939370289375,-0.5742743449544303,-0.8894631620056499,-1.9230596898891847,-1.370910826682901,-0.5143360061319964,0.002162,0.7809789330979652,6.81181181181181,979469.6670695384,6.27127127127127,0.4864864864864865,0.106495,0.617445512129563,0.811450206918809,0.4447163326816056,0.2270153484444121,-0.4762865466090503,0.014585,0.0,1347.9833296153,783.068901442,5.69949e-05,1.5149298898,303.7716569722
