feature,importance
"loglikelihood__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0031175851782404744
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.0031077999748406037
"d_norm__fft_coefficient__attr_""abs""__coeff_14",0.0030952640986239913
sigma__c3__lag_2,0.0030285559565511977
"sigma__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0029858930683325574
d_mean__mean_change,0.002972009572709432
"sigma__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.0029705515904539107
"sigma__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.002962412631047744
d_norm__mean_change,0.002929074224675961
"d_norm__fft_coefficient__attr_""real""__coeff_20",0.002922401475490403
"d_mean__fft_coefficient__attr_""abs""__coeff_10",0.0029116557728841056
"mhl_norm__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.0029094013093067953
"mhl_norm__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.0028856905116887836
"d_mean__fft_coefficient__attr_""real""__coeff_19",0.0028817087766074448
"d_norm__fft_coefficient__attr_""abs""__coeff_17",0.0028573238314207688
"d_norm__fft_coefficient__attr_""abs""__coeff_7",0.0028501557303233873
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",0.002836737512787981
pc_mean__quantile__q_0.4,0.0028344100793838227
"pc_norm__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.002832765177498057
d_mean__c3__lag_1,0.002822867107863647
"mhl_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0028146275468139497
d_mean__quantile__q_0.4,0.00280786561222349
"sigma__linear_trend__attr_""intercept""",0.0028049761792468568
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.0027859840492083085
"d_norm__fft_coefficient__attr_""real""__coeff_10",0.0027565401618050126
mhl_mean__mean,0.002745191227384074
"d_mean__fft_coefficient__attr_""abs""__coeff_3",0.002740800470605527
"d_mean__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.0027353164535271935
sigma__quantile__q_0.6,0.002724303403079935
"d_mean__fft_coefficient__attr_""real""__coeff_10",0.0027242776982756207
loglikelihood__quantile__q_0.3,0.002723521193584977
d_norm__variance,0.002706198259821193
mhl_norm__abs_energy,0.0026883275578804323
"sigma__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.0026843371045299673
"d_mean__fft_coefficient__attr_""abs""__coeff_1",0.002663217559244411
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.0026611467142662317
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.0026563702804918102
"pc_norm__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.002653924573273831
"d_mean__fft_coefficient__attr_""abs""__coeff_2",0.0026387534933450777
"mhl_mean__fft_coefficient__attr_""real""__coeff_0",0.0026053148611736403
"d_mean__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0025922214419618465
loglikelihood__c3__lag_3,0.002591853975815409
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.002590448765840966
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.002588297497320092
sigma__c3__lag_3,0.002585217924218253
d_norm__standard_deviation,0.002582746829207315
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.002571413457409677
d_mean__root_mean_square,0.0025701141347315762
sigma__quantile__q_0.7,0.002543755948153286
"sigma__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.0025393255808978015
"d_norm__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.0025358385344190146
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.002518340873641687
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.002502186289512244
mhl_norm__quantile__q_0.8,0.002478363062600339
"ps_norm__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.0024696678073843695
"ps_norm__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0024600969539419195
"pc_norm__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.0024572730114325314
"d_mean__fft_coefficient__attr_""imag""__coeff_2",0.0024529059888079158
"d_norm__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.0024437106782092487
"sigma__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.002443215982911843
"d_norm__fft_coefficient__attr_""real""__coeff_17",0.0024384514666382184
"d_norm__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.0024373772135237886
"d_norm__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.0024232378462859367
d_norm__median,0.0024033860938123775
"loglikelihood__fft_coefficient__attr_""imag""__coeff_1",0.0023684461255176967
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.002361394455084385
d_norm__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.002337700114728838
"d_mean__fft_coefficient__attr_""imag""__coeff_3",0.0023277207894390715
"d_mean__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.0023272623669093858
loglikelihood__abs_energy,0.0023122372074479967
d_mean__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.0023097009418200204
"ps_mean__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.002307314991508697
"sigma__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.002297534808145327
"d_mean__fft_coefficient__attr_""abs""__coeff_6",0.0022825607463983454
"d_mean__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0022740881501774612
d_mean__standard_deviation,0.0022703743646764266
mhl_norm__mean,0.0022609006382580026
"d_mean__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.002247825538780119
mhl_norm__c3__lag_1,0.002241109282284335
"d_mean__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0022392713667445333
"d_norm__fft_coefficient__attr_""real""__coeff_19",0.002232104218928957
