fid,iid,rep,budget,pred_t0,pred_t1,pred_t2,pred_t3,pred_t4,pred_t5,pred_t6,pred_t7,pred_t8,pred_t9,pred_t10,pred_t11,pred_t12,pred_t13,pred_t14,pred_t15,pred_t16,pred_t17,pred_t18,pred_t19
1,1.0,0.0,50,-0.49280804501962666,-0.6080614906243158,-0.4590856174242607,-0.566295997233586,-0.38772336097913035,-0.4051884115220347,-0.6528619795537449,-0.6674231762594748,-0.3783960529666305,-0.8907310513264178,-0.630891228159869,-0.371448824686932,-0.6254161973975632,-0.5479294152471795,-0.5262841043208731,-0.46059417895308336,-0.5029217793932793,-0.8108995591714838,-0.38188860031063476,-0.39488997604460185
1,1.0,0.0,100,-0.5254920321397908,-0.36963881490092176,-0.33418210813567495,-0.37683834393998006,-0.443435197471408,-0.4797613667370942,-0.34972938081713545,-0.5030605796889718,-0.5339161646586631,-0.47415204612075046,-0.46062881426353813,-0.4014882348974394,-0.3917328572752641,-0.5455113035465499,-0.4498542478256041,-0.4421283979366845,-0.30653801894344895,-0.35147272481674274,-0.3821768869078663,
1,1.0,0.0,150,-1.273269223082323,-1.6224937810061448,-1.1965992630442102,-1.0126227173376376,-1.5020901258177402,-1.4228335507034737,-1.5058673038780945,-2.6624975659394696,-1.304329696883961,-2.195838200349293,-1.2389376591181327,-1.1958381007271717,-0.3001023852879033,-0.36358072447585793,-0.3072901710042094,-0.3156539640596598,-0.33576329699288726,-0.4539271839825652,,
1,1.0,0.0,200,-0.7338433250610279,-0.4459033490699947,-0.5292266790062693,-0.6514732886264156,-0.6351823842232289,-0.3503937338558593,-0.329178236849554,-0.6984530965999183,-0.41357329016729705,-0.8517725603202547,-0.9584623504946705,-0.5690986242599703,-0.3051416833956153,-0.31557535422413574,-0.3102655505599248,-0.32321544114031414,-0.30445085147468304,,,
1,1.0,0.0,250,-0.3010299956635467,-0.45705955164883943,-0.47596885418475177,-0.30572357303803477,-0.3298071321248966,-0.3027937728302403,-0.31559747399260973,-0.43034372765148304,-0.29908132367082996,-0.4097385515082571,-0.5818039273180978,-0.3011444665210553,-0.47326380303665433,-0.476406457642368,-0.3118863234042721,-0.41855806644600624,,,,
1,1.0,0.0,300,-0.35586105449131644,-0.3050610503148359,-0.3010299956635469,-0.2994655933002994,-0.3011964485929924,-0.32401123785348096,-0.3393093815919237,-0.30102999566354693,-0.3010299956635469,-0.40472583076306895,-0.3118706580854856,-0.3223449638331051,-0.4858527259926865,-0.30818998460243807,-0.3021206517869936,,,,,
1,1.0,0.0,350,-0.3010299956635471,-0.3010299956635467,-0.301029995663547,-0.30102999566354677,-0.30102999566354727,-0.30102999566354693,-0.301029995663547,-0.3054764567145373,-0.3352946175942638,-0.3351704799447725,-0.32569846432638516,-0.3544960114815468,-0.38939747993728896,-0.414198503805659,,,,,,
1,1.0,0.0,400,-0.49370936382646363,-0.7900321753524489,-0.7129202600793914,-0.5318932566021756,-0.6301630538476823,-0.7201790690904403,-0.4477099822530278,-0.3060822828931489,-0.4907169440624566,-0.37407206925314795,-0.3119167347352571,-0.301029995663547,-0.2986182086868738,,,,,,,
1,1.0,0.0,450,-0.40964111140441395,-0.34677241175950774,-0.3070772316636391,-0.2995500354733156,-0.3437145083315956,-0.5776515793242873,-0.32171364736027647,-0.30567837115743524,-0.3011759425821696,-0.2988379136564302,-0.4704299142662925,-0.30002041041749744,,,,,,,,
1,1.0,0.0,500,-1.4259309576189738,-1.4540258788732148,-1.5717134273179412,-1.8455676140637558,-1.8468623275059741,-1.9268930308787529,-3.643592854045388,-2.9273293843921366,-2.4714731296713888,-2.5404274311813593,-4.916739657155501,,,,,,,,,
1,1.0,0.0,550,-0.4358353599467774,-0.30102999566354705,-0.30535944458161657,-0.301029995663547,-0.3010299956635469,-0.30174543852297436,-0.30076374740714834,-0.3006589515132893,-0.5251753387165531,-0.3002406835620899,,,,,,,,,,
1,1.0,0.0,600,-0.3010299956635474,-0.3010299956635472,-0.3010299956635467,-0.3010299956635469,-0.30244657252521356,-0.30054445126177437,-0.2992575734930435,-0.3007084240666569,-0.30102999566354693,,,,,,,,,,,
1,1.0,0.0,650,-0.30152351572036495,-0.30449098566383204,-0.3049477978761125,-0.3175430518165172,-0.3016202875112596,-0.30019514632546757,-0.3010299956635469,-0.30176212775188904,,,,,,,,,,,,
