fid,iid,rep,selector_algorithm,precision
1,6,0,Elitist,0.0
1,6,1,Elitist,0.0
1,6,2,Elitist,0.0
1,6,3,MLSL,0.0
1,6,4,BFGS,0.0
1,6,5,Non-elitist,0.0
1,6,6,DE,0.0
1,6,7,Elitist,0.0
1,6,8,MLSL,0.0
1,6,9,MLSL,0.0
1,6,10,DE,0.0
1,6,11,Elitist,0.0
1,6,12,MLSL,0.0
1,6,13,Elitist,0.0
1,6,14,MLSL,0.0
1,6,15,MLSL,0.0
1,6,16,DE,0.0
1,6,17,Non-elitist,0.0
1,6,18,MLSL,0.0
1,6,19,Elitist,0.0
1,7,0,MLSL,0.0
1,7,1,DE,0.0
1,7,2,Elitist,0.0
1,7,3,MLSL,0.0
1,7,4,DE,0.0
1,7,5,MLSL,0.0
1,7,6,DE,0.0
1,7,7,MLSL,0.0
1,7,8,Non-elitist,0.0
1,7,9,MLSL,0.0
1,7,10,Elitist,0.0
1,7,11,MLSL,0.0
1,7,12,MLSL,0.0
1,7,13,MLSL,0.0
1,7,14,Elitist,0.0
1,7,15,MLSL,0.0
1,7,16,MLSL,0.0
1,7,17,MLSL,0.0
1,7,18,MLSL,0.0
1,7,19,Elitist,0.0
2,6,0,BFGS,1e-10
2,6,1,BFGS,1e-10
2,6,2,BFGS,1e-10
2,6,3,BFGS,0.0
2,6,4,BFGS,1e-10
2,6,5,BFGS,0.0
2,6,6,BFGS,0.0
2,6,7,BFGS,0.0
2,6,8,BFGS,0.0
2,6,9,BFGS,1e-10
2,6,10,BFGS,0.0
2,6,11,BFGS,0.0
2,6,12,BFGS,0.0
2,6,13,BFGS,0.0
2,6,14,BFGS,1e-10
2,6,15,BFGS,0.0
2,6,16,BFGS,0.0
2,6,17,BFGS,1e-10
2,6,18,BFGS,1e-10
2,6,19,BFGS,0.0
2,7,0,BFGS,0.0
2,7,1,BFGS,0.0
2,7,2,BFGS,1e-10
2,7,3,BFGS,1e-10
2,7,4,BFGS,0.0
2,7,5,BFGS,0.0
2,7,6,BFGS,0.0
2,7,7,BFGS,0.0
2,7,8,BFGS,1e-10
2,7,9,BFGS,1e-10
2,7,10,BFGS,1e-10
2,7,11,BFGS,0.0
2,7,12,BFGS,1e-10
2,7,13,BFGS,0.0
2,7,14,BFGS,0.0
2,7,15,BFGS,0.0
2,7,16,BFGS,1e-10
2,7,17,BFGS,0.0
2,7,18,BFGS,0.0
2,7,19,BFGS,0.0
3,6,0,DE,4.9747903029
3,6,1,Non-elitist,4.9747952858
3,6,2,PSO,1.996522052
3,6,3,Non-elitist,2.9848771765
3,6,4,Non-elitist,10.9445193982
3,6,5,Non-elitist,5.9697495655
3,6,6,Non-elitist,11.9394784129
3,6,7,BFGS,4.9747952855
3,6,8,Non-elitist,12.9344344881
3,6,9,Non-elitist,3.9798362284
3,6,10,Non-elitist,2.9848796866
3,6,11,Non-elitist,23.8789518481
3,6,12,PSO,6.2697042574
3,6,13,Non-elitist,6.964708362
3,6,14,Non-elitist,2.9848772262
3,6,15,Non-elitist,0.9949591098
3,6,16,BFGS,5.9697493047
3,6,17,Non-elitist,6.9647083619
3,6,18,Non-elitist,7.9596674196
3,6,19,PSO,3.9812621808
3,7,0,Non-elitist,5.9697493051
3,7,1,DE,6.9796885852
3,7,2,Non-elitist,14.9243531018
3,7,3,Non-elitist,2.9848771713
3,7,4,PSO,4.9764111504
3,7,5,BFGS,2.9848771713
3,7,6,Elitist,9.9495804953
3,7,7,DE,3.9798315135
3,7,8,Non-elitist,5.9697493048
3,7,9,Non-elitist,5.9697493048
3,7,10,Non-elitist,9.9495805934
3,7,11,Non-elitist,2.9848773677
3,7,12,Non-elitist,1.9899208519
3,7,13,Non-elitist,6.9647083621
3,7,14,Non-elitist,0.9949590756
3,7,15,Non-elitist,4.9747902599
3,7,16,Non-elitist,7.9596623924
3,7,17,Non-elitist,1.9899183392
3,7,18,Non-elitist,18.5529378768
3,7,19,Non-elitist,2.9848773782
4,6,0,PSO,25.8803999288
4,6,1,PSO,7.1899485648
4,6,2,PSO,7.5587503364
4,6,3,PSO,8.0533477849
4,6,4,PSO,12.9380595887
4,6,5,PSO,6.9957860475
4,6,6,PSO,7.9613863027
4,6,7,Non-elitist,11.9394950642
4,6,8,Non-elitist,4.9747952924
4,6,9,PSO,5.2038539072
4,6,10,PSO,7.0795656081
4,6,11,Non-elitist,8.954622504
4,6,12,Non-elitist,5.9697494438
4,6,13,PSO,7.1611358727
4,6,14,PSO,21.8902776116
4,6,15,PSO,3.0752542908
4,6,16,PSO,15.0108727705
4,6,17,PSO,6.9699436869
4,6,18,PSO,6.9699707511
4,6,19,PSO,11.97523038
4,7,0,Non-elitist,22.8839521544
4,7,1,Non-elitist,9.9495804963
4,7,2,Non-elitist,9.9495804963
4,7,3,PSO,14.9431230338
4,7,4,PSO,5.9741612818
4,7,5,PSO,8.9593334019
4,7,6,Elitist,32.8335074151
4,7,7,Non-elitist,13.9294116921
4,7,8,Non-elitist,6.9647280431
4,7,9,PSO,6.9721629049
4,7,10,Non-elitist,7.9596674197
4,7,11,PSO,7.3313758843
4,7,12,Non-elitist,16.9142838202
4,7,13,DE,16.9752602392
4,7,14,PSO,14.9262999181
4,7,15,PSO,7.9935022981
4,7,16,Elitist,14.924350552
4,7,17,Non-elitist,9.9495805037
4,7,18,PSO,8.0068367664
4,7,19,PSO,9.9558376432
5,6,0,PSO,0.0
5,6,1,Elitist,0.0
5,6,2,Elitist,0.0
5,6,3,PSO,0.0
5,6,4,Elitist,0.0
5,6,5,Elitist,0.0
5,6,6,Elitist,0.0
5,6,7,Elitist,0.0
5,6,8,Elitist,0.0
5,6,9,Elitist,0.0
5,6,10,PSO,0.0
5,6,11,PSO,0.0
5,6,12,PSO,0.0
5,6,13,Elitist,0.0
5,6,14,Elitist,0.0
5,6,15,PSO,0.0
5,6,16,Elitist,0.0
5,6,17,PSO,0.0
5,6,18,Elitist,0.0
5,6,19,PSO,0.0
5,7,0,Elitist,0.0
5,7,1,Elitist,0.0
5,7,2,Elitist,0.0
5,7,3,Elitist,0.0
5,7,4,Elitist,0.0
5,7,5,Elitist,0.0
5,7,6,PSO,0.0
5,7,7,Elitist,0.0
5,7,8,Elitist,0.0
5,7,9,Elitist,0.0
5,7,10,Elitist,0.0
5,7,11,PSO,0.0
5,7,12,Elitist,0.0
5,7,13,PSO,0.0
5,7,14,Elitist,0.0
5,7,15,Elitist,0.0
5,7,16,PSO,0.0
5,7,17,Elitist,0.0
5,7,18,Elitist,0.0
5,7,19,Elitist,0.0
6,6,0,BFGS,8e-09
6,6,1,BFGS,1.149e-07
6,6,2,BFGS,6e-10
6,6,3,BFGS,3.3147e-06
6,6,4,BFGS,0.0001181798
6,6,5,BFGS,5.186e-07
6,6,6,BFGS,9.74e-08
6,6,7,BFGS,4e-10
6,6,8,BFGS,5.164e-07
6,6,9,BFGS,2.702e-07
6,6,10,BFGS,1.876e-06
6,6,11,BFGS,6.06e-08
6,6,12,Non-elitist,1.5398e-06
6,6,13,BFGS,9.108e-07
6,6,14,BFGS,1.4195e-06
6,6,15,BFGS,5.8e-09
6,6,16,BFGS,3e-10
6,6,17,BFGS,1.89e-08
6,6,18,BFGS,1.8999e-06
6,6,19,BFGS,2.6554e-06
6,7,0,BFGS,1.805e-07
6,7,1,BFGS,1.16e-08
6,7,2,BFGS,1.093e-07
6,7,3,BFGS,1.659e-06
6,7,4,Elitist,0.0123116587
6,7,5,BFGS,1.539e-07
6,7,6,BFGS,1.978e-07
6,7,7,BFGS,1.6723e-06
6,7,8,BFGS,0.0025164815
6,7,9,BFGS,1.4679e-06
6,7,10,BFGS,1.88538e-05
6,7,11,BFGS,1.51e-08
6,7,12,BFGS,1.6343e-06
6,7,13,BFGS,8.8855e-06
6,7,14,BFGS,4.98e-08
6,7,15,BFGS,5.99658e-05
6,7,16,BFGS,3.8e-09
6,7,17,BFGS,6.5e-09
6,7,18,BFGS,1e-10
6,7,19,BFGS,7e-10
7,6,0,Non-elitist,9.7097309259
7,6,1,Non-elitist,0.0
7,6,2,Non-elitist,0.7177221999
7,6,3,Non-elitist,0.0081037481
7,6,4,Elitist,0.5983881932
7,6,5,Non-elitist,0.0
7,6,6,Non-elitist,0.7177221999
7,6,7,Non-elitist,2.1848557993
7,6,8,Non-elitist,0.2738816169
7,6,9,Non-elitist,1.1816778497
7,6,10,Non-elitist,1.3635076595
7,6,11,Non-elitist,0.7177221999
7,6,12,Non-elitist,0.0
7,6,13,Non-elitist,0.7177221999
7,6,14,Non-elitist,1.1590390711
7,6,15,Non-elitist,0.9777225458
7,6,16,Non-elitist,0.7177221999
7,6,17,Non-elitist,0.3779380588
7,6,18,Non-elitist,0.7177221999
7,6,19,Non-elitist,2.4274327315
7,7,0,BFGS,0.8929267275
7,7,1,Non-elitist,0.913502836
7,7,2,Non-elitist,0.4209863081
7,7,3,Non-elitist,0.5811295366
7,7,4,Non-elitist,1.9031301745
7,7,5,Non-elitist,1.2064390463
7,7,6,Non-elitist,0.649829961
7,7,7,Non-elitist,0.1463285081
7,7,8,Non-elitist,0.0
7,7,9,Non-elitist,0.989163542
7,7,10,Non-elitist,1.4824456149
7,7,11,Non-elitist,0.0
7,7,12,Non-elitist,0.1700005054
7,7,13,Non-elitist,2.3152950832
7,7,14,Non-elitist,0.0
7,7,15,Non-elitist,0.6775287074
7,7,16,BFGS,1.0096906874
7,7,17,Non-elitist,8.0923872446
7,7,18,Non-elitist,0.649829961
7,7,19,BFGS,2.9662811207
8,6,0,BFGS,3.9308394342
8,6,1,BFGS,0.0
8,6,2,BFGS,0.0
8,6,3,BFGS,0.0
8,6,4,BFGS,0.0
8,6,5,BFGS,0.0
8,6,6,BFGS,0.0
8,6,7,BFGS,1e-10
8,6,8,BFGS,0.0
8,6,9,BFGS,0.0
8,6,10,BFGS,0.0
8,6,11,BFGS,0.0
8,6,12,BFGS,0.0
8,6,13,BFGS,1e-10
8,6,14,BFGS,1e-10
8,6,15,BFGS,0.0
8,6,16,BFGS,0.0
8,6,17,BFGS,1e-10
8,6,18,BFGS,0.0
8,6,19,BFGS,0.0
8,7,0,BFGS,0.0
8,7,1,BFGS,1e-10
8,7,2,BFGS,1e-10
8,7,3,BFGS,0.0
8,7,4,BFGS,1e-10
8,7,5,BFGS,0.0
