fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 10,Lookahead 20
1,6,0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,0.0,0.0,0.0,0.0
1,6,2,0.0,0.0,0.0,5.684341886080804e-14,5.684341886080804e-14
1,6,3,0.0,0.0,0.0,0.0,0.0
1,6,4,0.0,0.0,0.0,0.0,0.0
1,6,5,0.0,0.0,0.0,0.0,0.0
1,6,6,0.0,0.0,5.684341886080804e-14,5.684341886080804e-14,5.684341886080804e-14
1,6,7,0.0,0.0,0.0,0.0,0.0
1,6,8,0.0,0.0,0.0,0.0,0.0
1,6,9,0.0,0.0,0.0,0.0,0.0
1,6,10,0.0,0.0,0.0,0.0,0.0
1,6,11,0.0,0.0,0.0,0.0,0.0
1,6,12,0.0,0.0,0.0,0.0,0.0
1,6,13,0.0,0.0,0.0,0.0,0.0
1,6,14,0.0,0.0,0.0,0.0,0.0
1,6,15,0.0,0.0,0.0,0.0,0.0
1,6,16,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,17,0.0,0.0,5.684341886080804e-14,0.0,0.0
1,6,18,0.0,0.0,0.0,0.0,0.0
1,6,19,0.0,0.0,0.0,0.0,0.0
1,7,0,0.0,0.0,0.0,0.0,0.0
1,7,1,0.0,0.0,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13
1,7,2,0.0,0.0,0.0,0.0,0.0
1,7,3,0.0,0.0,0.0,0.0,0.0
1,7,4,0.0,0.0,0.0,0.0,0.0
1,7,5,0.0,0.0,0.0,0.0,0.0
1,7,6,0.0,0.0,0.0,0.0,0.0
1,7,7,0.0,0.0,0.0,0.0,0.0
1,7,8,0.0,0.0,0.0,0.0,0.0
1,7,9,0.0,0.0,0.0,0.0,0.0
1,7,10,0.0,0.0,0.0,0.0,0.0
1,7,11,0.0,0.0,0.0,1.1368683772161605e-13,1.1368683772161605e-13
1,7,12,0.0,0.0,0.0,0.0,0.0
1,7,13,0.0,0.0,0.0,0.0,0.0
1,7,14,0.0,0.0,0.0,0.0,0.0
1,7,15,0.0,0.0,0.0,0.0,0.0
1,7,16,0.0,0.0,0.0,0.0,0.0
1,7,17,0.0,0.0,0.0,0.0,0.0
1,7,18,0.0,0.0,0.0,0.0,0.0
1,7,19,0.0,0.0,0.0,0.0,0.0
2,6,0,5.3788085097039584e-12,5.518074885912938e-11,5.518074885912938e-11,5.518074885912938e-11,5.518074885912938e-11
2,6,1,2.211919536421192e-11,5.3411497447086725e-11,2.211919536421192e-11,5.4548365824302885e-11,5.4548365824302885e-11
2,6,2,1.6015633264032658e-11,5.2459370181168197e-11,5.3894666507403586e-11,5.3894666507403586e-11,3.511502200126415e-11
2,6,3,3.409184046176961e-11,4.3662851112458156e-11,4.374811624074937e-11,4.374811624074937e-11,4.374811624074937e-11
2,6,4,1.0764722446765518e-11,5.1528559197322465e-11,4.6114223550830496e-11,5.098854671814479e-11,5.098854671814479e-11
2,6,5,1.7465140444983263e-11,1.9454660105111543e-11,4.6391335217776935e-11,4.2213343931507546e-11,4.6391335217776935e-11
2,6,6,1.7884360659081722e-11,1.7884360659081722e-11,4.5503156798076816e-11,5.4122040182846825e-11,5.4122040182846825e-11
2,6,7,1.930544613060192e-11,4.11262135457946e-11,4.987299462300143e-11,4.9510617827763774e-11,4.9510617827763774e-11
2,6,8,1.2214229627716122e-11,4.0969894143927377e-11,4.850875257034204e-11,5.168487859918969e-11,5.168487859918969e-11
2,6,9,3.5576874779508216e-11,5.928768587182276e-11,4.0756731323199347e-11,4.0756731323199347e-11,4.0756731323199347e-11
2,6,10,3.461764208623208e-11,4.362021854831255e-11,5.503864031197736e-11,4.0152769997803255e-11,5.4647841807309305e-11
2,6,11,2.022915168709005e-11,3.957012495447998e-11,2.327027459614328e-11,3.2301272767654154e-11,3.2301272767654154e-11
2,6,12,2.594191528260125e-11,2.594191528260125e-11,4.1310954657092225e-11,3.178257657054928e-11,5.1507242915249656e-11
2,6,13,1.7692514120426497e-12,2.8109070626669563e-11,3.630162836998352e-11,3.630162836998352e-11,3.630162836998352e-11
2,6,14,2.361133510930813e-11,5.1883830565202516e-11,2.5067947717616328e-11,2.5067947717616328e-11,2.5067947717616328e-11
2,6,15,1.2434497875801752e-11,4.4579451241588686e-11,5.356781684895394e-11,5.356781684895394e-11,3.5981884138891473e-11
2,6,16,3.5910829865315463e-11,4.9801940349425416e-11,4.6611603465862566e-11,4.9382720135326956e-11,4.6611603465862566e-11
2,6,17,2.894040562750888e-11,5.0306425691815087e-11,4.814637577510439e-11,4.814637577510439e-11,4.814637577510439e-11
2,6,18,1.723776676954003e-11,5.4605209243163686e-11,5.326228347257711e-11,5.326228347257711e-11,5.326228347257711e-11
2,6,19,1.2867928944615414e-11,4.4408920985006255e-11,5.904610134166433e-11,5.904610134166433e-11,5.904610134166433e-11
2,7,0,3.606004383982509e-12,3.97193389289896e-11,2.8027358212057152e-11,2.8027358212057152e-11,2.8027358212057152e-11
2,7,1,1.7280399333685637e-11,4.7890580390230746e-11,4.402522790769581e-11,4.7890580390230746e-11,4.7890580390230746e-11
2,7,2,4.785505325344275e-12,5.520917056855978e-11,5.2882143108945456e-11,4.3485215428518125e-11,4.7823078830333537e-11
2,7,3,1.5845103007450234e-11,5.255174073681701e-11,4.544986609289481e-11,1.6967760529951192e-11,4.282085797058244e-11
2,7,4,2.1227464230833e-11,4.8835602228791686e-11,2.1227464230833e-11,5.2029491826033336e-11,5.2029491826033336e-11
2,7,5,1.6076029396572267e-11,3.551292593328981e-11,5.3443471870195935e-11,5.3443471870195935e-11,5.3443471870195935e-11
2,7,6,2.3597124254592927e-11,4.8483883574590436e-11,2.3597124254592927e-11,5.4857451914358535e-11,2.3597124254592927e-11
2,7,7,2.0175860981908045e-11,2.0175860981908045e-11,4.800071451427357e-11,4.800071451427357e-11,4.800071451427357e-11
2,7,8,1.1137757383039567e-11,5.307754236127949e-11,3.5424108091319795e-11,3.5424108091319795e-11,5.113065526529681e-11
2,7,9,1.6193268947972683e-11,5.042366524321551e-11,3.747402388398768e-11,4.454747681847948e-11,3.747402388398768e-11
2,7,10,3.439382112446765e-11,5.078959475213196e-11,3.439382112446765e-11,5.841016559315904e-11,5.4626525525236496e-11
2,7,11,2.5078605858652736e-11,4.2636116859284805e-11,3.2628122426103794e-11,4.701306011156703e-11,4.701306011156703e-11
2,7,12,2.842881485776161e-11,5.084288545731397e-11,3.629452294262592e-11,2.842881485776161e-11,3.629452294262592e-11
2,7,13,1.3709922086491131e-11,3.864997211167065e-11,1.3709922086491131e-11,2.8769875370926457e-11,1.3709922086491131e-11
2,7,14,2.7707613980965107e-11,3.447198082540126e-11,4.6810555431875394e-11,4.04192235237133e-11,4.6810555431875394e-11
2,7,15,2.5298874106738367e-11,3.673150672511838e-11,5.31699129169283e-11,4.9254822442890145e-11,4.9254822442890145e-11
2,7,16,4.033395839542209e-11,5.510258915819577e-11,4.985167834092863e-11,2.885634842186846e-09,4.212097337585874e-11
2,7,17,2.091837814077735e-11,2.091837814077735e-11,4.6359360794667737e-11,4.6359360794667737e-11,4.6359360794667737e-11
2,7,18,2.460609493937227e-11,4.6178172397048905e-11,5.0864201739386765e-11,3.099742684753437e-11,3.099742684753437e-11
2,7,19,3.207389909221092e-11,4.6991743829494226e-11,5.2811088835369446e-11,5.2811088835369446e-11,3.739231146937527e-11
3,6,0,1.989918114188072,4.974795285716255,4.974795285466826,4.974795285466826,4.974795285466826
3,6,1,1.989918114187276,9.94958049529498,4.974795285466598,3.979856701621316,4.974795286543099
3,6,2,1.996522052033356,1.996522052033356,3.986130475701202,3.986130475701202,3.986130475701202
3,6,3,2.9848771712800044,2.984877176542682,6.966853476952679,2.985476205039163,2.985476205039163
3,6,4,2.9898214615174084,10.944519398232616,9.978002275352424,9.978002275352424,9.978002275352424
3,6,5,0.9949590570946611,5.969749565494453,3.987374386103511,3.987374386103511,3.987374386103511
3,6,6,2.984884252127358,10.948852872007592,11.94081858606046,11.94081858606046,11.94081858606046
3,6,7,0.9949590570935244,1.989918114541524,0.9949590570944338,1.2116812304861924,1.2116812304861924
3,6,8,1.001263855168645,12.934434488135937,10.95055487316938,9.949560298580424,10.95055487316938
3,6,9,1.9899181141889808,1.996987035649568,3.979923158150882,3.979923158150882,3.979923158150882
3,6,10,2.447544298027651,2.984879686614022,8.954621438730669,8.954621438730669,8.954621438730669
3,6,11,3.979836264347341,23.87895184806848,13.964617544043676,13.964617544043676,13.964617544043676
3,6,12,2.984877172241795,13.929411822019574,12.934452628755707,12.934452628755707,9.949580495294867
3,6,13,2.984894313604628,7.03995120068339,3.081824752243506,6.975255375476536,6.975255375476536
3,6,14,1.226795456153468,8.95527974204765,8.954621438201684,8.954621438201684,8.954621438201684
3,6,15,0.9949590570932968,18.904120963742,0.9949590574004789,0.9949590574004789,1.0466594778625904
3,6,16,0.9984844101434192,3.9798363507145496,1.9899181141867075,3.9798363507145496,3.979836228373301
3,6,17,2.984877979656744,6.964708361866656,6.964708514930749,6.964708441949597,2.9849038667402965
3,6,18,3.0971366579086634,7.95966741957568,7.960259754143863,7.960259754143863,7.970345956075789
3,6,19,0.9949600401622548,3.981262180764588,1.989918114202851,1.9907123906774584,1.9899181141867075
3,7,0,2.984885813893655,5.969749305100031,2.9855025058959512,5.969749304747836,5.969749305100031
3,7,1,3.979836228373344,6.9647083681893065,6.964708361834056,6.964708361834056,6.9647083681893065
3,7,2,4.979096254862292,14.924353101781328,12.934437469860224,12.934437469860224,12.934437469860306
3,7,3,1.9899181141865867,2.9848771713151123,2.984877171280033,2.984877171280033,2.984877171280054
3,7,4,1.9899181141872544,4.9747952854665485,4.978647058722466,4.991585896978421,4.991585896978421
3,7,5,2.984877171280125,6.964708368417298,3.979836228373273,3.979836228373273,7.228153748323997
3,7,6,5.055326523316079,9.949580495301008,6.964710193147489,6.964771635063901,9.949580495301008
3,7,7,0.9996553810413148,3.979831191642482,3.979831191642482,3.979831190554144,3.97983119056822
3,7,8,1.004773186364389,5.969749304814741,5.969749304740933,5.969749304740933,5.969749304740933
3,7,9,2.984880041954568,5.969749304757904,5.9697493047408265,5.9697493047408265,5.9697493047408265
3,7,10,3.022887966727218,9.949580593419604,9.949580593419604,7.007033669243661,9.949580593419604
3,7,11,0.9949590570933892,2.9848773677098066,2.984877171280118,2.984877171280118,3.1133158158045404
3,7,12,1.116793121183839,1.9899208519028373,3.026668025621845,5.9697493047408905,1.9899208519028373
3,7,13,3.979837631892616,6.964708362116241,6.964708361834095,6.964708361834095,6.964708361834095
3,7,14,0.9949590570933536,0.9949590756001429,2.015392990713316,0.9949590570934106,2.015392990713316
