fid,iid,rep,vbs_auc,switch_budget,selected_algorithm,achieved_auc,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
1,6,0,29437.01138662285,50,BFGS,29437.01138662285,29437.01138662285,36311.79739575594,39351.49919946468,43056.0229002817,44302.224856245535,47433.3744211722,48019.93600200896,48148.16901929864,49109.47125149396,49729.41344310427,50378.90444572492,52126.79836272221,51142.47862362179,51329.027073401216,51529.94287628237,52116.34103858687,52351.850417566624,52112.24132476644,52093.63257477813,52084.44564295874
1,6,1,26619.11592650404,100,BFGS,30013.201537252826,26619.11592650404,30013.201537252826,32423.113526914534,36353.82217527173,37513.77560416648,38128.52933797636,39852.61246513467,40305.06123220232,41473.14714719242,43030.84204425147,43660.891888413935,43962.21784084797,44281.51942404947,44573.5730407461,45282.86353664299,45025.85553302828,45235.42640767946,45300.32116412387,45290.47398539457,45282.86353664299
1,6,2,27457.88146521613,50,BFGS,27457.88146521613,27457.88146521613,30458.17709784612,33207.616496237395,36237.64060635175,36948.86192448272,38707.27114231335,38340.88141761328,39484.12611084666,40307.63491269935,40804.75558316532,41273.57025351078,41416.25189887823,42354.37642674854,41875.58334124603,41913.58269859408,42059.84423535924,42354.37642674854,42268.00894513936,42354.37642674854,42354.37642674854
1,6,3,30813.37172636724,50,BFGS,30813.37172636724,30813.37172636724,31192.92710290548,35342.61670965654,39233.26737099815,40672.58462637489,42692.982392024045,43658.405432672975,44691.0492642708,44931.35678685495,46237.138081036406,46532.05984922144,46908.831138435824,47396.385714131146,47594.99965768158,48613.88164836531,48010.62475207963,48331.13290811623,48390.33055782973,48342.67057459135,48331.13290811623
1,6,4,27547.33251175232,50,BFGS,27547.33251175232,27547.33251175232,28806.31140518946,33037.35401252078,36063.51577013514,36540.60072166191,36817.53586016585,38297.30922863288,38442.7376294033,39075.939203781694,40014.81217066188,40404.822850878685,40816.00018366805,41427.22828425116,41461.85119777133,42670.848420578826,41951.5326862532,42256.21090454853,42228.46372856535,42236.07330687468,42236.07330687468
1,6,5,27786.35926625328,50,BFGS,27786.35926625328,27786.35926625328,33422.171829708226,33444.62935951573,35752.64386344616,36982.25444625723,39048.56879708131,39690.567880527386,40979.79123910142,41517.51503197378,42692.00740517239,43159.28346381067,43622.90769830174,44076.773072917495,44292.08823177071,44564.393946523465,45113.53715136059,45113.53715136059,45164.7717527111,45130.08948075178,45113.53715136059
1,6,6,29115.36418051464,50,BFGS,29115.36418051464,29115.36418051464,30935.794067516348,34333.37627382078,36711.5711071868,38960.56390780787,39971.589293917816,42009.35181676859,42295.69341628469,43042.46979902009,44119.34272040181,44319.482511797454,44687.54944341339,44985.20387682296,45224.09514060423,45448.3027790408,45981.50503278431,45804.71164224051,45927.56185783072,45910.209468969486,45916.568604994034
1,6,7,28878.4056379598,50,BFGS,28878.4056379598,28878.4056379598,29065.40939662329,30865.286881116557,34089.90975601489,35253.68748850685,36805.73203517628,38637.80388865506,39945.22830134549,40533.49199088263,41681.91111857774,42258.23174688235,42553.83789618618,42976.084620988346,43278.64874404413,44201.41045800891,44083.696533882685,44121.0025217447,44125.16270129528,44117.904735792574,44121.0025217447
1,6,8,27536.763865137,50,BFGS,27536.763865137,27536.763865137,28235.29569062821,28957.654323593997,30447.40329785796,32095.060484440364,33921.75429025374,35237.47598653864,36014.22515098342,36962.35104336991,37406.3071985565,37693.985855677005,38065.0688600047,38374.720116306045,38458.57990719391,38637.41018776729,38875.76967771334,38955.22434180891,39024.692444968525,39071.61604241916,39071.61604241916
1,6,9,27834.702260130587,50,BFGS,29501.838112443125,29501.838112443125,27834.702260130587,28694.57859036954,32317.307857332235,34927.100584432075,36463.09577703517,37103.87558133931,37685.71078851863,38131.39505683544,39249.71401300258,40012.20373010307,40000.91552666934,40364.60163090169,40612.08626587541,41403.17774171278,41341.84302969374,41160.8146534009,41329.47362973973,41340.13401579834,41342.05681684257
