budget,algorithm,precision
50,Non-elitist,7168.0625811355
500,BFGS,7608.6280743992
550,BFGS,7626.1659462439
450,BFGS,7634.8810549136
600,BFGS,7665.8650459687
400,BFGS,7674.6364236199
350,BFGS,7694.5366935614
300,BFGS,7695.4216733771
650,BFGS,7721.7535649598
250,BFGS,7778.1476638458
200,BFGS,7948.2664199467
150,BFGS,8248.3060683539
700,BFGS,8393.5097369237
750,BFGS,8664.3791130994
100,Non-elitist,8972.359178363
100,BFGS,9537.5778976863
150,Non-elitist,10107.958028248
800,BFGS,10655.3506611826
200,Non-elitist,11758.2469647019
850,BFGS,12990.6306882754
250,Non-elitist,13723.3811860403
300,Non-elitist,13963.6884285946
50,BFGS,14467.1809760232
350,Non-elitist,15718.9669665937
900,BFGS,16275.0845028702
400,Non-elitist,18416.0320727356
950,BFGS,19771.5532157939
450,Non-elitist,21214.799664694
500,Non-elitist,23302.4460977862
550,Non-elitist,26682.6088698549
600,Non-elitist,27246.4319163757
650,Non-elitist,30508.9360246928
800,Elitist,30556.382103081
650,Elitist,30556.382103081
750,Elitist,30556.382103081
600,Elitist,30556.382103081
700,Elitist,30556.382103081
550,Elitist,30556.382103081
500,Elitist,30556.382103081
850,Elitist,30556.382103081
1000,Elitist,30556.382103081
1000,MLSL,30556.382103081
1000,PSO,30556.382103081
1000,Non-elitist,30556.382103081
900,Elitist,30556.382103081
950,Elitist,30556.382103081
1000,BFGS,30556.382103081
1000,DE,30556.382103081
300,Elitist,30556.382103081
350,Elitist,30556.382103081
400,Elitist,30556.382103081
250,Elitist,30556.382103081
200,Elitist,30556.382103081
150,Elitist,30556.382103081
100,Elitist,30556.382103081
450,Elitist,30556.382103081
50,Elitist,30556.382103081
700,Non-elitist,30632.2056019975
750,Non-elitist,30715.5765200128
950,Non-elitist,30830.6371788437
900,Non-elitist,31228.7356365477
850,Non-elitist,31283.9168159756
800,Non-elitist,31386.0834501364
950,PSO,35419.1684771716
950,DE,35671.0951567401
700,MLSL,36645.2177520128
450,DE,36776.7556694239
950,MLSL,36783.3126274991
500,DE,38146.1575619237
650,MLSL,40550.1062860429
350,DE,41422.7232302577
900,PSO,41685.1159011031
900,DE,41886.5377254597
550,DE,43151.8177390745
400,DE,43247.9182482412
900,MLSL,43635.4456044782
550,PSO,45979.0080884253
850,PSO,46385.9595642255
850,DE,47226.4362500761
250,DE,47433.3631446991
600,DE,48793.1674534484
850,MLSL,49557.5850921429
600,PSO,49880.6280227228
200,DE,50206.8835646918
300,DE,51332.979811319
800,PSO,51525.3588636266
500,PSO,52284.6113147551
600,MLSL,52457.8830814006
800,DE,52816.1321564128
700,PSO,53951.7514458713
750,PSO,54034.2763439887
750,DE,55632.7639354037
650,PSO,55853.30103943
800,MLSL,56497.004250251
150,DE,56762.7641066274
650,DE,57674.5678001731
700,DE,58422.3565639824
550,MLSL,60849.563722352
750,MLSL,61743.7195346056
400,PSO,70940.0389222522
450,PSO,71768.995968498
100,PSO,75310.3587078397
100,DE,75314.2038010119
50,PSO,77658.2648175985
300,PSO,84467.5024070847
500,MLSL,84626.7193556764
200,PSO,93829.706334765
250,PSO,94332.16607791401
450,MLSL,99893.0405358721
350,PSO,100543.56172289
150,PSO,102332.8218474328
50,DE,148760.2663499604
400,MLSL,179576.8992353
350,MLSL,219853.8198894033
300,MLSL,292739.8823004015
250,MLSL,378508.9159015495
200,MLSL,390850.5033691022
150,MLSL,487158.4766975362
100,MLSL,747654.3685618287
50,MLSL,847920.1771237283
