budget,algorithm,precision
650,BFGS,5080.393811555
700,BFGS,5086.8105608187
600,BFGS,5104.588779655
550,BFGS,5132.9088282872
750,BFGS,5146.6917406839
500,BFGS,5153.3918149831
450,BFGS,5214.1802544431
800,BFGS,5238.9395193462
400,BFGS,5304.0611052169
350,BFGS,5418.9902205002
850,BFGS,5445.3739877837
300,BFGS,5621.2286585755
900,BFGS,5802.4217122552
250,BFGS,6050.4354387084
950,BFGS,6520.2306265863
200,BFGS,6973.6371221286
850,Elitist,7091.0837015327
900,Elitist,7150.5413693253
950,Elitist,7201.7485690046
650,Elitist,7240.0126242143
750,Elitist,7281.6283614336
800,Elitist,7299.4341231261
500,Non-elitist,7454.2729411025
450,Non-elitist,7454.2729411025
300,Non-elitist,7454.2729411025
350,Non-elitist,7454.2729411025
400,Non-elitist,7454.2729411025
50,Non-elitist,7454.2729411025
150,Non-elitist,7454.2729411025
100,Non-elitist,7454.2729411025
250,Non-elitist,7454.2729411025
200,Non-elitist,7454.2729411025
700,Non-elitist,7454.2729411025
650,Non-elitist,7454.2729411025
1000,MLSL,7454.2729411025
550,Non-elitist,7454.2729411025
750,Non-elitist,7454.2729411025
800,Non-elitist,7454.2729411025
900,Non-elitist,7454.2729411025
600,Non-elitist,7454.2729411025
1000,Elitist,7454.2729411025
1000,PSO,7454.2729411025
950,Non-elitist,7454.2729411025
1000,Non-elitist,7454.2729411025
1000,BFGS,7454.2729411025
1000,DE,7454.2729411025
850,Non-elitist,7454.2729411025
450,Elitist,7692.1493306149
500,Elitist,7719.0438421416
700,Elitist,7744.178381746
600,Elitist,7771.5711936664
950,PSO,7813.6191096269
950,MLSL,7818.4963495502
950,DE,7829.1095559055
150,BFGS,8079.3719472788
550,Elitist,8467.0258388286
900,PSO,8468.0878311846
900,DE,8487.6558539549
900,MLSL,8528.3414850585
850,PSO,9086.816063093
850,DE,9123.1219757731
400,Elitist,9180.6462905551
850,MLSL,9271.9771074493
350,Elitist,9614.8769508987
250,Elitist,10083.7631401957
800,PSO,10139.1062589746
800,DE,10201.8810114948
300,Elitist,10209.0720139395
100,BFGS,10383.0472572531
800,MLSL,10490.8589661183
200,Elitist,11068.8476485755
750,PSO,11710.0744205282
750,DE,11851.4773618014
700,MLSL,12480.19451143
750,MLSL,12661.6438807334
150,Elitist,13563.791622414
700,PSO,13647.2371293791
700,DE,13848.4331584446
100,Elitist,14606.7524175515
650,MLSL,14669.2959087946
50,BFGS,15226.3148989837
650,PSO,15957.6385864621
650,DE,16867.9293366291
50,Elitist,18758.003812162
600,MLSL,18929.3728378123
600,PSO,20358.670452968
600,DE,20680.9276160438
550,MLSL,23426.5187246376
550,DE,24355.8255642987
550,PSO,24416.6684804345
450,DE,26459.2658761586
500,DE,26862.3871807167
500,MLSL,28389.0611668418
500,PSO,29285.4168116057
400,DE,29428.5595669078
350,DE,30850.7463848509
450,PSO,32765.8563984318
300,DE,35800.1146451293
250,DE,35925.1707621278
400,PSO,36319.3595131998
450,MLSL,36372.8391929987
350,PSO,38987.8458926683
400,MLSL,42973.6154507206
300,PSO,43140.3334998435
200,DE,47337.7988244229
250,PSO,52337.8248779025
200,PSO,52707.4113914791
150,DE,54061.4964888813
350,MLSL,55630.6964797781
50,PSO,64552.5237144308
100,PSO,67426.3140542875
150,PSO,69777.5240019839
100,DE,85222.9573744865
300,MLSL,113188.1344070428
50,DE,191651.5542066019
250,MLSL,192017.2978356256
200,MLSL,342498.67208089
150,MLSL,428108.0950782161
100,MLSL,779724.8003702468
50,MLSL,1203025.7447374174
