fid,iid,rep,VBS,Static B150,Lookahead 0,Lookahead 1,Lookahead 2,Lookahead 3,Lookahead 4,Lookahead 5,Lookahead 6,Lookahead 7,Lookahead 8,Lookahead 9,Lookahead 10,Lookahead 11,Lookahead 12,Lookahead 13,Lookahead 14,Lookahead 15,Lookahead 16,Lookahead 17,Lookahead 18,Lookahead 19,Lookahead 20
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,6,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,8,0.0,0.0,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,15,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,16,0.0,0.0,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14,2.8421709430404014e-14
1,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,11,0.0,0.0,0.0,0.0,1.1368683772161605e-13,1.1368683772161605e-13,0.0,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13,1.1368683772161605e-13
1,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5916157281026244e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,18,0.0,1.1368683772161605e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
