fid,iid,rep,alg_B50,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1.0,0.0,Elitist,BFGS,BFGS,Non-elitist,Non-elitist,BFGS,Non-elitist,BFGS,Non-elitist,Non-elitist,Elitist,BFGS,BFGS,BFGS,DE,PSO,MLSL,MLSL,BFGS,Non-elitist
1,1.0,1.0,Elitist,Non-elitist,BFGS,Non-elitist,BFGS,MLSL,BFGS,Elitist,Non-elitist,Elitist,BFGS,Non-elitist,Non-elitist,Non-elitist,BFGS,PSO,PSO,BFGS,Non-elitist,Non-elitist
1,1.0,2.0,Non-elitist,DE,Elitist,Elitist,Elitist,MLSL,PSO,DE,Elitist,DE,BFGS,PSO,DE,PSO,Elitist,Elitist,PSO,PSO,PSO,Non-elitist
1,1.0,3.0,BFGS,Non-elitist,Non-elitist,Elitist,Non-elitist,Non-elitist,Elitist,Elitist,Non-elitist,Elitist,BFGS,Elitist,BFGS,Non-elitist,Elitist,PSO,DE,Non-elitist,Non-elitist,Non-elitist
1,1.0,4.0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,BFGS,BFGS,Non-elitist,BFGS,Non-elitist,DE,BFGS,Elitist,PSO,BFGS,DE,PSO,MLSL,MLSL,MLSL,Non-elitist
1,1.0,5.0,BFGS,BFGS,Non-elitist,Elitist,Non-elitist,BFGS,BFGS,BFGS,Non-elitist,BFGS,BFGS,Non-elitist,BFGS,Non-elitist,PSO,MLSL,Elitist,DE,Non-elitist,Non-elitist
1,1.0,6.0,Non-elitist,Elitist,DE,BFGS,Non-elitist,Elitist,Non-elitist,BFGS,Non-elitist,DE,Non-elitist,Elitist,BFGS,Non-elitist,BFGS,DE,Non-elitist,BFGS,Non-elitist,Non-elitist
1,1.0,7.0,BFGS,BFGS,Non-elitist,Non-elitist,Non-elitist,Non-elitist,Elitist,BFGS,Non-elitist,Non-elitist,Non-elitist,Elitist,BFGS,BFGS,DE,MLSL,PSO,Non-elitist,MLSL,Non-elitist
1,1.0,8.0,BFGS,Elitist,Non-elitist,DE,Non-elitist,BFGS,Elitist,BFGS,Non-elitist,DE,MLSL,Non-elitist,BFGS,Non-elitist,BFGS,MLSL,Elitist,MLSL,Non-elitist,Non-elitist
1,1.0,9.0,BFGS,BFGS,DE,Elitist,Non-elitist,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Elitist,PSO,DE,Elitist,Elitist,BFGS,Non-elitist
1,1.0,10.0,BFGS,BFGS,DE,Non-elitist,Non-elitist,MLSL,DE,BFGS,PSO,DE,Non-elitist,Elitist,BFGS,DE,PSO,PSO,Elitist,MLSL,MLSL,Non-elitist
1,1.0,11.0,BFGS,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,Non-elitist,Elitist,BFGS,Non-elitist,Elitist,BFGS,BFGS,MLSL,Non-elitist,Non-elitist
1,1.0,12.0,Non-elitist,Non-elitist,Non-elitist,Elitist,Non-elitist,MLSL,PSO,DE,Non-elitist,PSO,Non-elitist,BFGS,Non-elitist,DE,BFGS,PSO,DE,Non-elitist,MLSL,Non-elitist
1,1.0,13.0,Non-elitist,Non-elitist,Non-elitist,Non-elitist,MLSL,DE,BFGS,Non-elitist,PSO,DE,Non-elitist,DE,DE,Non-elitist,PSO,MLSL,BFGS,MLSL,Non-elitist,Non-elitist
1,1.0,14.0,Non-elitist,Non-elitist,Elitist,Non-elitist,Elitist,MLSL,Non-elitist,DE,Elitist,DE,PSO,Elitist,DE,DE,Elitist,Non-elitist,Non-elitist,PSO,Elitist,Non-elitist
1,1.0,15.0,BFGS,BFGS,Elitist,DE,Non-elitist,MLSL,PSO,PSO,BFGS,DE,Non-elitist,Elitist,DE,Non-elitist,PSO,Non-elitist,Elitist,MLSL,Elitist,Non-elitist
1,1.0,16.0,BFGS,BFGS,Non-elitist,Elitist,BFGS,BFGS,Non-elitist,BFGS,BFGS,BFGS,BFGS,BFGS,BFGS,Non-elitist,Elitist,BFGS,BFGS,Elitist,Non-elitist,Non-elitist
1,1.0,17.0,Non-elitist,BFGS,BFGS,Non-elitist,Elitist,BFGS,BFGS,BFGS,DE,DE,Non-elitist,MLSL,BFGS,BFGS,Elitist,Elitist,MLSL,MLSL,DE,Non-elitist
1,1.0,18.0,Non-elitist,BFGS,BFGS,MLSL,Elitist,MLSL,Elitist,PSO,DE,DE,Non-elitist,BFGS,PSO,DE,DE,DE,Elitist,BFGS,PSO,Non-elitist
1,1.0,19.0,BFGS,Non-elitist,BFGS,BFGS,Non-elitist,Elitist,BFGS,Elitist,BFGS,Non-elitist,BFGS,Non-elitist,BFGS,Non-elitist,PSO,MLSL,Elitist,DE,Non-elitist,Non-elitist
