fid,iid,rep,best_budget
1,1.0,0.0,50
1,1.0,1.0,150
1,1.0,2.0,250
1,1.0,3.0,50
1,1.0,4.0,250
1,1.0,5.0,50
1,1.0,6.0,300
1,1.0,7.0,50
1,1.0,8.0,50
1,1.0,9.0,50
1,1.0,10.0,50
1,1.0,11.0,50
1,1.0,12.0,200
1,1.0,13.0,50
1,1.0,14.0,150
1,1.0,15.0,50
1,1.0,16.0,50
1,1.0,17.0,100
1,1.0,18.0,100
1,1.0,19.0,50
1,2.0,0.0,250
1,2.0,1.0,150
1,2.0,2.0,50
1,2.0,3.0,150
1,2.0,4.0,50
1,2.0,5.0,50
1,2.0,6.0,50
1,2.0,7.0,50
1,2.0,8.0,50
1,2.0,9.0,150
1,2.0,10.0,150
1,2.0,11.0,150
1,2.0,12.0,150
1,2.0,13.0,50
1,2.0,14.0,300
1,2.0,15.0,50
1,2.0,16.0,100
1,2.0,17.0,50
1,2.0,18.0,50
1,2.0,19.0,150
1,3.0,0.0,50
1,3.0,1.0,50
1,3.0,2.0,50
1,3.0,3.0,100
1,3.0,4.0,50
1,3.0,5.0,100
1,3.0,6.0,50
1,3.0,7.0,50
1,3.0,8.0,50
1,3.0,9.0,50
1,3.0,10.0,50
1,3.0,11.0,50
1,3.0,12.0,50
1,3.0,13.0,50
1,3.0,14.0,50
1,3.0,15.0,50
1,3.0,16.0,50
1,3.0,17.0,50
1,3.0,18.0,50
1,3.0,19.0,50
1,4.0,0.0,50
1,4.0,1.0,50
1,4.0,2.0,50
1,4.0,3.0,50
1,4.0,4.0,50
1,4.0,5.0,50
1,4.0,6.0,50
1,4.0,7.0,50
1,4.0,8.0,50
1,4.0,9.0,50
1,4.0,10.0,50
1,4.0,11.0,50
1,4.0,12.0,50
1,4.0,13.0,50
1,4.0,14.0,50
1,4.0,15.0,50
1,4.0,16.0,50
1,4.0,17.0,50
1,4.0,18.0,50
1,4.0,19.0,100
1,5.0,0.0,50
1,5.0,1.0,50
1,5.0,2.0,50
1,5.0,3.0,50
1,5.0,4.0,50
1,5.0,5.0,50
1,5.0,6.0,50
1,5.0,7.0,50
1,5.0,8.0,50
1,5.0,9.0,50
1,5.0,10.0,100
1,5.0,11.0,500
1,5.0,12.0,200
1,5.0,13.0,100
1,5.0,14.0,50
1,5.0,15.0,50
1,5.0,16.0,100
1,5.0,17.0,300
1,5.0,18.0,50
1,5.0,19.0,100
2,1.0,0.0,50
2,1.0,1.0,100
2,1.0,2.0,100
2,1.0,3.0,50
2,1.0,4.0,50
2,1.0,5.0,50
2,1.0,6.0,100
2,1.0,7.0,150
2,1.0,8.0,50
2,1.0,9.0,150
2,1.0,10.0,50
2,1.0,11.0,50
2,1.0,12.0,50
2,1.0,13.0,50
2,1.0,14.0,200
2,1.0,15.0,50
2,1.0,16.0,50
2,1.0,17.0,100
2,1.0,18.0,50
2,1.0,19.0,50
2,2.0,0.0,100
2,2.0,1.0,50
2,2.0,2.0,50
2,2.0,3.0,50
2,2.0,4.0,400
2,2.0,5.0,50
2,2.0,6.0,100
2,2.0,7.0,100
2,2.0,8.0,100
2,2.0,9.0,100
2,2.0,10.0,50
2,2.0,11.0,50
2,2.0,12.0,100
2,2.0,13.0,50
2,2.0,14.0,100
2,2.0,15.0,100
2,2.0,16.0,50
2,2.0,17.0,100
2,2.0,18.0,100
2,2.0,19.0,150
2,3.0,0.0,150
2,3.0,1.0,200
2,3.0,2.0,150
2,3.0,3.0,150
2,3.0,4.0,50
2,3.0,5.0,150
2,3.0,6.0,150
2,3.0,7.0,50
2,3.0,8.0,100
2,3.0,9.0,200
2,3.0,10.0,150
2,3.0,11.0,250
2,3.0,12.0,50
2,3.0,13.0,100
2,3.0,14.0,200
2,3.0,15.0,150
2,3.0,16.0,50
2,3.0,17.0,100
2,3.0,18.0,100
2,3.0,19.0,150
2,4.0,0.0,300
2,4.0,1.0,50
2,4.0,2.0,50
2,4.0,3.0,100
2,4.0,4.0,50
2,4.0,5.0,50
2,4.0,6.0,200
2,4.0,7.0,200
2,4.0,8.0,50
2,4.0,9.0,50
2,4.0,10.0,50
2,4.0,11.0,100
2,4.0,12.0,50
2,4.0,13.0,50
2,4.0,14.0,50
2,4.0,15.0,150
2,4.0,16.0,100
2,4.0,17.0,150
2,4.0,18.0,100
2,4.0,19.0,50
2,5.0,0.0,100
2,5.0,1.0,50
2,5.0,2.0,100
2,5.0,3.0,50
2,5.0,4.0,200
2,5.0,5.0,50
2,5.0,6.0,350
2,5.0,7.0,50
2,5.0,8.0,100
2,5.0,9.0,50
2,5.0,10.0,50
2,5.0,11.0,50
2,5.0,12.0,50
2,5.0,13.0,150
2,5.0,14.0,50
2,5.0,15.0,50
2,5.0,16.0,50
2,5.0,17.0,50
2,5.0,18.0,100
2,5.0,19.0,150
3,1.0,0.0,250
3,1.0,1.0,200
3,1.0,2.0,250
3,1.0,3.0,350
3,1.0,4.0,200
3,1.0,5.0,200
3,1.0,6.0,200
3,1.0,7.0,300
3,1.0,8.0,150
3,1.0,9.0,200
3,1.0,10.0,100
3,1.0,11.0,300
3,1.0,12.0,250
3,1.0,13.0,350
3,1.0,14.0,250
3,1.0,15.0,150
3,1.0,16.0,250
3,1.0,17.0,150
3,1.0,18.0,200
3,1.0,19.0,150
3,2.0,0.0,350
3,2.0,1.0,400
3,2.0,2.0,300
3,2.0,3.0,250
3,2.0,4.0,450
3,2.0,5.0,250
3,2.0,6.0,150
3,2.0,7.0,150
3,2.0,8.0,150
3,2.0,9.0,250
3,2.0,10.0,200
3,2.0,11.0,250
3,2.0,12.0,100
3,2.0,13.0,300
3,2.0,14.0,300
3,2.0,15.0,100
3,2.0,16.0,300
3,2.0,17.0,150
3,2.0,18.0,100
3,2.0,19.0,250
3,3.0,0.0,150
3,3.0,1.0,150
3,3.0,2.0,350
3,3.0,3.0,300
3,3.0,4.0,100
3,3.0,5.0,550
3,3.0,6.0,100
3,3.0,7.0,100
3,3.0,8.0,250
3,3.0,9.0,200
3,3.0,10.0,150
3,3.0,11.0,200
3,3.0,12.0,250
3,3.0,13.0,200
3,3.0,14.0,650
3,3.0,15.0,150
3,3.0,16.0,200
3,3.0,17.0,300
3,3.0,18.0,300
3,3.0,19.0,400
3,4.0,0.0,150
3,4.0,1.0,250
3,4.0,2.0,50
3,4.0,3.0,50
3,4.0,4.0,300
3,4.0,5.0,300
3,4.0,6.0,300
3,4.0,7.0,250
3,4.0,8.0,250
3,4.0,9.0,50
3,4.0,10.0,200
3,4.0,11.0,250
3,4.0,12.0,300
3,4.0,13.0,150
3,4.0,14.0,300
3,4.0,15.0,300
3,4.0,16.0,350
3,4.0,17.0,700
3,4.0,18.0,300
3,4.0,19.0,150
3,5.0,0.0,500
3,5.0,1.0,200
3,5.0,2.0,150
3,5.0,3.0,250
3,5.0,4.0,50
3,5.0,5.0,150
3,5.0,6.0,200
3,5.0,7.0,100
3,5.0,8.0,400
3,5.0,9.0,550
3,5.0,10.0,450
3,5.0,11.0,400
3,5.0,12.0,150
3,5.0,13.0,200
3,5.0,14.0,500
3,5.0,15.0,350
3,5.0,16.0,250
3,5.0,17.0,250
3,5.0,18.0,700
3,5.0,19.0,250
4,1.0,0.0,200
4,1.0,1.0,500
4,1.0,2.0,400
4,1.0,3.0,150
4,1.0,4.0,350
4,1.0,5.0,300
4,1.0,6.0,150
4,1.0,7.0,300
4,1.0,8.0,150
4,1.0,9.0,150
4,1.0,10.0,150
4,1.0,11.0,400
4,1.0,12.0,100
4,1.0,13.0,200
4,1.0,14.0,250
4,1.0,15.0,200
4,1.0,16.0,400
4,1.0,17.0,100
4,1.0,18.0,150
4,1.0,19.0,150
4,2.0,0.0,200
4,2.0,1.0,250
4,2.0,2.0,250
4,2.0,3.0,150
4,2.0,4.0,250
4,2.0,5.0,200
4,2.0,6.0,400
4,2.0,7.0,500
4,2.0,8.0,200
4,2.0,9.0,450
4,2.0,10.0,50
4,2.0,11.0,250
4,2.0,12.0,200
4,2.0,13.0,300
4,2.0,14.0,400
4,2.0,15.0,700
4,2.0,16.0,400
4,2.0,17.0,350
4,2.0,18.0,150
4,2.0,19.0,400
4,3.0,0.0,700
4,3.0,1.0,450
4,3.0,2.0,50
4,3.0,3.0,250
4,3.0,4.0,150
4,3.0,5.0,450
4,3.0,6.0,300
4,3.0,7.0,150
4,3.0,8.0,150
4,3.0,9.0,250
4,3.0,10.0,450
4,3.0,11.0,200
4,3.0,12.0,150
4,3.0,13.0,600
4,3.0,14.0,450
4,3.0,15.0,150
4,3.0,16.0,450
4,3.0,17.0,400
4,3.0,18.0,100
4,3.0,19.0,250
4,4.0,0.0,200
4,4.0,1.0,200
4,4.0,2.0,450
4,4.0,3.0,100
4,4.0,4.0,200
4,4.0,5.0,200
4,4.0,6.0,150
4,4.0,7.0,150
4,4.0,8.0,400
4,4.0,9.0,300
4,4.0,10.0,150
4,4.0,11.0,350
4,4.0,12.0,550
4,4.0,13.0,100
4,4.0,14.0,150
4,4.0,15.0,200
4,4.0,16.0,200
4,4.0,17.0,500
4,4.0,18.0,50
4,4.0,19.0,350
4,5.0,0.0,200
4,5.0,1.0,200
4,5.0,2.0,150
4,5.0,3.0,150
4,5.0,4.0,150
4,5.0,5.0,300
4,5.0,6.0,250
4,5.0,7.0,300
4,5.0,8.0,200
4,5.0,9.0,200
4,5.0,10.0,100
4,5.0,11.0,800
4,5.0,12.0,150
4,5.0,13.0,200
4,5.0,14.0,250
4,5.0,15.0,250
4,5.0,16.0,300
4,5.0,17.0,50
4,5.0,18.0,150
4,5.0,19.0,400
5,1.0,0.0,50
5,1.0,1.0,100
5,1.0,2.0,100
5,1.0,3.0,100
5,1.0,4.0,50
5,1.0,5.0,50
5,1.0,6.0,50
5,1.0,7.0,50
5,1.0,8.0,50
5,1.0,9.0,100
5,1.0,10.0,50
5,1.0,11.0,50
5,1.0,12.0,50
5,1.0,13.0,50
5,1.0,14.0,50
5,1.0,15.0,150
5,1.0,16.0,50
5,1.0,17.0,50
5,1.0,18.0,100
5,1.0,19.0,50
5,2.0,0.0,50
5,2.0,1.0,50
5,2.0,2.0,50
5,2.0,3.0,50
5,2.0,4.0,50
5,2.0,5.0,50
5,2.0,6.0,100
5,2.0,7.0,50
5,2.0,8.0,100
5,2.0,9.0,50
5,2.0,10.0,50
5,2.0,11.0,50
5,2.0,12.0,50
5,2.0,13.0,100
5,2.0,14.0,50
5,2.0,15.0,100
5,2.0,16.0,100
5,2.0,17.0,50
5,2.0,18.0,50
5,2.0,19.0,50
5,3.0,0.0,50
5,3.0,1.0,50
5,3.0,2.0,150
5,3.0,3.0,50
5,3.0,4.0,50
5,3.0,5.0,50
5,3.0,6.0,200
5,3.0,7.0,50
5,3.0,8.0,100
5,3.0,9.0,50
5,3.0,10.0,50
5,3.0,11.0,50
5,3.0,12.0,250
5,3.0,13.0,50
5,3.0,14.0,50
5,3.0,15.0,50
5,3.0,16.0,100
5,3.0,17.0,50
5,3.0,18.0,150
5,3.0,19.0,50
5,4.0,0.0,50
5,4.0,1.0,50
5,4.0,2.0,50
