iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
7,11,950,DE,0.9218497086949341,24,21,0.5
7,12,950,DE,0.6672131706721925,24,21,0.5
7,13,950,DE,0.9082423014782377,24,21,0.5
7,14,950,DE,0.9451556938861874,24,21,0.5
7,15,950,DE,0.9427857048036239,24,21,0.5
7,16,950,DE,0.8772842128232483,24,21,0.5
7,17,950,DE,0.9130688536567219,24,21,0.5
7,18,950,DE,1.685266546244356,24,21,0.5
7,19,950,DE,0.9382159805578678,24,21,0.5
6,0,950,DE,0.6221456022829858,24,21,0.3
6,1,950,DE,0.49455356601635875,24,21,0.3
6,2,950,DE,0.5041759154924174,24,21,0.3
6,3,950,DE,0.4552947119827478,24,21,0.3
6,4,950,DE,0.4454203018845431,24,21,0.3
6,5,950,DE,0.5003598937683099,24,21,0.3
6,6,950,DE,0.5652046766354779,24,21,0.3
6,7,950,DE,0.4241018246500567,24,21,0.3
6,8,950,DE,0.43306179330991124,24,21,0.3
6,9,950,DE,0.6270360981178723,24,21,0.3
6,10,950,DE,0.5293736504317857,24,21,0.3
6,11,950,DE,0.3297566251074457,24,21,0.3
6,12,950,DE,0.4906329466273883,24,21,0.3
6,13,950,DE,0.8897743444771495,24,21,0.3
6,14,950,DE,0.9340713594438185,24,21,0.3
6,15,950,DE,0.4754349017529039,24,21,0.3
6,16,950,DE,0.8415195594156292,24,21,0.3
6,17,950,DE,0.6839861057707617,24,21,0.3
6,18,950,DE,0.43499812340857014,24,21,0.3
6,19,950,DE,0.5141116130152026,24,21,0.3
7,0,950,DE,0.4790916025498761,24,21,0.3
7,1,950,DE,0.263773978996728,24,21,0.3
7,2,950,DE,0.4413110840283663,24,21,0.3
7,3,950,DE,0.8483594304251691,24,21,0.3
7,4,950,DE,0.8130594333539091,24,21,0.3
7,5,950,DE,0.8716616055046295,24,21,0.3
7,6,950,DE,0.228044342172732,24,21,0.3
7,7,950,DE,0.5849219438793498,24,21,0.3
7,8,950,DE,0.6690308211787193,24,21,0.3
7,9,950,DE,0.9330670959391051,24,21,0.3
7,10,950,DE,0.916331045087058,24,21,0.3
7,11,950,DE,0.4254236881498107,24,21,0.3
7,12,950,DE,0.940592597068734,24,21,0.3
7,13,950,DE,0.6570064105611596,24,21,0.3
7,14,950,DE,0.24139225447558835,24,21,0.3
7,15,950,DE,0.4607022954984594,24,21,0.3
7,16,950,DE,0.43659274615737215,24,21,0.3
7,17,950,DE,0.4218132200502755,24,21,0.3
7,18,950,DE,0.5191399666271647,24,21,0.3
7,19,950,DE,0.6969497093203305,24,21,0.3
6,0,950,DE,0.281541131984905,24,21,0.1
6,1,950,DE,0.38593626487142607,24,21,0.1
6,2,950,DE,0.47622492111268716,24,21,0.1
6,3,950,DE,0.1347930654415858,24,21,0.1
6,4,950,DE,0.524493253362964,24,21,0.1
6,5,950,DE,0.7297995869894512,24,21,0.1
6,6,950,DE,0.22420860014504426,24,21,0.1
6,7,950,DE,0.2152495427680028,24,21,0.1
6,8,950,DE,0.2235437348946473,24,21,0.1
6,9,950,DE,0.5804596292606437,24,21,0.1
6,10,950,DE,0.7244485470440719,24,21,0.1
6,11,950,DE,0.2746741263817187,24,21,0.1
6,12,950,DE,0.24059804980769373,24,21,0.1
6,13,950,DE,0.4070790812197621,24,21,0.1
6,14,950,DE,0.6726791993461523,24,21,0.1
6,15,950,DE,0.25484766206881915,24,21,0.1
6,16,950,DE,0.6798316963818948,24,21,0.1
6,17,950,DE,0.3996808296901187,24,21,0.1
6,18,950,DE,0.6294371299305612,24,21,0.1
6,19,950,DE,0.7568768523024749,24,21,0.1
7,0,950,DE,0.25436039428772994,24,21,0.1
7,1,950,DE,0.3328239086859956,24,21,0.1
7,2,950,DE,0.3421551868748291,24,21,0.1
7,3,950,DE,0.2924509369924865,24,21,0.1
7,4,950,DE,0.6179150881187875,24,21,0.1
7,5,950,DE,0.23801083681264765,24,21,0.1
7,6,950,DE,0.23970851613759445,24,21,0.1
7,7,950,DE,0.49087556348153905,24,21,0.1
7,8,950,DE,0.18582920865874822,24,21,0.1
7,9,950,DE,0.6009107210672718,24,21,0.1
7,10,950,DE,1.1595230625254598,24,21,0.1
7,11,950,DE,0.4046695258871399,24,21,0.1
7,12,950,DE,0.2437658206161749,24,21,0.1
7,13,950,DE,0.2239139039782931,24,21,0.1
7,14,950,DE,0.37856866074031553,24,21,0.1
7,15,950,DE,6.6611438125470155,24,21,0.1
7,16,950,DE,0.40983033577178546,24,21,0.1
7,17,950,DE,0.3616312754506409,24,21,0.1
7,18,950,DE,0.7465680637368717,24,21,0.1
7,19,950,DE,0.7536616133722014,24,21,0.1
6,0,950,DE,2.810213379507012,21,22,0.9
6,1,950,DE,2.6402226731213396,21,22,0.9
6,2,950,DE,2.5535972281255797,21,22,0.9
6,3,950,DE,2.728849318541587,21,22,0.9
6,4,950,DE,0.5376694438730141,21,22,0.9
6,5,950,DE,2.7204950192782085,21,22,0.9
6,6,950,DE,2.6951828253004018,21,22,0.9
6,7,950,DE,2.507368768125003,21,22,0.9
6,8,950,DE,1.855521218224934,21,22,0.9
6,9,950,DE,2.6819184843658537,21,22,0.9
6,10,950,DE,2.6758004776309843,21,22,0.9
6,11,950,DE,8.045810631891166,21,22,0.9
6,12,950,DE,2.4578348054555565,21,22,0.9
6,13,950,DE,2.636723548156967,21,22,0.9
6,14,950,DE,2.7024844511407173,21,22,0.9
6,15,950,DE,7.943916466459391,21,22,0.9
6,16,950,DE,2.8183044233511945,21,22,0.9
6,17,950,DE,2.7176191392948192,21,22,0.9
6,18,950,DE,0.480157348011046,21,22,0.9
6,19,950,DE,2.1344869813127696,21,22,0.9
7,0,950,DE,1.407206629701029,21,22,0.9
7,1,950,DE,1.3597017324899838,21,22,0.9
7,2,950,DE,7.101295810598663,21,22,0.9
7,3,950,DE,7.002675632601185,21,22,0.9
7,4,950,DE,7.003311940831585,21,22,0.9
7,5,950,DE,6.804869117384408,21,22,0.9
7,6,950,DE,1.5224124231863179,21,22,0.9
7,7,950,DE,1.2522276701464032,21,22,0.9
7,8,950,DE,4.6180857660633245,21,22,0.9
7,9,950,DE,1.2848284907308454,21,22,0.9
7,10,950,DE,1.3676148122146017,21,22,0.9
7,11,950,DE,0.2629505619118191,21,22,0.9
7,12,950,DE,1.54174324992706,21,22,0.9
7,13,950,DE,1.2888895402815912,21,22,0.9
7,14,950,DE,2.61351350332221,21,22,0.9
7,15,950,DE,1.337206559147791,21,22,0.9
7,16,950,DE,5.763284866315449,21,22,0.9
7,17,950,DE,7.027519134634373,21,22,0.9
7,18,950,DE,7.156287448946785,21,22,0.9
