iid,rep,a1_budget,algname,achieved_regret,fid_a,fid_b,alpha
6,19,350,Elitist,0.5708269190957407,2,10,0.5
7,0,350,Elitist,0.4558463946456821,2,10,0.5
7,1,350,Elitist,0.7367484712832402,2,10,0.5
7,2,350,Elitist,0.4999154828691845,2,10,0.5
7,3,350,Elitist,0.5306679457581495,2,10,0.5
7,4,350,Elitist,0.5713505316087855,2,10,0.5
7,5,350,Elitist,0.4756415662300077,2,10,0.5
7,6,350,Elitist,0.46279325839866814,2,10,0.5
7,7,350,Elitist,0.6015102401806182,2,10,0.5
7,8,350,Elitist,0.705649546985761,2,10,0.5
7,9,350,Elitist,0.36000932675894753,2,10,0.5
7,10,350,Elitist,0.7084896215524044,2,10,0.5
7,11,350,Elitist,0.5397764318518039,2,10,0.5
7,12,350,Elitist,0.562757194547301,2,10,0.5
7,13,350,Elitist,0.47330189896460884,2,10,0.5
7,14,350,Elitist,0.6876111265142151,2,10,0.5
7,15,350,Elitist,0.6785531137181883,2,10,0.5
7,16,350,Elitist,0.4461385837716015,2,10,0.5
7,17,350,Elitist,0.5435026742581326,2,10,0.5
7,18,350,Elitist,0.7457723306216003,2,10,0.5
7,19,350,Elitist,0.654731116287754,2,10,0.5
6,0,350,Elitist,0.6445686270317845,2,10,0.3
6,1,350,Elitist,0.8528008234539637,2,10,0.3
6,2,350,Elitist,0.6038641502361733,2,10,0.3
6,3,350,Elitist,0.5924158432491468,2,10,0.3
6,4,350,Elitist,0.5369163942825705,2,10,0.3
6,5,350,Elitist,0.600412037849858,2,10,0.3
6,6,350,Elitist,0.6987094310501653,2,10,0.3
6,7,350,Elitist,0.4877431174121737,2,10,0.3
6,8,350,Elitist,0.4824395918463039,2,10,0.3
6,9,350,Elitist,0.515132558560067,2,10,0.3
6,10,350,Elitist,0.6681935335997214,2,10,0.3
6,11,350,Elitist,0.48025731581057796,2,10,0.3
6,12,350,Elitist,0.5056484731923965,2,10,0.3
6,13,350,Elitist,0.7330263408286414,2,10,0.3
6,14,350,Elitist,0.5386868899865087,2,10,0.3
6,15,350,Elitist,0.6286468215081995,2,10,0.3
6,16,350,Elitist,0.6499716536987995,2,10,0.3
6,17,350,Elitist,0.4663959300057824,2,10,0.3
6,18,350,Elitist,0.537956345155516,2,10,0.3
6,19,350,Elitist,0.6306971250760733,2,10,0.3
7,0,350,Elitist,0.806188965845448,2,10,0.3
7,1,350,Elitist,0.5146077166228902,2,10,0.3
7,2,350,Elitist,0.5686736815108052,2,10,0.3
7,3,350,Elitist,0.7768623313769368,2,10,0.3
7,4,350,Elitist,0.4538214908052217,2,10,0.3
7,5,350,Elitist,0.7887900949618007,2,10,0.3
7,6,350,Elitist,0.7871089217665175,2,10,0.3
7,7,350,Elitist,0.5404087219573751,2,10,0.3
7,8,350,Elitist,0.6399563453193592,2,10,0.3
7,9,350,Elitist,0.6217233751805774,2,10,0.3
7,10,350,Elitist,0.667300164049739,2,10,0.3
7,11,350,Elitist,0.48679273042065707,2,10,0.3
7,12,350,Elitist,0.7152682197744197,2,10,0.3
7,13,350,Elitist,0.6174175015621487,2,10,0.3
7,14,350,Elitist,0.5267519219760398,2,10,0.3
7,15,350,Elitist,0.8954268032451937,2,10,0.3
7,16,350,Elitist,0.4291441173311633,2,10,0.3
7,17,350,Elitist,0.7781291269778577,2,10,0.3
7,18,350,Elitist,0.6306151123272784,2,10,0.3
7,19,350,Elitist,0.5234761486264856,2,10,0.3
6,0,350,Elitist,0.5719059607555642,2,10,0.1
6,1,350,Elitist,0.5598421603445045,2,10,0.1
6,2,350,Elitist,0.5368682535651672,2,10,0.1
6,3,350,Elitist,0.46906182660355444,2,10,0.1
6,4,350,Elitist,0.5473430408347747,2,10,0.1
6,5,350,Elitist,0.6002463718538311,2,10,0.1
6,6,350,Elitist,0.6230267831703856,2,10,0.1
6,7,350,Elitist,0.38302793871483715,2,10,0.1
6,8,350,Elitist,0.6157807308952197,2,10,0.1
6,9,350,Elitist,0.5243162784639539,2,10,0.1
6,10,350,Elitist,0.5688140289035215,2,10,0.1
6,11,350,Elitist,0.538725268910874,2,10,0.1
6,12,350,Elitist,0.5815651023889987,2,10,0.1
6,13,350,Elitist,0.5373131290404322,2,10,0.1
6,14,350,Elitist,0.5985325217106509,2,10,0.1
6,15,350,Elitist,0.6937046984497012,2,10,0.1
6,16,350,Elitist,0.4363273017493081,2,10,0.1
6,17,350,Elitist,0.4017675193756889,2,10,0.1
6,18,350,Elitist,0.7903111471960317,2,10,0.1
6,19,350,Elitist,0.6261236077497436,2,10,0.1
7,0,350,Elitist,0.4925950807465952,2,10,0.1
7,1,350,Elitist,0.4418291610879656,2,10,0.1
7,2,350,Elitist,0.5415908560123437,2,10,0.1
7,3,350,Elitist,0.5639202061310873,2,10,0.1
7,4,350,Elitist,0.39810294235828386,2,10,0.1
7,5,350,Elitist,0.7024363764683194,2,10,0.1
7,6,350,Elitist,0.5353853843302975,2,10,0.1
7,7,350,Elitist,0.7218055480625444,2,10,0.1
7,8,350,Elitist,0.5804187171898497,2,10,0.1
7,9,350,Elitist,0.4748639205329759,2,10,0.1
7,10,350,Elitist,0.517737686878087,2,10,0.1
7,11,350,Elitist,0.5711304630235946,2,10,0.1
7,12,350,Elitist,0.5571206554182265,2,10,0.1
7,13,350,Elitist,0.4840686691689029,2,10,0.1
7,14,350,Elitist,0.4767291836052285,2,10,0.1
7,15,350,Elitist,0.6288953950493253,2,10,0.1
7,16,350,Elitist,0.7639973153967732,2,10,0.1
7,17,350,Elitist,0.5074215063728468,2,10,0.1
7,18,350,Elitist,0.6618571099740845,2,10,0.1
7,19,350,Elitist,0.6485399904835483,2,10,0.1
6,0,350,Elitist,4.005710354341238,24,21,0.9
6,1,350,Elitist,4.9457930869297355,24,21,0.9
6,2,350,Elitist,4.181287363714741,24,21,0.9
6,3,350,Elitist,4.54161380570951,24,21,0.9
6,4,350,Elitist,7.453169168053514,24,21,0.9
6,5,350,Elitist,6.508675838586851,24,21,0.9
6,6,350,Elitist,3.412932784142637,24,21,0.9
6,7,350,Elitist,7.170131489693285,24,21,0.9
6,8,350,Elitist,6.727426957579637,24,21,0.9
6,9,350,Elitist,6.559479115406939,24,21,0.9
6,10,350,Elitist,5.262533534155879,24,21,0.9
6,11,350,Elitist,3.8529461967476353,24,21,0.9
6,12,350,Elitist,6.560716943350696,24,21,0.9
6,13,350,Elitist,4.194666003910926,24,21,0.9
6,14,350,Elitist,4.058161459316565,24,21,0.9
6,15,350,Elitist,4.207764987849327,24,21,0.9
6,16,350,Elitist,4.949961091348403,24,21,0.9
6,17,350,Elitist,5.144597754247133,24,21,0.9
6,18,350,Elitist,6.691165422302499,24,21,0.9
6,19,350,Elitist,4.548607562396812,24,21,0.9
7,0,350,Elitist,4.54999945237803,24,21,0.9
7,1,350,Elitist,7.502751157176148,24,21,0.9
7,2,350,Elitist,3.831499656111379,24,21,0.9
7,3,350,Elitist,7.238932190477977,24,21,0.9
7,4,350,Elitist,7.051274570762361,24,21,0.9
7,5,350,Elitist,4.889453718279248,24,21,0.9
7,6,350,Elitist,7.039494850378016,24,21,0.9
7,7,350,Elitist,6.471134490138442,24,21,0.9
7,8,350,Elitist,5.229174807693871,24,21,0.9
7,9,350,Elitist,6.983544229485043,24,21,0.9
7,10,350,Elitist,4.412218251345219,24,21,0.9
7,11,350,Elitist,4.541654209750201,24,21,0.9
