fid,iid,rep,predicted_algo,precision,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1.0,6.0,0.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,3.11625e-05
1.0,6.0,1.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.48445e-05
1.0,6.0,2.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,5.39866e-05
1.0,6.0,3.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,3.23619e-05
1.0,6.0,4.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.11148e-05
1.0,6.0,5.0,Non-elitist,1e-10,0.0,0.0,0.0,0.0,1e-10,5.2905e-05
1.0,6.0,6.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,8.87125e-05
1.0,6.0,7.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,6.28747e-05
1.0,6.0,8.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,4.4121e-06
1.0,6.0,9.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,3.0788e-06
1.0,6.0,10.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,8.8126e-05
1.0,6.0,11.0,Non-elitist,1e-10,0.0,0.0,0.0,0.0,1e-10,4.19762e-05
1.0,6.0,12.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,8.80261e-05
1.0,6.0,13.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,7.70907e-05
1.0,6.0,14.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,2.43974e-05
1.0,6.0,15.0,Non-elitist,2e-10,0.0,0.0,0.0,0.0,2e-10,6.02819e-05
1.0,6.0,16.0,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,2.1976e-05
1.0,6.0,17.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.37784e-05
1.0,6.0,18.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.9531e-06
1.0,6.0,19.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,4.66088e-05
1.0,7.0,0.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,6.1871e-06
1.0,7.0,1.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,5.5525e-05
1.0,7.0,2.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,5.65522e-05
1.0,7.0,3.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.75418e-05
1.0,7.0,4.0,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,6.02644e-05
1.0,7.0,5.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,5.7482e-06
1.0,7.0,6.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,4.18926e-05
1.0,7.0,7.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,5.11258e-05
1.0,7.0,8.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,5.55804e-05
1.0,7.0,9.0,MLSL,0.0,0.0,1e-10,0.0,0.0,0.0,2.08772e-05
1.0,7.0,10.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,2.68545e-05
1.0,7.0,11.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,8.56687e-05
1.0,7.0,12.0,Non-elitist,4e-10,0.0,0.0,0.0,0.0,4e-10,1.50222e-05
1.0,7.0,13.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,1.17289e-05
1.0,7.0,14.0,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,3.7138e-05
1.0,7.0,15.0,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,7.61469e-05
1.0,7.0,16.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,4.06353e-05
1.0,7.0,17.0,MLSL,0.0,0.0,0.0,0.0,0.0,0.0,9.3168e-06
1.0,7.0,18.0,Elitist,0.0,0.0,0.0,0.0,0.0,0.0,3.8376e-05
1.0,7.0,19.0,BFGS,0.0,0.0,1e-10,0.0,0.0,1e-10,3.45649e-05
2.0,6.0,0.0,BFGS,1e-10,1e-10,388.8471233986,290.6564422729,3.17787e-05,5.9704973786,15.2510766727
2.0,6.0,1.0,BFGS,0.0,0.0,45.0790826392,800.5317132972,3.26484e-05,0.7243480233,28.4137850228
2.0,6.0,2.0,BFGS,0.0,0.0,97.4734679527,13.5868100496,2.46694e-05,8.0449347785,94.2172473528
2.0,6.0,3.0,BFGS,0.0,0.0,143.2466244253,42.746654491,1.91454e-05,7.6758506558,9.5496988283
2.0,6.0,4.0,BFGS,0.0,0.0,482.8928252942,22.1232545578,2.15455e-05,0.2594735855,67.4019729027
2.0,6.0,5.0,BFGS,0.0,0.0,134.2863678569,888.7500916354,3.26699e-05,3.797371421,30.4911378687
2.0,6.0,6.0,BFGS,0.0,0.0,437.6219599788,307.0261607811,5.0829e-06,32.2743829556,47.3926067794
2.0,6.0,7.0,BFGS,0.0,0.0,223.2645077403,143.4806818491,2.46629e-05,4.4476993126,38.8325720277
2.0,6.0,8.0,BFGS,0.0,0.0,189.3318314519,13.3378993596,2.46721e-05,16.7788567012,144.5871190029
2.0,6.0,9.0,BFGS,2e-10,2e-10,192.5075178997,71.0100761604,2.46495e-05,5.8170305758,16.9107054515
2.0,6.0,10.0,BFGS,1e-10,1e-10,186.681806579,92.3964374372,3.26605e-05,2.5228418276,14.4634619261
2.0,6.0,11.0,BFGS,1e-10,1e-10,394.1052650733,45.077034215,2.46589e-05,25.6480547318,3.2375357681
2.0,6.0,12.0,BFGS,0.0,0.0,851.6794096239,11.4528494347,3.26622e-05,10.8973315706,15.6122718855
2.0,6.0,13.0,BFGS,1e-10,1e-10,484.738111618,824.2048724299,3.26608e-05,8.0665458051,36.4737742448
2.0,6.0,14.0,BFGS,0.0,0.0,1699.7943549189,238.1224802134,2.45498e-05,41.6373620653,201.9467319258
2.0,6.0,15.0,BFGS,0.0,0.0,277.1957952069,251.3169458166,3.26596e-05,10.7367296586,18.3698936777
2.0,6.0,16.0,BFGS,0.0,0.0,421.8213807817,34.940607121,3.26535e-05,1.3665443675,3.6158950944
2.0,6.0,17.0,BFGS,0.0,0.0,325.8757951266,5.2904831246,2.92125e-05,0.715689217,9.088432969
