fid,iid,rep,budget,pred_t0,pred_t1,pred_t2,pred_t3,pred_t4,pred_t5,pred_t6,pred_t7,pred_t8,pred_t9,pred_t10,pred_t11,pred_t12,pred_t13,pred_t14,pred_t15,pred_t16,pred_t17,pred_t18,pred_t19
1,1.0,0.0,50,-12.0,-12.0,-12.0,-11.92687569164066,-11.845055651946529,-11.99999999555691,-12.0,-11.892312732116647,-12.0,-11.872402332157035,-11.717879785256459,-12.0,-11.999795707630833,-11.563749875410105,-11.535962020493761,-11.68569357007353,-11.20233461149977,-11.885327033358813,-11.877998105474166,-12.0
1,1.0,0.0,100,-11.999957762043026,-11.999705872544649,-11.861421279582395,-12.0,-11.867501319519672,-12.0,-11.866809330575801,-11.9434582587229,-12.0,-12.0,-11.979080555615123,-11.98267602505176,-12.0,-11.97294983811963,-11.96685997951904,-11.98252579317383,-11.967501513356538,-11.885854005582182,-12.0,
1,1.0,0.0,150,-11.977342121566606,-11.913827819715456,-11.901761417961822,-11.988917089283724,-11.738643049281725,-11.986311387700262,-11.93296429186704,-11.887960260080547,-11.862789140764626,-11.971535008086985,-11.83967770889465,-11.682056582289174,-11.860792802233497,-12.0,-12.0,-12.0,-12.0,-11.96780439481628,,
1,1.0,0.0,200,-11.930826474824546,-11.781001925298984,-11.829273823226202,-11.693993483794172,-11.904022675119327,-11.564560960636424,-11.751950381878018,-11.952668059173307,-11.962142567545834,-11.282915625690928,-11.986315687784744,-11.861789207125886,-11.961772225307417,-11.880214338634948,-11.89098872524152,-11.86098628048744,-11.90763295636626,,,
1,1.0,0.0,250,-12.0,-11.908393640730301,-12.0,-12.0,-11.902549544325511,-11.990672650210989,-12.0,-11.99942881498626,-11.98796443463289,-12.0,-11.992854039494475,-12.0,-12.0,-11.93469735388417,-12.0,-11.948629923527312,,,,
1,1.0,0.0,300,-11.981772044911887,-12.0,-12.0,-11.935068795120774,-11.97138101793774,-12.0,-12.0,-11.953751948594212,-11.973290136597122,-12.0,-12.0,-11.792266737214925,-11.922089539765159,-11.910227447310302,-12.0,,,,,
1,1.0,0.0,350,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.797148533479612,-12.0,,,,,,
1,1.0,0.0,400,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.88729390804803,-12.0,-12.0,-12.0,-12.0,,,,,,,
1,1.0,0.0,450,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.77075837570345,-11.701354567020378,-11.880175628556325,-12.0,,,,,,,,
1,1.0,0.0,500,-12.0,-11.999851652053554,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-11.765171283423866,-11.681395138665644,,,,,,,,,
