fid,iid,algorithm,budget,precision
1,1,BFGS,50,0.0
1,1,DE,50,0.0
1,1,Elitist,50,0.0
1,1,MLSL,50,0.0
1,1,Non-elitist,50,0.0
1,1,PSO,50,2.5323700000000003e-05
1,2,BFGS,50,0.0
1,2,DE,50,0.0
1,2,Elitist,50,0.0
1,2,MLSL,50,0.0
1,2,Non-elitist,50,0.0
1,2,PSO,50,4.223975e-05
1,3,BFGS,50,0.0
1,3,DE,50,0.0
1,3,Elitist,50,0.0
1,3,MLSL,50,0.0
1,3,Non-elitist,50,0.0
1,3,PSO,50,3.37131e-05
1,4,BFGS,50,0.0
1,4,DE,50,0.0
1,4,Elitist,50,0.0
1,4,MLSL,50,0.0
1,4,Non-elitist,50,0.0
1,4,PSO,50,2.536285e-05
1,5,BFGS,50,0.0
1,5,DE,50,0.11506594135
1,5,Elitist,50,0.0
1,5,MLSL,50,0.0
1,5,Non-elitist,50,0.0
1,5,PSO,50,2.0681500000000002e-05
2,1,BFGS,50,0.0
2,1,DE,50,250.9849790321
2,1,Elitist,50,45.115537079999996
2,1,MLSL,50,3.26415e-06
2,1,Non-elitist,50,1.5845061022
2,1,PSO,50,15.10362803955
2,2,BFGS,50,1e-10
2,2,DE,50,326.4218853338
2,2,Elitist,50,15.5613763689
2,2,MLSL,50,2.6983999999999998e-05
2,2,Non-elitist,50,4.0651303611
2,2,PSO,50,22.96934707195
2,3,BFGS,50,5e-11
2,3,DE,50,280.3258749803
2,3,Elitist,50,248.30965130664998
2,3,MLSL,50,1.10094e-05
2,3,Non-elitist,50,1.96259919955
2,3,PSO,50,80.4877853116
2,4,BFGS,50,0.0
2,4,DE,50,271.6700346071
2,4,Elitist,50,101.0151457669
2,4,MLSL,50,1.15919e-05
2,4,Non-elitist,50,2.6130227757
2,4,PSO,50,43.569025784649995
2,5,BFGS,50,0.0
2,5,DE,50,449.6609582093
2,5,Elitist,50,71.88453790385
2,5,MLSL,50,0.00020606575
2,5,Non-elitist,50,1.8589511015
2,5,PSO,50,23.68718765505
3,1,BFGS,50,200.47584738775
3,1,DE,50,14.705901966799999
3,1,Elitist,50,10.937031688049998
3,1,MLSL,50,9.9495807081
3,1,Non-elitist,50,7.95982391005
3,1,PSO,50,7.14987553515
3,2,BFGS,50,191.86351143765
3,2,DE,50,19.68532133155
3,2,Elitist,50,9.949580504899998
3,2,MLSL,50,18.904181791600003
3,2,Non-elitist,50,6.96471821165
3,2,PSO,50,6.1692613741999995
3,3,BFGS,50,253.20582071345
3,3,DE,50,16.19890436375
3,3,Elitist,50,9.949580500349999
3,3,MLSL,50,6.9647086028
3,3,Non-elitist,50,7.46361781685
3,3,PSO,50,5.98690853815
3,4,BFGS,50,256.68629547665
3,4,DE,50,15.83842349415
3,4,Elitist,50,13.147717072799999
3,4,MLSL,50,9.949580636650001
3,4,Non-elitist,50,7.462214475
3,4,PSO,50,5.06287095995
3,5,BFGS,50,156.13151850795
3,5,DE,50,19.428770695849998
3,5,Elitist,50,20.720695237149997
3,5,MLSL,50,18.90416177605
3,5,Non-elitist,50,6.4672320677
3,5,PSO,50,10.69201705695
4,1,BFGS,50,221.86852963485
4,1,DE,50,21.80112487205
4,1,Elitist,50,22.883949636700002
4,1,MLSL,50,8.954621640949998
4,1,Non-elitist,50,12.436958873350001
4,1,PSO,50,8.634827947649999
4,2,BFGS,50,341.2400191862
4,2,DE,50,23.759292783950002
4,2,Elitist,50,17.9092232707
4,2,MLSL,50,15.91931003985
4,2,Non-elitist,50,10.94454697135
4,2,PSO,50,9.2417147767
4,3,BFGS,50,330.80742241145003
4,3,DE,50,24.6755301507
4,3,Elitist,50,10.4470505731
4,3,MLSL,50,11.9394787778
4,3,Non-elitist,50,9.45210661095
4,3,PSO,50,7.601718458300001
4,4,BFGS,50,314.33182185454996
4,4,DE,50,23.81744981235
4,4,Elitist,50,16.2111001737
4,4,MLSL,50,6.9647084316
4,4,Non-elitist,50,9.950096590649999
4,4,PSO,50,9.454288425649999
4,5,BFGS,50,231.31744490605
4,5,DE,50,26.109085631299997
4,5,Elitist,50,20.3465469663
4,5,MLSL,50,18.90418180055
4,5,Non-elitist,50,13.9297844893
4,5,PSO,50,11.17207029515
5,1,BFGS,50,83.7103037624
5,1,DE,50,5.51943361475
5,1,Elitist,50,0.0
5,1,MLSL,50,4.69932506385
5,1,Non-elitist,50,0.0
5,1,PSO,50,0.0
5,2,BFGS,50,85.15113718859999
5,2,DE,50,5.12531424975
5,2,Elitist,50,0.0
5,2,MLSL,50,5.4037603215
5,2,Non-elitist,50,0.0
5,2,PSO,50,0.0
5,3,BFGS,50,81.9998039297
5,3,DE,50,5.69640309605
5,3,Elitist,50,0.0
5,3,MLSL,50,4.4451187682
5,3,Non-elitist,50,0.0
5,3,PSO,50,0.0
5,4,BFGS,50,87.53933005260001
5,4,DE,50,0.0
5,4,Elitist,50,0.0
5,4,MLSL,50,8.1891692045
