fid,iid,rep,budget,best_precision
1,1,0,50,1e-12
1,1,0,100,1e-12
1,1,0,150,1e-12
1,1,0,200,1e-12
1,1,0,250,1e-12
1,1,0,300,1e-12
1,1,0,350,1e-12
1,1,0,400,1e-12
1,1,0,450,1e-12
1,1,0,500,1e-12
1,1,0,550,1e-12
1,1,0,600,1e-12
1,1,0,650,1e-12
1,1,0,700,1e-12
1,1,0,750,1e-12
1,1,0,800,1e-12
1,1,0,850,1e-12
1,1,0,900,1e-12
1,1,0,950,1e-12
1,1,0,1000,1e-12
1,1,1,50,1e-12
1,1,1,100,1e-12
1,1,1,150,1e-12
1,1,1,200,1e-12
1,1,1,250,1e-12
1,1,1,300,1e-12
1,1,1,350,1e-12
1,1,1,400,1e-12
1,1,1,450,1e-12
1,1,1,500,1e-12
1,1,1,550,1e-12
1,1,1,600,1e-12
1,1,1,650,1e-12
1,1,1,700,1e-12
1,1,1,750,1e-12
1,1,1,800,1e-12
1,1,1,850,1e-12
1,1,1,900,1e-12
1,1,1,950,1e-12
1,1,1,1000,1e-12
1,1,2,50,1e-12
1,1,2,100,1e-12
1,1,2,150,1e-12
1,1,2,200,1e-12
1,1,2,250,1e-12
1,1,2,300,1e-12
1,1,2,350,1e-12
1,1,2,400,1e-12
1,1,2,450,1e-12
1,1,2,500,1e-12
1,1,2,550,1e-12
1,1,2,600,1e-12
1,1,2,650,1e-12
1,1,2,700,1e-12
1,1,2,750,1e-12
1,1,2,800,1e-12
1,1,2,850,1e-12
1,1,2,900,1e-12
1,1,2,950,1e-12
1,1,2,1000,1e-12
1,1,3,50,1e-12
1,1,3,100,1e-12
1,1,3,150,1e-12
1,1,3,200,1e-12
1,1,3,250,1e-12
1,1,3,300,1e-12
1,1,3,350,1e-12
1,1,3,400,1e-12
1,1,3,450,1e-12
1,1,3,500,1e-12
1,1,3,550,1e-12
1,1,3,600,1e-12
1,1,3,650,1e-12
1,1,3,700,1e-12
1,1,3,750,1e-12
1,1,3,800,1e-12
1,1,3,850,1e-12
1,1,3,900,1e-12
1,1,3,950,1e-12
1,1,3,1000,1e-12
1,1,4,50,1e-12
1,1,4,100,1e-12
1,1,4,150,1e-12
1,1,4,200,1e-12
1,1,4,250,1e-12
1,1,4,300,1e-12
1,1,4,350,1e-12
1,1,4,400,1e-12
1,1,4,450,1e-12
1,1,4,500,1e-12
1,1,4,550,1e-12
1,1,4,600,1e-12
1,1,4,650,1e-12
1,1,4,700,1e-12
1,1,4,750,1e-12
1,1,4,800,1e-12
1,1,4,850,1e-12
1,1,4,900,1e-12
1,1,4,950,1e-12
1,1,4,1000,1e-12
1,1,5,50,1e-12
1,1,5,100,1e-12
1,1,5,150,1e-12
1,1,5,200,1e-12
1,1,5,250,1e-12
1,1,5,300,1e-12
1,1,5,350,1e-12
1,1,5,400,1e-12
1,1,5,450,1e-12
1,1,5,500,1e-12
1,1,5,550,1e-12
1,1,5,600,1e-12
1,1,5,650,1e-12
1,1,5,700,1e-12
1,1,5,750,1e-12
1,1,5,800,1e-12
1,1,5,850,1e-12
1,1,5,900,1e-12
1,1,5,950,1e-12
1,1,5,1000,1e-12
1,1,6,50,1e-12
1,1,6,100,1e-12
1,1,6,150,1e-12
1,1,6,200,1e-12
1,1,6,250,1e-12
1,1,6,300,1e-12
1,1,6,350,1e-12
1,1,6,400,1e-12
1,1,6,450,1e-12
1,1,6,500,1e-12
1,1,6,550,1e-12
1,1,6,600,1e-12
1,1,6,650,1e-12
1,1,6,700,1e-12
1,1,6,750,1e-12
1,1,6,800,1e-12
1,1,6,850,1e-12
1,1,6,900,1e-12
1,1,6,950,1e-12
1,1,6,1000,1e-12
1,1,7,50,1e-12
1,1,7,100,1e-12
1,1,7,150,1e-12
1,1,7,200,1e-12
1,1,7,250,1e-12
1,1,7,300,1e-12
1,1,7,350,1e-12
1,1,7,400,1e-12
1,1,7,450,1e-12
1,1,7,500,1e-12
1,1,7,550,1e-12
1,1,7,600,1e-12
1,1,7,650,1e-12
1,1,7,700,1e-12
1,1,7,750,1e-12
1,1,7,800,1e-12
1,1,7,850,1e-12
1,1,7,900,1e-12
1,1,7,950,1e-12
1,1,7,1000,1e-12
1,1,8,50,1e-12
1,1,8,100,1e-12
1,1,8,150,1e-12
1,1,8,200,1e-12
1,1,8,250,1e-12
1,1,8,300,1e-12
1,1,8,350,1e-12
1,1,8,400,1e-12
1,1,8,450,1e-12
1,1,8,500,1e-12
1,1,8,550,1e-12
1,1,8,600,1e-12
1,1,8,650,1e-12
1,1,8,700,1e-12
1,1,8,750,1e-12
1,1,8,800,1e-12
1,1,8,850,1e-12
1,1,8,900,1e-12
1,1,8,950,1e-12
1,1,8,1000,1e-12
1,1,9,50,1e-12
1,1,9,100,1e-12
1,1,9,150,1e-12
1,1,9,200,1e-12
1,1,9,250,1e-12
1,1,9,300,1e-12
1,1,9,350,1e-12
1,1,9,400,1e-12
1,1,9,450,1e-12
1,1,9,500,1e-12
1,1,9,550,1e-12
1,1,9,600,1e-12
1,1,9,650,1e-12
1,1,9,700,1e-12
1,1,9,750,1e-12
1,1,9,800,1e-12
1,1,9,850,1e-12
1,1,9,900,1e-12
1,1,9,950,1e-12
1,1,9,1000,1e-12
1,1,10,50,1e-12
1,1,10,100,1e-12
1,1,10,150,1e-12
1,1,10,200,1e-12
1,1,10,250,1e-12
1,1,10,300,1e-12
1,1,10,350,1e-12
1,1,10,400,1e-12
1,1,10,450,1e-12
1,1,10,500,1e-12
1,1,10,550,1e-12
1,1,10,600,1e-12
1,1,10,650,1e-12
1,1,10,700,1e-12
1,1,10,750,1e-12
1,1,10,800,1e-12
1,1,10,850,1e-12
1,1,10,900,1e-12
1,1,10,950,1e-12
1,1,10,1000,1e-12
1,1,11,50,1e-12
1,1,11,100,1e-12
1,1,11,150,1e-12
1,1,11,200,1e-12
1,1,11,250,1e-12
1,1,11,300,1e-12
1,1,11,350,1e-12
1,1,11,400,1e-12
1,1,11,450,1e-12
1,1,11,500,1e-12
1,1,11,550,1e-12
1,1,11,600,1e-12
1,1,11,650,1e-12
1,1,11,700,1e-12
1,1,11,750,1e-12
1,1,11,800,1e-12
1,1,11,850,1e-12
1,1,11,900,1e-12
1,1,11,950,1e-12
1,1,11,1000,1e-12
1,1,12,50,1e-12
1,1,12,100,1e-12
1,1,12,150,1e-12
1,1,12,200,1e-12
1,1,12,250,1e-12
1,1,12,300,1e-12
1,1,12,350,1e-12
1,1,12,400,1e-12
1,1,12,450,1e-12
1,1,12,500,1e-12
1,1,12,550,1e-12
1,1,12,600,1e-12
1,1,12,650,1e-12
1,1,12,700,1e-12
1,1,12,750,1e-12
1,1,12,800,1e-12
1,1,12,850,1e-12
1,1,12,900,1e-12
1,1,12,950,1e-12
1,1,12,1000,1e-12
1,1,13,50,1e-12
1,1,13,100,1e-12
1,1,13,150,1e-12
1,1,13,200,1e-12
1,1,13,250,1e-12
1,1,13,300,1e-12
1,1,13,350,1e-12
1,1,13,400,1e-12
1,1,13,450,1e-12
1,1,13,500,1e-12
1,1,13,550,1e-12
1,1,13,600,1e-12
1,1,13,650,1e-12
1,1,13,700,1e-12
1,1,13,750,1e-12
1,1,13,800,1e-12
1,1,13,850,1e-12
1,1,13,900,1e-12
1,1,13,950,1e-12
1,1,13,1000,1e-12
1,1,14,50,1e-12
1,1,14,100,1e-12
1,1,14,150,1e-12
1,1,14,200,1e-12
1,1,14,250,1e-12
1,1,14,300,1e-12
1,1,14,350,1e-12
1,1,14,400,1e-12
1,1,14,450,1e-12
1,1,14,500,1e-12
1,1,14,550,1e-12
1,1,14,600,1e-12
1,1,14,650,1e-12
1,1,14,700,1e-12
1,1,14,750,1e-12
1,1,14,800,1e-12
1,1,14,850,1e-12
1,1,14,900,1e-12
