fid,iid,rep,budget,algorithm,precision
1,1,0,50,BFGS,0.0
1,1,0,50,DE,0.071652946
1,1,0,50,MLSL,0.0
1,1,0,50,Non-elitist,1e-09
1,1,0,50,PSO,5.37428e-05
1,1,0,50,Elitist,0.0
1,1,1,50,BFGS,0.0
1,1,1,50,DE,0.5443659054
1,1,1,50,MLSL,0.0
1,1,1,50,Non-elitist,0.0
1,1,1,50,PSO,2.46281e-05
1,1,1,50,Elitist,0.0
1,1,2,50,BFGS,0.0
1,1,2,50,DE,0.0887959167
1,1,2,50,MLSL,0.0
1,1,2,50,Non-elitist,2e-10
1,1,2,50,PSO,7.54965e-05
1,1,2,50,Elitist,0.0
1,1,3,50,BFGS,0.0
1,1,3,50,DE,0.7023485416
1,1,3,50,MLSL,0.0
1,1,3,50,Non-elitist,2e-10
1,1,3,50,PSO,9.68426e-05
1,1,3,50,Elitist,0.0
1,1,4,50,BFGS,0.0
1,1,4,50,DE,0.1642104746
1,1,4,50,MLSL,0.0
1,1,4,50,Non-elitist,2e-10
1,1,4,50,PSO,8.18405e-05
1,1,4,50,Elitist,0.0
1,1,5,50,BFGS,0.0
1,1,5,50,DE,0.0
1,1,5,50,MLSL,0.0
1,1,5,50,Non-elitist,0.0
1,1,5,50,PSO,0.0002686026
1,1,5,50,Elitist,0.0
1,1,6,50,BFGS,0.0
1,1,6,50,DE,0.5279355024
1,1,6,50,MLSL,0.0
1,1,6,50,Non-elitist,0.0
1,1,6,50,PSO,3.57115e-05
1,1,6,50,Elitist,0.0
1,1,7,50,BFGS,0.0
1,1,7,50,DE,0.2239629742
1,1,7,50,MLSL,0.0
1,1,7,50,Non-elitist,1.8e-09
1,1,7,50,PSO,1.61988e-05
1,1,7,50,Elitist,0.0
1,1,8,50,BFGS,0.0
1,1,8,50,DE,0.0
1,1,8,50,MLSL,0.0
1,1,8,50,Non-elitist,1e-10
1,1,8,50,PSO,0.0001140257
1,1,8,50,Elitist,0.0
1,1,9,50,BFGS,0.0
1,1,9,50,DE,0.4945518263
1,1,9,50,MLSL,0.0
1,1,9,50,Non-elitist,0.0
1,1,9,50,PSO,3.55283e-05
1,1,9,50,Elitist,0.0
1,1,10,50,BFGS,0.0
1,1,10,50,DE,0.4091545804
1,1,10,50,MLSL,0.0
1,1,10,50,Non-elitist,3e-10
1,1,10,50,PSO,7.50407e-05
1,1,10,50,Elitist,0.0
1,1,11,50,BFGS,0.0
1,1,11,50,DE,0.2201770497
1,1,11,50,MLSL,0.0
1,1,11,50,Non-elitist,1e-10
1,1,11,50,PSO,6.40522e-05
1,1,11,50,Elitist,0.0
1,1,12,50,BFGS,0.0
1,1,12,50,DE,0.3206815667
1,1,12,50,MLSL,0.0
1,1,12,50,Non-elitist,1e-10
1,1,12,50,PSO,0.000126303
1,1,12,50,Elitist,0.0
1,1,13,50,BFGS,0.0
1,1,13,50,DE,0.1973816189
1,1,13,50,MLSL,0.0
1,1,13,50,Non-elitist,0.0
1,1,13,50,PSO,2.12923e-05
1,1,13,50,Elitist,0.0
1,1,14,50,BFGS,0.0
1,1,14,50,DE,0.0668342572
1,1,14,50,MLSL,0.0
1,1,14,50,Non-elitist,3.8e-09
1,1,14,50,PSO,2.5857e-05
1,1,14,50,Elitist,0.0
1,1,15,50,BFGS,0.0
1,1,15,50,DE,0.2327920629
1,1,15,50,MLSL,0.0
1,1,15,50,Non-elitist,2e-10
1,1,15,50,PSO,7.78611e-05
1,1,15,50,Elitist,0.0
