fid,iid,algorithm,budget,precision
1,1,BFGS,50,0.0
1,1,DE,50,1.1952518609
1,1,Elitist,50,0.0
1,1,MLSL,50,0.0
1,1,Non-elitist,50,1e-10
1,1,PSO,50,0.0005632551
1,2,BFGS,50,0.0
1,2,DE,50,0.0
1,2,Elitist,50,0.0
1,2,MLSL,50,0.0
1,2,Non-elitist,50,1e-10
1,2,PSO,50,0.0009650787
1,3,BFGS,50,0.0
1,3,DE,50,0.0652220654
1,3,Elitist,50,0.0
1,3,MLSL,50,0.0
1,3,Non-elitist,50,3e-10
1,3,PSO,50,0.0007777586
1,4,BFGS,50,0.0
1,4,DE,50,1.6889448038000001
1,4,Elitist,50,0.0
1,4,MLSL,50,0.0
1,4,Non-elitist,50,0.0
1,4,PSO,50,0.0009763399
1,5,BFGS,50,0.0
1,5,DE,50,3.1129958841
1,5,Elitist,50,0.0
1,5,MLSL,50,0.0
1,5,Non-elitist,50,2e-10
1,5,PSO,50,0.0006565118
2,1,BFGS,50,9e-10
2,1,DE,50,6483.1013668184005
2,1,Elitist,50,3292.4669240197
2,1,MLSL,50,6.52941e-05
2,1,Non-elitist,50,109.27590125180001
2,1,PSO,50,493.2177512691
2,2,BFGS,50,1.5e-09
2,2,DE,50,8500.6033164705
2,2,Elitist,50,1144.7082690034
2,2,MLSL,50,0.0004969505
2,2,Non-elitist,50,117.4094143571
2,2,PSO,50,1157.6294205374
2,3,BFGS,50,1e-09
2,3,DE,50,7871.0568520297
2,3,Elitist,50,7249.3138187531995
2,3,MLSL,50,0.0002079414
2,3,Non-elitist,50,116.65271185930001
2,3,PSO,50,1968.6602514516
2,4,BFGS,50,9e-10
2,4,DE,50,8259.3033312491
2,4,Elitist,50,3369.0870090821
2,4,MLSL,50,0.0013284453
2,4,Non-elitist,50,137.0649747997
2,4,PSO,50,1465.6163409917
2,5,BFGS,50,6e-10
2,5,DE,50,10627.864873082899
2,5,Elitist,50,3245.7650165424
2,5,MLSL,50,0.0033335771
2,5,Non-elitist,50,87.3908840326
2,5,PSO,50,1432.1223196626
3,1,BFGS,50,4016.8348539766002
3,1,DE,50,309.5509283728
3,1,Elitist,50,297.8687207546
3,1,MLSL,50,198.991614162
3,1,Non-elitist,50,153.2251846117
3,1,PSO,50,157.3241675041
3,2,BFGS,50,6557.2538031078
3,2,DE,50,402.66947253989997
3,2,Elitist,50,287.1007819575
3,2,MLSL,50,370.38485946320003
3,2,Non-elitist,50,160.7206483454
3,2,PSO,50,132.0436455237
3,3,BFGS,50,8787.6055394153
3,3,DE,50,342.6014431796
3,3,Elitist,50,224.1254559726
3,3,MLSL,50,128.7864648924
3,3,Non-elitist,50,166.5405638275
3,3,PSO,50,136.9512332424
3,4,BFGS,50,6959.4889906751005
3,4,DE,50,311.8905825634
3,4,Elitist,50,258.3782925108
3,4,MLSL,50,192.2275574826
3,4,Non-elitist,50,158.5523821031
3,4,PSO,50,150.8180998713
3,5,BFGS,50,9397.3343617222
3,5,DE,50,378.2482699761
3,5,Elitist,50,426.77284703469996
3,5,MLSL,50,368.3583754458
3,5,Non-elitist,50,156.2091033737
3,5,PSO,50,229.571583174
4,1,BFGS,50,5692.676428007
4,1,DE,50,466.8724407841
4,1,Elitist,50,461.7507324874
4,1,MLSL,50,172.22750914769998
4,1,Non-elitist,50,310.9087124875
4,1,PSO,50,222.5552002659
4,2,BFGS,50,6442.1934775361005
4,2,DE,50,483.8634471033
4,2,Elitist,50,377.2872400471
4,2,MLSL,50,309.9164320726
4,2,Non-elitist,50,236.8173633523
4,2,PSO,50,197.9264822751
4,3,BFGS,50,7395.0973881979
4,3,DE,50,520.9226361747001
4,3,Elitist,50,323.8696599156
4,3,MLSL,50,238.789575556
4,3,Non-elitist,50,209.3520595653
4,3,PSO,50,164.7217420483
4,4,BFGS,50,8050.747790214799
4,4,DE,50,476.7633271637
4,4,Elitist,50,376.3054177805
4,4,MLSL,50,139.0232250642
4,4,Non-elitist,50,261.6788276134
4,4,PSO,50,230.6749756767
4,5,BFGS,50,5429.7612155515
4,5,DE,50,498.5572910377
4,5,Elitist,50,453.823586015
4,5,MLSL,50,371.7188597802
4,5,Non-elitist,50,278.6089675142
4,5,PSO,50,224.4599369844
5,1,BFGS,50,1597.2362542595
5,1,DE,50,119.10606461180001
5,1,Elitist,50,0.0
5,1,MLSL,50,112.8555344843
5,1,Non-elitist,50,16.3925198117
5,1,PSO,50,0.0
5,2,BFGS,50,1737.5540703932
5,2,DE,50,82.0097280556
5,2,Elitist,50,0.0
5,2,MLSL,50,126.8011609105
5,2,Non-elitist,50,0.020715683
5,2,PSO,50,0.0037124854
5,3,BFGS,50,1678.9085891956
5,3,DE,50,117.0078292548
5,3,Elitist,50,0.0
5,3,MLSL,50,120.1136650948
5,3,Non-elitist,50,9.9053240445
5,3,PSO,50,10.4112588221
5,4,BFGS,50,1750.076241327
5,4,DE,50,5.6487333214
5,4,Elitist,50,0.0
5,4,MLSL,50,158.9877034033
5,4,Non-elitist,50,2.6044600693
5,4,PSO,50,0.0
5,5,BFGS,50,1419.0940007545
5,5,DE,50,120.8327982373
5,5,Elitist,50,0.0
5,5,MLSL,50,146.6064165087
5,5,Non-elitist,50,14.1751404844
5,5,PSO,50,0.0
6,1,BFGS,50,23.4635195335
6,1,DE,50,75.8339545528
6,1,Elitist,50,0.0913289107
6,1,MLSL,50,309.3373243298
6,1,Non-elitist,50,0.0188160428
6,1,PSO,50,3.3848660035
6,2,BFGS,50,5.1642994333
6,2,DE,50,117.7994331687
6,2,Elitist,50,0.0216375517
6,2,MLSL,50,449.3635774692
6,2,Non-elitist,50,0.0167057573
6,2,PSO,50,1.7061335794
6,3,BFGS,50,43219.118368052295
6,3,DE,50,84.1063774551
6,3,Elitist,50,0.35057290620000003
6,3,MLSL,50,505.5477935471
6,3,Non-elitist,50,0.020247804299999998
6,3,PSO,50,2.0985429369
6,4,BFGS,50,245607.2350619396
6,4,DE,50,68.5568885989
6,4,Elitist,50,0.0039472812000000005
6,4,MLSL,50,6487.9497720994
6,4,Non-elitist,50,0.0136442961
6,4,PSO,50,0.9760426503999999
6,5,BFGS,50,28.6039945134
6,5,DE,50,77.9644187963
6,5,Elitist,50,0.294118547
6,5,MLSL,50,383.2848843768
6,5,Non-elitist,50,0.0321133532
6,5,PSO,50,2.2605275757
7,1,BFGS,50,9526.724594143
7,1,DE,50,38.0999326381
7,1,Elitist,50,46.4479090036
7,1,MLSL,50,114.0385431942
7,1,Non-elitist,50,27.9013418836
7,1,PSO,50,17.117092844400002
7,2,BFGS,50,15614.3971441007
7,2,DE,50,29.934139965
7,2,Elitist,50,19.3403207248
7,2,MLSL,50,112.8493910695
7,2,Non-elitist,50,11.7631353592
7,2,PSO,50,7.1556074717
7,3,BFGS,50,23917.660034697
7,3,DE,50,36.9215766516
7,3,Elitist,50,41.2163622324
7,3,MLSL,50,141.6011725909
7,3,Non-elitist,50,27.5238942095
7,3,PSO,50,10.6181750428
7,4,BFGS,50,14031.0610565661
7,4,DE,50,30.1724405859
7,4,Elitist,50,39.4838728785
7,4,MLSL,50,166.3996240999
7,4,Non-elitist,50,13.6638374252
7,4,PSO,50,9.6223185833
7,5,BFGS,50,14468.5264568933
7,5,DE,50,33.6774829545
7,5,Elitist,50,43.6344962458
7,5,MLSL,50,144.2037938817
7,5,Non-elitist,50,11.6573552307
7,5,PSO,50,11.223061382600001
8,1,BFGS,50,11.7925183031
8,1,DE,50,497.4948954944
8,1,Elitist,50,40.684230183000004
8,1,MLSL,50,2868.2498811018
8,1,Non-elitist,50,110.1403333577
8,1,PSO,50,54.2556273907
8,2,BFGS,50,7.8616788684
8,2,DE,50,585.0398473864
8,2,Elitist,50,184.98636748860002
8,2,MLSL,50,1126.9229574601
8,2,Non-elitist,50,51.8889984163
8,2,PSO,50,151.9549817768
8,3,BFGS,50,15.7233577377
8,3,DE,50,501.6480100136
8,3,Elitist,50,17.0057901339
8,3,MLSL,50,1135.3193046825
8,3,Non-elitist,50,19.7813520098
8,3,PSO,50,49.8195561498
8,4,BFGS,50,35.3775549081
8,4,DE,50,462.9266426835
8,4,Elitist,50,30.4497090638
8,4,MLSL,50,1113.1509625777
8,4,Non-elitist,50,29.9574899144
8,4,PSO,50,38.698876234
8,5,BFGS,50,19.6541971715
8,5,DE,50,346.9693794835
8,5,Elitist,50,40.207173174
8,5,MLSL,50,763.2278276729
8,5,Non-elitist,50,24.845522646899997
8,5,PSO,50,45.7085169592
9,1,BFGS,50,15.7233577364
9,1,DE,50,661.4129998679
9,1,Elitist,50,14.27450977
9,1,MLSL,50,1403.686109186
9,1,Non-elitist,50,14.302410089
9,1,PSO,50,50.8987988188
9,2,BFGS,50,23.5850366046
9,2,DE,50,386.8706079485
9,2,Elitist,50,22.2294896101
9,2,MLSL,50,1292.9512599228
9,2,Non-elitist,50,14.1605777722
9,2,PSO,50,51.7228651796
9,3,BFGS,50,19.6541971705
9,3,DE,50,451.7886550257
9,3,Elitist,50,25.7209276152
9,3,MLSL,50,1085.2689661469
9,3,Non-elitist,50,18.0525341257
9,3,PSO,50,48.9723737496
9,4,BFGS,50,11.7925183023
9,4,DE,50,659.5312780641
9,4,Elitist,50,33.5564727748
9,4,MLSL,50,2198.4890588721
9,4,Non-elitist,50,19.6236221505
9,4,PSO,50,53.9521575945
9,5,BFGS,50,7.8616788682
9,5,DE,50,510.0560315006
9,5,Elitist,50,22.7520704124
9,5,MLSL,50,1582.8441674819999
9,5,Non-elitist,50,26.3489401098
9,5,PSO,50,42.6431625729
10,1,BFGS,50,0.0014757218
10,1,DE,50,60349.0648278003
10,1,Elitist,50,2636.6559183662002
10,1,MLSL,50,158015.0434173546
10,1,Non-elitist,50,64.80173663149999
10,1,PSO,50,19234.6554835475
10,2,BFGS,50,5.5993100000000004e-05
10,2,DE,50,64034.4135492641
10,2,Elitist,50,2898.7286588851
10,2,MLSL,50,182452.9943749643
10,2,Non-elitist,50,521.9863357744
10,2,PSO,50,8497.6419759828
10,3,BFGS,50,0.0003830677
10,3,DE,50,35339.5881279946
10,3,Elitist,50,2000.3741277361
10,3,MLSL,50,65632.3091822164
10,3,Non-elitist,50,146.3949319464
10,3,PSO,50,3881.9260783527
10,4,BFGS,50,0.0003110964
10,4,DE,50,58356.9476040077
10,4,Elitist,50,6076.3951640699
10,4,MLSL,50,221137.85671331448
10,4,Non-elitist,50,230.0983126569
10,4,PSO,50,3205.525971439
10,5,BFGS,50,1.76343e-05
