fid,iid,rep,budget,best_precision
1,1,0,50,0.5000000000005
1,1,0,100,0.5000000000005
1,1,0,150,0.5000000000005
1,1,0,200,0.5000000000005
1,1,0,250,0.5000000000005
1,1,0,300,0.5000000000005
1,1,0,350,0.5000000000005
1,1,0,400,0.5000000000005
1,1,0,450,0.5000000000005
1,1,0,500,0.5000000000005
1,1,0,550,0.5000000000005
1,1,0,600,0.5000000000005
1,1,0,650,0.5000000000005
1,1,0,700,0.5000000000005
1,1,0,750,0.5000000000005
1,1,0,800,0.5000000000005
1,1,0,850,0.5000000000005
1,1,0,900,0.5000000000005
1,1,0,950,0.5000000000005
1,1,0,1000,0.5000000000005
1,1,1,50,0.5000000000005
1,1,1,100,0.5000000000005
1,1,1,150,0.5000000000005
1,1,1,200,0.5000000000005
1,1,1,250,0.5000000000005
1,1,1,300,0.5000000000005
1,1,1,350,0.5000000000005
1,1,1,400,0.5000000000005
1,1,1,450,0.5000000000005
1,1,1,500,0.5000000000005
1,1,1,550,0.5000000000005
1,1,1,600,0.5000000000005
1,1,1,650,0.5000000000005
1,1,1,700,0.5000000000005
1,1,1,750,0.5000000000005
1,1,1,800,0.5000000000005
1,1,1,850,0.5000000000005
1,1,1,900,0.5000000000005
1,1,1,950,0.5000000000005
1,1,1,1000,0.5000000000005
1,1,2,50,0.5000000000005
1,1,2,100,0.5000000000005
1,1,2,150,0.5000000000005
1,1,2,200,0.5000000000005
1,1,2,250,0.5000000000005
1,1,2,300,0.5000000000005
1,1,2,350,0.5000000000005
1,1,2,400,0.5000000000005
1,1,2,450,0.5000000000005
1,1,2,500,0.5000000000005
1,1,2,550,0.5000000000005
1,1,2,600,0.5000000000005
1,1,2,650,0.5000000000005
1,1,2,700,0.5000000000005
1,1,2,750,0.5000000000005
1,1,2,800,0.5000000000005
1,1,2,850,0.5000000000005
1,1,2,900,0.5000000000005
1,1,2,950,0.5000000000005
1,1,2,1000,0.5000000000005
1,1,3,50,0.5000000000005
1,1,3,100,0.5000000000005
1,1,3,150,0.5000000000005
1,1,3,200,0.5000000000005
1,1,3,250,0.5000000000005
1,1,3,300,0.5000000000005
1,1,3,350,0.5000000000005
1,1,3,400,0.5000000000005
1,1,3,450,0.5000000000005
1,1,3,500,0.5000000000005
1,1,3,550,0.5000000000005
1,1,3,600,0.5000000000005
1,1,3,650,0.5000000000005
1,1,3,700,0.5000000000005
1,1,3,750,0.5000000000005
1,1,3,800,0.5000000000005
1,1,3,850,0.5000000000005
1,1,3,900,0.5000000000005
1,1,3,950,0.5000000000005
1,1,3,1000,0.5000000000005
1,1,4,50,0.5000000000005
1,1,4,100,0.5000000000005
1,1,4,150,0.5000000000005
1,1,4,200,0.5000000000005
1,1,4,250,0.5000000000005
1,1,4,300,0.5000000000005
1,1,4,350,0.5000000000005
1,1,4,400,0.5000000000005
1,1,4,450,0.5000000000005
1,1,4,500,0.5000000000005
1,1,4,550,0.5000000000005
1,1,4,600,0.5000000000005
1,1,4,650,0.5000000000005
1,1,4,700,0.5000000000005
1,1,4,750,0.5000000000005
1,1,4,800,0.5000000000005
1,1,4,850,0.5000000000005
1,1,4,900,0.5000000000005
1,1,4,950,0.5000000000005
1,1,4,1000,0.5000000000005
1,1,5,50,0.5000000000005
1,1,5,100,0.5000000000005
1,1,5,150,0.5000000000005
1,1,5,200,0.5000000000005
1,1,5,250,0.5000000000005
1,1,5,300,0.5000000000005
1,1,5,350,0.5000000000005
1,1,5,400,0.5000000000005
1,1,5,450,0.5000000000005
1,1,5,500,0.5000000000005
1,1,5,550,0.5000000000005
1,1,5,600,0.5000000000005
1,1,5,650,0.5000000000005
1,1,5,700,0.5000000000005
1,1,5,750,0.5000000000005
1,1,5,800,0.5000000000005
1,1,5,850,0.5000000000005
1,1,5,900,0.5000000000005
1,1,5,950,0.5000000000005
1,1,5,1000,0.5000000000005
1,1,6,50,0.5000000000005
1,1,6,100,0.5000000000005
1,1,6,150,0.5000000000005
1,1,6,200,0.5000000000005
1,1,6,250,0.5000000000005
1,1,6,300,0.5000000000005
1,1,6,350,0.5000000000005
1,1,6,400,0.5000000000005
1,1,6,450,0.5000000000005
1,1,6,500,0.5000000000005
1,1,6,550,0.5000000000005
1,1,6,600,0.5000000000005
1,1,6,650,0.5000000000005
1,1,6,700,0.5000000000005
1,1,6,750,0.5000000000005
1,1,6,800,0.5000000000005
1,1,6,850,0.5000000000005
1,1,6,900,0.5000000000005
1,1,6,950,0.5000000000005
1,1,6,1000,0.5000000000005
1,1,7,50,0.5000000000005
1,1,7,100,0.5000000000005
1,1,7,150,0.5000000000005
1,1,7,200,0.5000000000005
1,1,7,250,0.5000000000005
1,1,7,300,0.5000000000005
1,1,7,350,0.5000000000005
1,1,7,400,0.5000000000005
