fid,iid,algorithm,budget,precision
1,1,BFGS,50,0.0
1,1,DE,50,4.6060984908
1,1,Elitist,50,0.0
1,1,MLSL,50,0.0
1,1,Non-elitist,50,8.600000000000001e-09
1,1,PSO,50,0.0013737232
1,2,BFGS,50,0.0
1,2,DE,50,0.6786061118
1,2,Elitist,50,4e-10
1,2,MLSL,50,0.0
1,2,Non-elitist,50,9.6e-09
1,2,PSO,50,0.0032864393
1,3,BFGS,50,0.0
1,3,DE,50,1.6327376837
1,3,Elitist,50,2e-10
1,3,MLSL,50,0.0
1,3,Non-elitist,50,9.8e-09
1,3,PSO,50,0.0027330924
1,4,BFGS,50,0.0
1,4,DE,50,4.3142354202
1,4,Elitist,50,0.0
1,4,MLSL,50,0.0
1,4,Non-elitist,50,1.18e-08
1,4,PSO,50,0.0035245357
1,5,BFGS,50,0.0
1,5,DE,50,4.4808071998
1,5,Elitist,50,0.0
1,5,MLSL,50,0.0
1,5,Non-elitist,50,1.92e-08
1,5,PSO,50,0.0022359472
2,1,BFGS,50,9e-10
2,1,DE,50,13525.4496784598
2,1,Elitist,50,4363.6400154658
2,1,MLSL,50,6.52941e-05
2,1,Non-elitist,50,196.6966606941
2,1,PSO,50,846.5951039256
2,2,BFGS,50,1.5e-09
2,2,DE,50,15171.8399065464
2,2,Elitist,50,2478.4503072249
2,2,MLSL,50,0.0005264442
2,2,Non-elitist,50,162.38474427810002
2,2,PSO,50,2030.6661165304
2,3,BFGS,50,1e-09
2,3,DE,50,13250.305506434699
2,3,Elitist,50,9130.432030178
2,3,MLSL,50,0.0002201938
2,3,Non-elitist,50,506.584688113
2,3,PSO,50,5571.0388872378
2,4,BFGS,50,9e-10
2,4,DE,50,16747.3792045379
2,4,Elitist,50,4370.6950749824
2,4,MLSL,50,0.0015096642
2,4,Non-elitist,50,347.6763584083
2,4,PSO,50,2272.5754849158
2,5,BFGS,50,6e-10
2,5,DE,50,17187.4949834081
2,5,Elitist,50,5836.4181358064
2,5,MLSL,50,0.0033337402
2,5,Non-elitist,50,113.02087605690001
2,5,PSO,50,2857.5294645712
3,1,BFGS,50,4016.8348539766002
3,1,DE,50,393.7398380697
3,1,Elitist,50,297.8693642152
3,1,MLSL,50,198.991614162
3,1,Non-elitist,50,153.2600251111
3,1,PSO,50,162.29528594890002
3,2,BFGS,50,6557.2538031078
3,2,DE,50,460.11218973309997
3,2,Elitist,50,287.1026091106
3,2,MLSL,50,370.3849829071
3,2,Non-elitist,50,161.0192977355
3,2,PSO,50,160.41486137430002
3,3,BFGS,50,8787.6055394153
3,3,DE,50,377.8109637604
3,3,Elitist,50,224.125469979
3,3,MLSL,50,159.8046480513
3,3,Non-elitist,50,170.83478019860001
3,3,PSO,50,128.6908230267
3,4,BFGS,50,6959.4889906751005
3,4,DE,50,354.5077254382
3,4,Elitist,50,258.37957286
3,4,MLSL,50,192.2275733263
3,4,Non-elitist,50,163.9906520367
3,4,PSO,50,177.2843799092
3,5,BFGS,50,9397.3343617222
3,5,DE,50,429.5458031869
3,5,Elitist,50,426.7732639045
3,5,MLSL,50,368.3583754458
3,5,Non-elitist,50,156.21901754
3,5,PSO,50,286.3371284554
4,1,BFGS,50,5692.676428007
4,1,DE,50,522.4945842448
4,1,Elitist,50,461.7560509568
4,1,MLSL,50,172.22750914769998
4,1,Non-elitist,50,310.9200135727
4,1,PSO,50,209.8686454836
4,2,BFGS,50,6442.1934775361005
4,2,DE,50,532.6744088441
4,2,Elitist,50,377.3836483758
4,2,MLSL,50,309.9235872931
4,2,Non-elitist,50,237.0180186172
4,2,PSO,50,220.8897214648
4,3,BFGS,50,7395.0973881979
4,3,DE,50,604.1849384164
4,3,Elitist,50,323.8733440942
4,3,MLSL,50,345.0109516169
4,3,Non-elitist,50,209.548701911
4,3,PSO,50,217.82252845029998
4,4,BFGS,50,8050.747790214799
4,4,DE,50,518.4368882504
4,4,Elitist,50,376.3161268069
4,4,MLSL,50,139.0232250647
4,4,Non-elitist,50,261.8690222039
4,4,PSO,50,290.28816215899997
4,5,BFGS,50,5429.7612155515
4,5,DE,50,580.1833890354
4,5,Elitist,50,453.82481983
4,5,MLSL,50,371.7188597802
4,5,Non-elitist,50,278.827329296
4,5,PSO,50,257.3181492082
5,1,BFGS,50,1597.2362542595
5,1,DE,50,134.3742791948
5,1,Elitist,50,0.0
5,1,MLSL,50,181.6400096078
5,1,Non-elitist,50,17.001336131800002
5,1,PSO,50,0.0
5,2,BFGS,50,1737.5540703932
5,2,DE,50,147.3335668401
5,2,Elitist,50,0.0
5,2,MLSL,50,253.2912238704
5,2,Non-elitist,50,0.508326754
5,2,PSO,50,2.4528216865
5,3,BFGS,50,1678.9085891956
5,3,DE,50,130.988709764
5,3,Elitist,50,0.0
5,3,MLSL,50,234.6198581186
5,3,Non-elitist,50,21.4400583025
5,3,PSO,50,2.5183570317
5,4,BFGS,50,1750.076241327
5,4,DE,50,62.5199779413
5,4,Elitist,50,0.0
5,4,MLSL,50,243.9970824685
5,4,Non-elitist,50,2.625995543
5,4,PSO,50,1.0703711875000002
5,5,BFGS,50,1419.0940007545
5,5,DE,50,131.5569649661
5,5,Elitist,50,0.0
5,5,MLSL,50,222.5736768114
5,5,Non-elitist,50,14.1751404844
5,5,PSO,50,1.6893420302
6,1,BFGS,50,24.093303183099998
6,1,DE,50,92.189561775
6,1,Elitist,50,0.22110374130000002
6,1,MLSL,50,369.519423643
6,1,Non-elitist,50,0.0820274493
6,1,PSO,50,3.0405092414
6,2,BFGS,50,16.5758100803
6,2,DE,50,133.35094958460002
6,2,Elitist,50,0.05011000350000001
6,2,MLSL,50,468.7892626095
6,2,Non-elitist,50,0.0442687867
6,2,PSO,50,2.1483673745
6,3,BFGS,50,43233.161710088396
6,3,DE,50,104.574788372
6,3,Elitist,50,0.6339392866
6,3,MLSL,50,529.8226444656
6,3,Non-elitist,50,0.1068428077
6,3,PSO,50,4.2624910533
6,4,BFGS,50,245639.0040009804
6,4,DE,50,96.6769625148
6,4,Elitist,50,0.0234948585
6,4,MLSL,50,12158.9545518472
6,4,Non-elitist,50,0.0521543358
6,4,PSO,50,7.3062332894
6,5,BFGS,50,142945.95710096322
6,5,DE,50,101.5338090098
6,5,Elitist,50,0.4627909439
6,5,MLSL,50,385.4948749007
6,5,Non-elitist,50,0.1480075935
6,5,PSO,50,2.6754172167
