fid,iid,rep,budget,algorithm,precision
1,1,1,250,Elitist,-12.0
1,1,1,300,BFGS,-12.0
1,1,1,300,DE,-12.0
1,1,1,300,MLSL,-12.0
1,1,1,300,Non-elitist,-12.0
1,1,1,300,PSO,-1.4884237897501154
1,1,1,300,Elitist,-12.0
1,1,1,350,BFGS,-12.0
1,1,1,350,DE,-12.0
1,1,1,350,MLSL,-12.0
1,1,1,350,Non-elitist,-12.0
1,1,1,350,PSO,-1.2258647501153108
1,1,1,350,Elitist,-12.0
1,1,1,400,BFGS,-12.0
1,1,1,400,DE,-12.0
1,1,1,400,MLSL,-12.0
1,1,1,400,Non-elitist,-12.0
1,1,1,400,PSO,-1.9204924363720612
1,1,1,400,Elitist,-12.0
1,1,1,450,BFGS,-12.0
1,1,1,450,DE,-12.0
1,1,1,450,MLSL,-12.0
1,1,1,450,Non-elitist,-12.0
1,1,1,450,PSO,-1.5914053738848395
1,1,1,450,Elitist,-12.0
1,1,1,500,BFGS,-12.0
1,1,1,500,DE,-12.0
1,1,1,500,MLSL,-12.0
1,1,1,500,Non-elitist,-12.0
1,1,1,500,PSO,-2.5986934765721994
1,1,1,500,Elitist,-12.0
1,1,1,550,BFGS,-12.0
1,1,1,550,DE,-12.0
1,1,1,550,MLSL,-12.0
1,1,1,550,Non-elitist,-12.0
1,1,1,550,PSO,-3.6006630678760496
1,1,1,550,Elitist,-12.0
1,1,1,600,BFGS,-12.0
1,1,1,600,DE,-12.0
1,1,1,600,MLSL,-12.0
1,1,1,600,Non-elitist,-12.0
1,1,1,600,PSO,-4.600663052291486
1,1,1,600,Elitist,-12.0
1,1,1,650,BFGS,-12.0
1,1,1,650,DE,-12.0
1,1,1,650,MLSL,-12.0
1,1,1,650,Non-elitist,-12.0
1,1,1,650,PSO,-5.341025663863775
1,1,1,650,Elitist,-12.0
1,1,1,700,BFGS,-12.0
1,1,1,700,DE,-12.0
1,1,1,700,MLSL,-12.0
1,1,1,700,Non-elitist,-12.0
1,1,1,700,PSO,-5.642055564289831
1,1,1,700,Elitist,-12.0
1,1,1,750,BFGS,-12.0
1,1,1,750,DE,-12.0
1,1,1,750,MLSL,-12.0
1,1,1,750,Non-elitist,-12.0
1,1,1,750,PSO,-12.0
1,1,1,750,Elitist,-12.0
1,1,1,800,BFGS,-12.0
1,1,1,800,DE,-12.0
1,1,1,800,MLSL,-12.0
1,1,1,800,Non-elitist,-12.0
1,1,1,800,PSO,-12.0
1,1,1,800,Elitist,-12.0
1,1,1,850,BFGS,-12.0
1,1,1,850,DE,-12.0
1,1,1,850,MLSL,-12.0
1,1,1,850,Non-elitist,-12.0
1,1,1,850,PSO,-12.0
1,1,1,850,Elitist,-12.0
1,1,1,900,BFGS,-12.0
1,1,1,900,DE,-12.0
1,1,1,900,MLSL,-12.0
1,1,1,900,Non-elitist,-12.0
1,1,1,900,PSO,-12.0
1,1,1,900,Elitist,-12.0
1,1,1,950,BFGS,-12.0
1,1,1,950,DE,-12.0
1,1,1,950,MLSL,-12.0
1,1,1,950,Non-elitist,-12.0
1,1,1,950,PSO,-12.0
1,1,1,950,Elitist,-12.0
1,1,1,1000,BFGS,-12.0
1,1,1,1000,DE,-12.0
1,1,1,1000,MLSL,-12.0
1,1,1,1000,Non-elitist,-12.0
1,1,1,1000,PSO,-12.0
1,1,1,1000,Elitist,-12.0
1,1,2,50,BFGS,-12.0
1,1,2,50,DE,-12.0
1,1,2,50,MLSL,-12.0
1,1,2,50,Non-elitist,-12.0
1,1,2,50,PSO,-2.0482160936359057
1,1,2,50,Elitist,-12.0
1,1,2,100,BFGS,-12.0
1,1,2,100,DE,-12.0
1,1,2,100,MLSL,-12.0
1,1,2,100,Non-elitist,-12.0
