fid_a,fid_b,alpha,iid,rep,vbs_regret,switch_budget,selected_algorithm,achieved_regret,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
2,10,0.1,6,0,0.2604174200035318,500,BFGS,0.5103734717000589,0.6915079028911136,0.6915079028911136,0.6915079028911136,0.6915079028911136,1.8558765090003269,0.5392676227685554,0.409311243653679,0.9470024579474986,0.6915079028911136,0.5103734717000589,0.6915079028911136,0.522308812804383,0.5747301707590295,0.6578685185996108,0.654559528235251,0.5480648853505807,0.5933005406378435,0.6326974322653783,0.6714855569255228,0.6915079028911136
2,10,0.1,6,1,0.3822293153137142,450,Elitist,0.5612009719632353,1.8243526478955503,0.8028127024797913,0.8028127024797913,0.8028127024797913,0.8028127024797913,0.8028127024797913,1.9002657794666875,1.820976166882328,0.5612009719632353,1.2058602940926648,0.7755272581032755,0.6134791127726307,0.658085570933137,0.7152413632609568,0.908106893998006,0.8573977217857263,0.8977313106000495,0.8118406665148759,0.8604953455328648,0.8028127024797913
2,10,0.1,6,2,0.2840577331526305,550,BFGS,0.9287447044385108,0.7248176944564104,0.7248176944564104,0.7248176944564104,0.7248176944564104,0.6308340888595643,0.3319101685051887,1.0834485065424917,1.1011648111435992,1.4726596593248311,1.3239578446305504,0.9287447044385108,0.9287447044385108,0.764198733223387,0.645076000113067,0.689345402078866,0.6047291805256679,0.6076655444322798,0.7500669665684924,0.6900536399744928,0.7248176944564104
2,10,0.1,6,3,0.2628519498921773,450,MLSL,1.3043218933420275,0.7663083181233294,0.5892817516731207,0.7663083181233294,1.6177256883583218,1.6177256883583218,0.7663083181233294,0.2820449049985364,0.2628519498921773,1.3043218933420275,0.3293458602515005,0.7663083181233294,0.3927899097102573,0.6528040234674919,0.5599005824261383,0.5554708481422356,0.6793575985354179,0.6631400248660835,0.7011301367494448,0.7414372283402472,0.7663083181233294
2,10,0.1,6,4,0.3814669063633834,650,Elitist,0.6129577239169505,0.6129508711290064,0.6129508711290064,0.513624779034801,0.6129508711290064,0.6129508711290064,0.6129508711290064,0.6129508711290064,0.6129508711290064,0.6260557349591684,0.6073917013496538,0.6129508711290064,0.4479799401813447,0.6129577239169505,0.5063078009700227,0.5779426628648399,0.6155640045678297,0.6419989730344748,0.637972864399618,0.5759224286320314,0.6129508711290064
2,10,0.1,6,5,0.2478476624895913,550,Non-elitist,0.6714206479451673,0.6714206479451673,0.6714206479451673,0.6714206479451673,0.6714206479451673,0.4838893300641053,0.3468375918263509,0.7631589276730655,0.4937002726547103,0.4287873863841286,1.3472385222535428,0.6714206479451673,0.4748054885788398,0.6273201546709434,0.6292325315340441,0.6624095177307042,0.4557511198593118,0.6736675866638594,0.6738592875506748,0.6032585497596896,0.6714206479451673
2,10,0.1,6,6,0.40882318215879,550,Non-elitist,0.8566670362901508,0.8566670362901508,0.8566670362901508,0.8566670362901508,0.8566670362901508,0.827728796690956,0.7683023432725408,0.8566670362901508,0.8566670362901508,0.8146946615945867,0.6584308387265084,0.8566670362901508,0.7267499613464731,0.7267862299029652,0.8566670362901508,0.7726934952196266,0.8441630901405194,0.7265419775746077,0.748089128428636,0.8124773210229738,0.8566670362901508
2,10,0.1,6,7,0.2593812924109417,500,BFGS,1.2081991853149896,0.7998744343006872,0.7998744343006872,0.7998744343006872,0.7998744343006872,0.4245778270090269,0.7998744343006872,0.7998744343006872,1.275356333638498,0.5321232660922065,1.2081991853149896,0.3680075539987362,0.5071532270226137,0.5710587201132823,0.4935628052580178,0.6007051147907457,0.61181234185891,0.6049057992366944,0.7466229018983032,0.760236756636643,0.7998744343006872
2,10,0.1,6,8,0.3141538176701361,500,BFGS,1.0255145099196508,0.4575901980703897,0.6844307664721374,0.6844307664721374,0.6844307664721374,0.412509836308883,1.979611300043296,1.979611300043296,1.3908180808349564,0.4200170315362832,1.0255145099196508,0.6844307664721374,0.54458323516299,0.4231977752671028,0.6844307664721374,0.6137265452260732,0.6359872101050027,0.5826382725965323,0.6769105828719213,0.6423944861004782,0.6844307664721374
2,10,0.1,6,9,0.166868401324191,550,Elitist,0.5829852420223391,0.166868401324191,0.7150031287121806,0.7150031287121806,0.7150031287121806,0.5766706219132435,0.4058367341153889,0.7150031287121806,0.7150031287121806,0.4826917158345817,0.4006833241503555,0.5829852420223391,0.474982592004916,0.6943192623300782,0.6895766999704691,0.6010469725982506,0.6670192831678261,0.533186228411941,0.530078609938163,0.6746011266560333,0.7150031287121806
2,10,0.1,6,10,0.2554781109594685,400,BFGS,0.7512670870657434,0.5678612824062061,0.447058717111992,0.5678612824062061,0.5678612824062061,0.5678612824062061,0.9155018945886796,0.5688140289035215,0.7512670870657434,1.1605963491680034,0.525163577802928,0.5431034632596612,0.4579347991894016,0.4810563763744652,0.6539417466719457,0.5541052700606282,0.4792314722284587,0.5937974714640755,0.5542278644491982,0.5431506674469985,0.5678612824062061
2,10,0.1,6,11,0.3911701718516779,500,BFGS,0.8311536955736373,0.7948334878221007,0.7948334878221007,0.7948334878221007,0.7948334878221007,0.3981358509004087,0.4145494221113703,0.8661624942333904,1.7350640793490504,0.7948334878221007,0.8311536955736373,0.7948334878221007,0.6574140359307895,0.550499481493875,0.631896544757061,0.6847641051724405,0.7775635791580852,0.8319334003670743,0.7812796229150404,0.7175606682760073,0.7948334878221007
2,10,0.1,6,12,0.3623373887759553,550,Elitist,0.6976272058099775,0.7574838026935147,0.7574838026935147,0.5533089689976833,0.5289312762408487,0.7574838026935147,0.7574838026935147,0.5815651023889987,0.3637550284699481,0.3861632828051754,0.4239341220347639,0.6976272058099775,0.6235317512429595,0.7076967439152043,0.8213147691775339,0.5679010177553407,0.7712297050792655,0.7585348865639728,0.7346204469851242,0.7574838026935147,0.7574838026935147
2,10,0.1,6,13,0.342338950561427,450,Elitist,0.517090367893956,0.6108734661798344,0.6108734661798344,0.6108734661798344,0.5001844338990196,1.931625826843158,0.6478961436896473,0.5373131290404322,0.6108734661798344,0.517090367893956,1.3156982194129665,0.6108734661798344,0.5562553253025154,0.6982867534496862,0.6571486851600592,0.6119455056619018,0.724601837225798,0.6678115661861246,0.5784501082061008,0.6386643109051093,0.6108734661798344
2,10,0.1,6,14,0.2363392194574491,400,Non-elitist,1.0085450105888754,1.0085450105888754,1.0085450105888754,1.0085450105888754,0.5836962505545035,0.5245689396272812,1.0085450105888754,1.0085450105888754,1.0085450105888754,0.6212693107795008,0.5095901198731294,1.0085450105888754,0.7242702906624782,0.7066328016495111,0.7193738483102919,0.7156564727691734,0.8495730570647038,0.8236125066373297,0.9732497983451758,0.950042317285695,1.0085450105888754
