fid,iid,rep,budget,pred_t0,pred_t1,pred_t2,pred_t3,pred_t4,pred_t5,pred_t6,pred_t7,pred_t8,pred_t9,pred_t10,pred_t11,pred_t12,pred_t13,pred_t14,pred_t15,pred_t16,pred_t17,pred_t18,pred_t19
1,1.0,0.0,50,-10.859501042749812,-11.090765821206517,-10.946473580846588,-11.169893859287098,-11.300093471981882,-11.32197149958803,-11.017071110573797,-11.31519423764894,-11.13472793858353,-11.388566400316233,-11.141814080171915,-10.931336344882306,-11.102508675081152,-11.07782773227441,-11.199725321921976,-11.400201876877471,-11.386091296797112,-11.480658733981413,-11.283654996335017,-11.30131251335086
1,1.0,0.0,100,-11.833075476709995,-11.945170468388394,-11.84326093835374,-11.89647783176553,-11.94635393653376,-11.894702748801372,-11.872538427058293,-11.944241369594119,-11.945990507599278,-11.938167647487548,-11.946456959401663,-12.0,-11.974756576378294,-12.0,-11.91921470662587,-11.904788856370272,-12.0,-11.964289020291478,-11.796426450842791,
1,1.0,0.0,150,-11.827395595249012,-11.783633842231591,-11.741037935399385,-11.852894644006895,-11.859257439397078,-11.815324928485673,-11.763981080206694,-11.93516713414271,-11.76893824753078,-11.87951117939016,-11.721726126035591,-11.917860151801552,-11.834918204555944,-12.0,-12.0,-11.918390767485535,-11.902747030997514,-11.979695562028738,,
1,1.0,0.0,200,-11.684090738180668,-11.56607029783461,-11.797195201230501,-11.784581739489678,-11.848886366889168,-11.815693753161062,-11.815536971690431,-11.662619560629889,-11.787244210764728,-11.827790237657705,-11.72311369268799,-11.845807250659531,-11.688892594533131,-12.0,-11.916221394115729,-11.791096395024953,-11.773830723778984,,,
1,1.0,0.0,250,-11.851819429465866,-11.902797801411179,-11.901867971662508,-11.853542894525333,-11.900813635409566,-11.903198493011889,-11.905995839718916,-11.901916613367135,-11.849734231083023,-11.813355233349197,-12.0,-11.870345055567764,-11.999844814459026,-11.980410211717615,-11.85240392917019,-11.876805495825273,,,,
1,1.0,0.0,300,-11.74876720037478,-11.94774399066708,-11.850922774710636,-11.92109093112311,-11.743390029750518,-11.763305708301951,-11.95098262753588,-11.79403495446115,-11.724234685743067,-11.902168181610598,-11.804378768749574,-12.0,-11.934633992269907,-11.81276477142201,-11.876356063188975,,,,,
1,1.0,0.0,350,-11.906483458899194,-11.901030982765468,-11.96878611453928,-11.85562498657917,-11.903120223115806,-11.85034874938144,-11.998637025611966,-11.953392973831981,-11.906445685346931,-11.710561548070325,-11.99318375189943,-12.0,-11.893410066935283,-11.864842597985447,,,,,,
1,1.0,0.0,400,-11.943859775757529,-11.97225835469389,-11.974766290059966,-11.875499813489368,-11.87413122988517,-11.971125380541373,-11.93908652598187,-11.904507434578012,-11.89799637482387,-11.87161501821663,-11.815014730618419,-11.627868430184632,-11.657068353683263,,,,,,,
1,1.0,0.0,450,-11.937430055277819,-12.0,-11.923235306308731,-11.919295768874086,-12.0,-11.994620471713354,-11.843608157387779,-11.968928649221322,-11.968928649221322,-11.968928649221322,-11.937975555429263,-11.904194151772927,,,,,,,,
1,1.0,0.0,500,-12.0,-11.982052344785266,-11.950982627535879,-12.0,-11.954057320600073,-11.834270346031841,-11.843884721314401,-11.954644091568898,-11.763156665823765,-11.716967246637966,-11.803784585029643,,,,,,,,,
1,1.0,0.0,550,-11.852883386676368,-11.924583185572766,-11.953222842673465,-11.855542671572254,-11.906445685346931,-11.860605994386372,-11.863774720719311,-11.950933985831252,-11.922269748881408,-11.967137968484371,,,,,,,,,,
1,1.0,0.0,600,-12.0,-12.0,-11.953297150562769,-11.87104280485245,-11.92261731402455,-11.951707198537884,-12.0,-11.951373515498759,-11.811323673326571,,,,,,,,,,,
1,1.0,0.0,650,-11.70714004245047,-11.714788422550562,-11.897678219438268,-11.703990935668989,-11.90509711238529,-11.902756042710871,-12.0,-11.890020320509205,,,,,,,,,,,,
1,1.0,0.0,700,-11.87639433397878,-11.903717890847835,-12.0,-11.951239576990826,-11.901965255071763,-11.95098262753588,-11.692231153555614,,,,,,,,,,,,,
1,1.0,0.0,750,-11.780855741804583,-11.951875519891605,-12.0,-12.0,-11.968516162465693,-12.0,,,,,,,,,,,,,,
1,1.0,0.0,800,-11.735746850812411,-11.812418207162763,-11.855210138440391,-11.894993001001536,-11.93284540716838,,,,,,,,,,,,,,,
1,1.0,0.0,850,-11.923428563334067,-11.824559050398255,-11.901867971662508,-11.927531276342473,,,,,,,,,,,,,,,,
1,1.0,0.0,900,-12.0,-11.854294726244087,-12.0,,,,,,,,,,,,,,,,,
1,1.0,0.0,950,-11.859962693934149,-11.810945321470031,,,,,,,,,,,,,,,,,,
1,1.0,0.0,1000,-11.683188542519513,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,50,-10.705148482081537,-10.871887940815057,-11.236850228358078,-11.09855274019655,-10.816325959795124,-10.702856990619978,-10.796781632872243,-11.115932437873745,-10.668351979991682,-11.048101492106756,-11.093912433743528,-10.954663001273996,-10.782984714756159,-11.16534082462204,-11.142485223783245,-11.08541977934385,-11.07105174160013,-11.07140265510054,-10.87350841698084,-10.971369487485633
1,1.0,1.0,100,-11.380952181756035,-11.657693335546396,-11.559333838032881,-11.526780374147341,-11.328899056555596,-11.605792144070115,-11.682674802128854,-11.543915689266951,-11.554193235391102,-11.691672449469502,-11.270249624474335,-11.568731658462049,-11.541520507671372,-11.467662767030262,-11.822271443614396,-11.693854254185664,-11.485605425630336,-11.543918499632625,-11.536684056269538,
1,1.0,1.0,150,-11.906705655803718,-11.72233147601222,-11.535204476417068,-11.887576509373337,-11.737732709174974,-11.582806497184949,-11.84287054381668,-11.621361714824749,-11.924684196877656,-11.876478645989053,-11.725933803755817,-11.944610981009822,-11.70525887050253,-11.930377935341665,-11.984903143153463,-11.902392035598615,-11.908666428779455,-11.754766906679876,,
1,1.0,1.0,200,-11.542005005744299,-11.792771656484081,-11.868739803223342,-11.954579831062864,-11.837781663328725,-11.723745539449107,-11.845337767053543,-11.719128701323566,-11.819428810961082,-11.752928175969622,-11.838482370779243,-11.94593409139468,-11.810624566636951,-11.97061531757642,-11.723635538362084,-11.517666566566145,-11.767343976488089,,,
1,1.0,1.0,250,-11.930529489071969,-11.886123617364687,-11.992887153651326,-11.902579805061357,-11.925497485334532,-11.700715068451661,-11.850521018823983,-11.803684081066097,-11.808339851043128,-11.818448523686651,-11.99849866153941,-11.703810962401462,-11.660902105565391,-11.936336864915692,-11.943341863179429,-11.853625944225374,,,,
