fid,iid,rep,vbs_precisions,selector_precision,selector_switch_budget,selector_algorith,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
1,6,0,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,0.0,0.0,50,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,2,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,1.5477e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.31e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,3,0.0,0.0,50,Non-elitist,0.0,0.0,0.0,0.0,0.0,1.5266e-06,0.0,0.0,0.0,0.0,0.0,1.11e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,4,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,4.9455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,5,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.595e-07,0.0,0.0,0.0,3.2e-09,0.0,4e-10,0.0,0.0,0.0,0.0,0.0
1,6,6,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,7,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0
1,6,8,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,1.6841e-06,0.0,1.0749e-06,0.0,0.0,0.0,9.4e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,9,0.0,0.0,50,Non-elitist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-10,0.0,2e-10,0.0,0.0,0.0,0.0,0.0,0.0
1,6,10,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0,0.0
1,6,11,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-10,0.0,0.0,0.0
1,6,12,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,6.594e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.016e-07,0.0,0.0,3e-10,0.0,0.0,0.0,0.0,0.0
1,6,13,0.0,0.0,50,BFGS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03092e-05,0.0,3.504e-07,1.29e-08,1.29e-08,0.0,0.0,1e-10,0.0,0.0,0.0,0.0,0.0
