fid,iid,rep,vbs_regret,switch_budget,selected_algorithm,achieved_regret,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
1,6,0,0.0193525925584376,400,Non-elitist,0.022919631072987,0.022919631072987,0.022919631072987,12.925581147488328,0.022919631072987,0.022919631072987,8.639810730001402,0.022919631072987,0.022919631072987,0.022919631072987,0.022919631072987,0.022919631072987,0.0248863607048749,0.022919631072987,0.022919631072987,0.022919631072987,0.0245887327838885,0.0266235215481876,0.0229196280259638,0.022919631072987,0.022919631072987
1,6,1,0.0207249181298513,400,BFGS,15.404358741698212,0.0234744132021281,0.0234744132021281,15.476777258883695,0.0234744132021281,18.476947081965218,17.410624699457195,13.571035488008649,15.404358741698212,11.47086892334649,13.778608937993088,0.0234744132021281,0.0235022873892099,0.0234744132021281,0.0234744132021281,0.0234744132021281,0.0228546126569914,0.0240067361800354,0.0234744132021281,0.0218778366611224,0.0234744132021281
1,6,2,0.0175130181861351,400,Non-elitist,0.0233671147041813,0.0233671147041813,0.0233671147041813,0.0233671147041813,0.0233671147041813,0.0233671147041813,7.48054084461189,0.0233671147041813,0.0233671147041813,0.0242847498623052,0.0220135938982392,0.0204768441733534,0.0233671147041813,0.0195513713860994,0.0229712777297901,0.0222463365957397,0.0220679686035342,0.0239266894741387,0.0239266915531916,0.0239266915531916,0.0233671147041813
1,6,3,0.0201562298502157,400,Non-elitist,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0277536086150864,9.453788654248768,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0237073376657326,0.0277536086150864,0.0277536086150864,0.0277536086150864,0.0232821552479025,0.0243873075808279,0.0233524430237575,0.0245529192144866,0.0277536086150864
1,6,4,8.913240134445202,400,Non-elitist,8.913240134445202,8.913240134445202,8.913240134445202,8.913240134445202,8.913240134445202,13.396533727668276,11.729564687730994,8.913240134445202,8.913240134445202,11.361951190746806,8.913240134445202,11.894258249662869,8.913240134445202,9.985428578018938,10.934135228073478,8.913240134445202,11.648428242319444,9.89304217226386,10.832419516287567,9.33072622416216,8.913240134445202
1,6,5,0.0199607653907518,400,Non-elitist,0.0228927426699185,20.9145418064215,0.0228927426699185,12.84814505357024,0.0228927426699185,0.0228927426699185,12.402694367279617,0.0228927426699185,0.0228927426699185,7.845567369748233,0.0228927426699185,0.0228927426699185,0.0228927426699185,8.531774333431757,0.0228927426699185,0.0228927426699185,0.0230559929607629,0.0267795383407816,0.0228927426699185,0.0200684484722653,0.0228927426699185
1,6,6,0.0187533652273393,400,Non-elitist,0.0272243819131745,0.0272243819131745,0.0272243819131745,0.0272243819131745,0.0272243819131745,0.0272243819131745,8.969729126086568,0.0272243819131745,0.0272243819131745,8.347567308954186,8.714886280328821,0.0272243819131745,0.0272243819131745,0.0272243819131745,10.370582603718686,0.0272243819131745,8.277551543139165,0.0271263618411229,0.0272243819131745,3.4353057586007547,0.0272243819131745
1,6,7,0.0220431066601475,400,BFGS,16.22162739145723,0.0233825147549618,0.0233825147549618,0.0233825147549618,0.0233825147549618,0.0233825147549618,13.91136910100032,14.539042666646642,16.22162739145723,15.381114606955958,13.48657662618304,13.324139214641994,8.700066388025732,11.646190086005658,0.0220431066601475,0.0233825147549618,0.0267082796424685,0.0243468086934833,0.0233825147549618,0.0233825147549618,0.0233825147549618
1,6,8,0.0231354823762584,400,Non-elitist,0.0231354823762584,0.0231354823762584,0.0231354823762584,0.0231354823762584,16.05685742658886,0.0231354823762584,0.0231354823762584,0.0231354823762584,0.0231354823762584,10.502811337163806,11.28281666758825,0.0231354823762584,0.0231354823762584,0.0231354823762584,11.144902184886092,11.17579147477869,10.273546436475286,9.713309990616043,7.542468814250479,0.0293933589239226,0.0231354823762584
1,6,9,0.0189912878756062,400,Non-elitist,0.0221909134882646,0.0221909134882646,0.0221909134882646,0.0221909134882646,0.0221909134882646,11.4087274573079,0.0221909134882646,0.0221909134882646,0.0221909134882646,0.0189912878756062,0.0221909134882646,0.0223004361416749,0.0221909134882646,0.0221909134882646,0.0221909134882646,0.0207978256999434,0.0221909134882646,0.0209139207616985,0.0213408876386465,0.0219208252932779,0.0221909134882646
