fid,iid,rep,a1_budget,algname,achieved_auc
1,5,6,150,BFGS,372.4137730085232
1,5,7,150,BFGS,548.4149234199785
1,5,8,150,BFGS,947.7666439760121
1,5,9,150,BFGS,702.8783579551935
1,5,10,150,BFGS,250.53781515455947
1,5,11,150,BFGS,157.01850333132688
1,5,12,150,BFGS,305.19813693420906
1,5,13,150,BFGS,277.1483442559234
1,5,14,150,BFGS,243.22379255873759
1,5,15,150,BFGS,327.9442041279216
1,5,16,150,BFGS,341.30384759980166
1,5,17,150,BFGS,304.0472004300959
1,5,18,150,BFGS,181.53869673622012
1,5,19,150,BFGS,206.12024861765454
1,6,0,150,BFGS,2561.5154456968835
1,6,1,150,BFGS,1856.1691446278967
1,6,2,150,BFGS,375.33295083547415
1,6,3,150,BFGS,731.7342034436657
1,6,4,150,BFGS,687.3068839864536
1,6,5,150,BFGS,407.9203099975697
1,6,6,150,BFGS,1033.7778686637944
1,6,7,150,BFGS,1134.2616619614626
1,6,8,150,BFGS,185.726641189579
1,6,9,150,BFGS,656.0894535777351
1,6,10,150,BFGS,2971.0090674854027
1,6,11,150,BFGS,636.6876228160613
1,6,12,150,BFGS,670.1926278094697
1,6,13,150,BFGS,4289.7407178767035
1,6,14,150,BFGS,2837.44799537145
1,6,15,150,BFGS,4166.082355280393
1,6,16,150,BFGS,553.8463081032272
1,6,17,150,BFGS,518.4561881225948
1,6,18,150,BFGS,419.2938664263677
1,6,19,150,BFGS,197.59140943574897
1,7,0,150,BFGS,226.87194854080303
1,7,1,150,BFGS,102.24772177238061
1,7,2,150,BFGS,273.6319134889192
1,7,3,150,BFGS,38.436558840483535
1,7,4,150,BFGS,326.83294651170036
1,7,5,150,BFGS,119.07643887580163
1,7,6,150,BFGS,404.56061120320413
1,7,7,150,BFGS,79.91342492712747
1,7,8,150,BFGS,803.6687467417665
1,7,9,150,BFGS,267.61123541264584
1,7,10,150,BFGS,99.85747632900072
1,7,11,150,BFGS,145.17131668576567
1,7,12,150,BFGS,435.7935007583967
1,7,13,150,BFGS,144.24911128749588
1,7,14,150,BFGS,90.788450813607
1,7,15,150,BFGS,182.72476656166586
1,7,16,150,BFGS,444.466565470359
1,7,17,150,BFGS,323.4340972178353
1,7,18,150,BFGS,166.0920981170844
1,7,19,150,BFGS,306.4642435085978
2,1,0,150,BFGS,948.1943782601732
2,1,1,150,BFGS,1730.97108097923
2,1,2,150,BFGS,511.80211811987266
2,1,3,150,BFGS,428.88387010431296
2,1,4,150,BFGS,1305.1407878139375
2,1,5,150,BFGS,930.4613147346068
2,1,6,150,BFGS,715.2862990909487
2,1,7,150,BFGS,1708.1245505205657
2,1,8,150,BFGS,488.7763096402736
2,1,9,150,BFGS,1159.5837499306767
2,1,10,150,BFGS,867.2851488924142
2,1,11,150,BFGS,835.2512987608618
2,1,12,150,BFGS,503.80528419931477
2,1,13,150,BFGS,334.607325602211
2,1,14,150,BFGS,511.52716422934964
2,1,15,150,BFGS,933.5563775221103
2,1,16,150,BFGS,1183.5441337418208
2,1,17,150,BFGS,356.0160851807843
2,1,18,150,BFGS,281.8047645972738
2,1,19,150,BFGS,517.2031269788705
2,2,0,150,BFGS,394.33476475537304
2,2,1,150,BFGS,417.6800705401456
2,2,2,150,BFGS,475.4468366162083
2,2,3,150,BFGS,412.86379553851833
2,2,4,150,BFGS,1181.2582368069436
2,2,5,150,BFGS,576.3895357259665
2,2,6,150,BFGS,1462.6593518536447
2,2,7,150,BFGS,801.4269186612748
2,2,8,150,BFGS,365.25854388439313
2,2,9,150,BFGS,456.1067695061859
2,2,10,150,BFGS,348.99459383686235
2,2,11,150,BFGS,488.18981547754925
2,2,12,150,BFGS,598.2253376049714
2,2,13,150,BFGS,529.2809496134753
2,2,14,150,BFGS,479.02294144144753
2,2,15,150,BFGS,383.4730659512834
2,2,16,150,BFGS,242.68913217364985
2,2,17,150,BFGS,389.1600607895478
2,2,18,150,BFGS,564.711877037464
2,2,19,150,BFGS,669.1809535277189
2,3,0,150,BFGS,548.5824151200867
2,3,1,150,BFGS,1427.6952980717483
2,3,2,150,BFGS,668.5692709006396
2,3,3,150,BFGS,1111.6553016210732
2,3,4,150,BFGS,660.6038081787956
2,3,5,150,BFGS,695.5573922925574
2,3,6,150,BFGS,816.5074911283936
2,3,7,150,BFGS,1212.5896640487517
2,3,8,150,BFGS,765.3415300062792
2,3,9,150,BFGS,602.4733416779326
2,3,10,150,BFGS,1472.3955649749569
2,3,11,150,BFGS,971.6824002114038
2,3,12,150,BFGS,1108.725778320817
2,3,13,150,BFGS,417.60784716884865
2,3,14,150,BFGS,772.9337072614252
2,3,15,150,BFGS,685.2512236955538
2,3,16,150,BFGS,891.5403395541716
2,3,17,150,BFGS,1212.2747107562784
2,3,18,150,BFGS,691.3202932517299
2,3,19,150,BFGS,492.01171871214933
2,4,0,150,BFGS,1113.3022367174046
2,4,1,150,BFGS,540.2323263917623
2,4,2,150,BFGS,1131.9571305736008
2,4,3,150,BFGS,1345.675098596478
2,4,4,150,BFGS,539.598821659537
2,4,5,150,BFGS,406.49579950170005
2,4,6,150,BFGS,638.2228816531959
2,4,7,150,BFGS,514.3022762709865
2,4,8,150,BFGS,649.9392317793105
2,4,9,150,BFGS,855.6724388919223
2,4,10,150,BFGS,395.3541903198612
2,4,11,150,BFGS,667.0409386776996
2,4,12,150,BFGS,716.549940593819
2,4,13,150,BFGS,970.1005917422863
2,4,14,150,BFGS,1035.6501839213763
2,4,15,150,BFGS,462.61066584528703
2,4,16,150,BFGS,1696.463083464072
2,4,17,150,BFGS,385.18195526989405
2,4,18,150,BFGS,521.7929431796823
2,4,19,150,BFGS,1223.6422878696878
2,5,0,150,BFGS,1138.6787451735047
2,5,1,150,BFGS,2523.457311057765
2,5,2,150,BFGS,1028.962263134605
2,5,3,150,BFGS,1033.396165270945
2,5,4,150,BFGS,1539.335268493851
2,5,5,150,BFGS,1538.0350188556604
2,5,6,150,BFGS,557.9313883603944
2,5,7,150,BFGS,1607.1844396935876
2,5,8,150,BFGS,597.952886701782
2,5,9,150,BFGS,998.623201444691
2,5,10,150,BFGS,2747.905659664833
2,5,11,150,BFGS,1070.5986945359114
2,5,12,150,BFGS,1813.2490861890121
2,5,13,150,BFGS,1998.619410230745
2,5,14,150,BFGS,807.3296980655956
2,5,15,150,BFGS,3171.1827244941023
2,5,16,150,BFGS,1115.6105436256016
2,5,17,150,BFGS,930.2249028349706
2,5,18,150,BFGS,811.4545780337472
2,5,19,150,BFGS,885.8444874238613
2,6,0,150,BFGS,367.10997238316054
2,6,1,150,BFGS,899.4445331910906
2,6,2,150,BFGS,898.8568572196131
2,6,3,150,BFGS,1061.7397919470225
2,6,4,150,BFGS,394.99696143786264
2,6,5,150,BFGS,852.447108917791
2,6,6,150,BFGS,419.25124036147685
2,6,7,150,BFGS,568.6271432109827
2,6,8,150,BFGS,1391.119043357769
2,6,9,150,BFGS,511.1059947822789
2,6,10,150,BFGS,493.9036642009825
2,6,11,150,BFGS,590.4626702029792
2,6,12,150,BFGS,2086.157055884857
2,6,13,150,BFGS,536.7228418613374
2,6,14,150,BFGS,708.4972847917551
2,6,15,150,BFGS,709.3360010758091
2,6,16,150,BFGS,335.4826329328818
2,6,17,150,BFGS,548.7543950818629
2,6,18,150,BFGS,500.6807760135712
2,6,19,150,BFGS,673.8426435241214
2,7,0,150,BFGS,462.21406450609254
2,7,1,150,BFGS,815.148099899397
2,7,2,150,BFGS,1130.4442707503135
2,7,3,150,BFGS,1453.8795344553714
2,7,4,150,BFGS,1467.7420597110734
2,7,5,150,BFGS,1681.278806700861
2,7,6,150,BFGS,477.01454945803965
2,7,7,150,BFGS,1328.6794393386735
2,7,8,150,BFGS,1827.1140142761726
2,7,9,150,BFGS,1458.529190721028
2,7,10,150,BFGS,640.0965722353272
2,7,11,150,BFGS,1173.8369238137357
2,7,12,150,BFGS,1434.03365673947
2,7,13,150,BFGS,778.5582424054433
2,7,14,150,BFGS,507.1529350935961
2,7,15,150,BFGS,570.2605599158924
2,7,16,150,BFGS,428.0992714011084
2,7,17,150,BFGS,1205.894147510085
2,7,18,150,BFGS,796.1314962779738
2,7,19,150,BFGS,945.8553050445037
3,1,0,150,BFGS,55.21560064812091
3,1,1,150,BFGS,47.06322465549809
3,1,2,150,BFGS,63.715943951279385
3,1,3,150,BFGS,68.72744328627277
3,1,4,150,BFGS,92.19689952341882
3,1,5,150,BFGS,81.57923748255014
3,1,6,150,BFGS,64.64156930053768
3,1,7,150,BFGS,63.28868329368142
3,1,8,150,BFGS,54.244463679079864
3,1,9,150,BFGS,53.50489522279517
3,1,10,150,BFGS,47.5416822198924
3,1,11,150,BFGS,81.56305277611139
3,1,12,150,BFGS,46.36809779770449
3,1,13,150,BFGS,60.18377202837972
3,1,14,150,BFGS,51.092406771653245
3,1,15,150,BFGS,37.24165600787243
3,1,16,150,BFGS,48.009323933768464
3,1,17,150,BFGS,42.37955449862276
3,1,18,150,BFGS,69.17672060313086
3,1,19,150,BFGS,49.719941442984215
3,2,0,150,BFGS,46.166376926815396
3,2,1,150,BFGS,75.48803671355515
3,2,2,150,BFGS,103.20982623804662
3,2,3,150,BFGS,95.19293741390756
3,2,4,150,BFGS,95.7342493474791
3,2,5,150,BFGS,112.92086406758781
3,2,6,150,BFGS,116.32382404746107
3,2,7,150,BFGS,108.33713739521106
3,2,8,150,BFGS,93.85570171303584
3,2,9,150,BFGS,108.63420631050583
3,2,10,150,BFGS,78.85325629259883
3,2,11,150,BFGS,155.259928304753
3,2,12,150,BFGS,117.0770272803718
3,2,13,150,BFGS,69.51166566784684
3,2,14,150,BFGS,120.95205026534056
3,2,15,150,BFGS,93.55014533539921
3,2,16,150,BFGS,64.33858976948544
3,2,17,150,BFGS,113.8102202534113
3,2,18,150,BFGS,65.24300370679627
3,2,19,150,BFGS,94.58079060601324
3,3,0,150,BFGS,149.28489693593374
3,3,1,150,BFGS,109.20320745836813
3,3,2,150,BFGS,126.5595494507131
3,3,3,150,BFGS,138.71143356559799
3,3,4,150,BFGS,74.38228453653005
3,3,5,150,BFGS,86.4658634532786
3,3,6,150,BFGS,109.28142497171355
3,3,7,150,BFGS,120.4847977831501
3,3,8,150,BFGS,129.68865558577016
3,3,9,150,BFGS,90.43444247596392
3,3,10,150,BFGS,107.45887079458987
3,3,11,150,BFGS,80.94434065922049
3,3,12,150,BFGS,129.03647432280798
3,3,13,150,BFGS,107.54345754522825
3,3,14,150,BFGS,168.76786534917872
3,3,15,150,BFGS,67.3586054054697
3,3,16,150,BFGS,80.51580982431196
3,3,17,150,BFGS,126.51153422268314
3,3,18,150,BFGS,294.66920463240746
3,3,19,150,BFGS,151.68175669279583
3,4,0,150,BFGS,124.6294923766196
3,4,1,150,BFGS,95.60421152588908
3,4,2,150,BFGS,93.21800253778163
3,4,3,150,BFGS,97.85940607595924
3,4,4,150,BFGS,85.70044514352928
3,4,5,150,BFGS,89.59397985491356
3,4,6,150,BFGS,87.23235678443262
3,4,7,150,BFGS,78.51335899424164
3,4,8,150,BFGS,122.82440488612801
3,4,9,150,BFGS,132.72930289542242
3,4,10,150,BFGS,90.06954201527493
3,4,11,150,BFGS,110.7718764782577
3,4,12,150,BFGS,105.96801209864638
3,4,13,150,BFGS,92.71990639056779
3,4,14,150,BFGS,90.41260664873575
3,4,15,150,BFGS,81.11243003660893
3,4,16,150,BFGS,65.83510648614579
3,4,17,150,BFGS,98.33969699973804
3,4,18,150,BFGS,101.13178646038476
3,4,19,150,BFGS,58.4464182934076
3,5,0,150,BFGS,122.83485236607143
3,5,1,150,BFGS,92.40226312617693
3,5,2,150,BFGS,131.40371646483908
3,5,3,150,BFGS,91.24390996012917
3,5,4,150,BFGS,78.48658259252502
3,5,5,150,BFGS,91.02965676850627
3,5,6,150,BFGS,95.72926108070884
3,5,7,150,BFGS,71.8173870814715
3,5,8,150,BFGS,135.54941779359376
3,5,9,150,BFGS,114.84361775238247
3,5,10,150,BFGS,87.35967025399064
3,5,11,150,BFGS,111.4436224799027
3,5,12,150,BFGS,162.56936524066262
3,5,13,150,BFGS,136.34348437237165
3,5,14,150,BFGS,97.19738351613447
3,5,15,150,BFGS,137.04249534488974
3,5,16,150,BFGS,83.94345723362359
3,5,17,150,BFGS,151.10902085083913
3,5,18,150,BFGS,135.07583773572395
3,5,19,150,BFGS,146.76053771453823
3,6,0,150,BFGS,88.8340480533034
3,6,1,150,BFGS,97.97320835783307
3,6,2,150,BFGS,102.67388818245128
3,6,3,150,BFGS,203.64081521542596
3,6,4,150,BFGS,98.61831860716498
3,6,5,150,BFGS,97.21467478432515
3,6,6,150,BFGS,67.68125575123511
3,6,7,150,BFGS,86.783713119839
3,6,8,150,BFGS,119.29102433889807
3,6,9,150,BFGS,117.47790133090581
3,6,10,150,BFGS,121.27928726195529
3,6,11,150,BFGS,78.43293571349253
3,6,12,150,BFGS,68.35753091643429
3,6,13,150,BFGS,70.01653960914183
3,6,14,150,BFGS,152.72851699607256
3,6,15,150,BFGS,79.75205434790196
3,6,16,150,BFGS,97.30576829119002
3,6,17,150,BFGS,127.52948194080764
3,6,18,150,BFGS,94.6836677868614
3,6,19,150,BFGS,64.19279425358988
3,7,0,150,BFGS,81.75572662148178
3,7,1,150,BFGS,93.63797502268443
3,7,2,150,BFGS,132.01518703946837
3,7,3,150,BFGS,121.02405905876785
3,7,4,150,BFGS,78.41421383086376
3,7,5,150,BFGS,90.17801422429149
3,7,6,150,BFGS,99.9001418508095
3,7,7,150,BFGS,137.197298273203
3,7,8,150,BFGS,99.21254722065221
3,7,9,150,BFGS,110.5022874062397
3,7,10,150,BFGS,105.45958596207831
3,7,11,150,BFGS,85.52269470409146
3,7,12,150,BFGS,89.09659687011673
3,7,13,150,BFGS,75.098678011864
3,7,14,150,BFGS,123.80459730685634
3,7,15,150,BFGS,93.67173390145255
3,7,16,150,BFGS,88.64575479168337
3,7,17,150,BFGS,113.74163990506192
3,7,18,150,BFGS,118.91249911162654
3,7,19,150,BFGS,93.29441647102671
4,1,0,150,BFGS,391.2094840322666
4,1,1,150,BFGS,536.6869444498956
4,1,2,150,BFGS,379.9581880871606
4,1,3,150,BFGS,412.36122362298477
4,1,4,150,BFGS,308.57952467117445
4,1,5,150,BFGS,250.71285603777173
4,1,6,150,BFGS,250.00569093580182
4,1,7,150,BFGS,352.11721507931304
4,1,8,150,BFGS,671.0820634347663
4,1,9,150,BFGS,237.36436961084917
4,1,10,150,BFGS,198.39086477075477
4,1,11,150,BFGS,214.91288362666083
4,1,12,150,BFGS,345.5626327112023
4,1,13,150,BFGS,286.5948496203205
4,1,14,150,BFGS,495.28365917281315
4,1,15,150,BFGS,207.98414157922784
4,1,16,150,BFGS,322.003042674655
4,1,17,150,BFGS,298.92069754234177
4,1,18,150,BFGS,454.86338320013687
4,1,19,150,BFGS,292.9526056957542
4,2,0,150,BFGS,865.1917327424485
4,2,1,150,BFGS,598.4501048265822
4,2,2,150,BFGS,346.42922268801817
4,2,3,150,BFGS,433.9457114853691
4,2,4,150,BFGS,154.5901761196363
4,2,5,150,BFGS,436.42516497755213
4,2,6,150,BFGS,421.8263095409002
4,2,7,150,BFGS,209.92162174082827
4,2,8,150,BFGS,384.27415940476465
4,2,9,150,BFGS,256.07638291150533
4,2,10,150,BFGS,435.9232313865456
4,2,11,150,BFGS,277.7198069799073
4,2,12,150,BFGS,426.77140630546813
4,2,13,150,BFGS,456.5720124837276
4,2,14,150,BFGS,453.3601291371817
4,2,15,150,BFGS,281.5724020937782
4,2,16,150,BFGS,326.8265800697091
4,2,17,150,BFGS,397.5378475370812
4,2,18,150,BFGS,825.7988656496832
4,2,19,150,BFGS,270.7639040226389
4,3,0,150,BFGS,567.1680094137097
4,3,1,150,BFGS,315.035330837189
4,3,2,150,BFGS,497.6347634965042
4,3,3,150,BFGS,579.6537082870395
4,3,4,150,BFGS,769.8992993633437
4,3,5,150,BFGS,424.1536105384668
4,3,6,150,BFGS,452.46451600011915
4,3,7,150,BFGS,401.184159259187
4,3,8,150,BFGS,551.8487812369419
4,3,9,150,BFGS,615.2134496072704
4,3,10,150,BFGS,460.93117085198696
4,3,11,150,BFGS,366.3378592529248
4,3,12,150,BFGS,381.29354174365335
4,3,13,150,BFGS,328.1958697860032
4,3,14,150,BFGS,471.17545011879577
4,3,15,150,BFGS,376.37469912313094
4,3,16,150,BFGS,317.75557722874623
4,3,17,150,BFGS,495.88616535130234
4,3,18,150,BFGS,569.1710473452183
4,3,19,150,BFGS,395.66832239457057
4,4,0,150,BFGS,291.2687874421524
4,4,1,150,BFGS,156.84087147191528
4,4,2,150,BFGS,428.99574295939755
4,4,3,150,BFGS,437.3541007432776
4,4,4,150,BFGS,356.085369974982
4,4,5,150,BFGS,267.19713907039625
4,4,6,150,BFGS,267.2150053770778
4,4,7,150,BFGS,240.49815065918455
4,4,8,150,BFGS,344.35898682312455
4,4,9,150,BFGS,449.29873128550037
4,4,10,150,BFGS,320.4408765185888
4,4,11,150,BFGS,261.99678439948303
4,4,12,150,BFGS,464.6968615515131
4,4,13,150,BFGS,383.4553216213114
4,4,14,150,BFGS,373.4805953328084
4,4,15,150,BFGS,336.7752037583146
4,4,16,150,BFGS,266.51519932361964
4,4,17,150,BFGS,341.7339131705054
4,4,18,150,BFGS,294.76950501503137
4,4,19,150,BFGS,249.5297718689987
4,5,0,150,BFGS,420.78660426171615
4,5,1,150,BFGS,231.29914552132576
4,5,2,150,BFGS,572.9834477438826
4,5,3,150,BFGS,379.40358059590596
4,5,4,150,BFGS,572.6046650285456
4,5,5,150,BFGS,263.54848600245026
