fid,iid,rep,algorithm,budget,precision
1,1,0,BFGS,50,521.7349392861499
1,1,0,DE,50,575.3241610665502
1,1,0,Elitist,50,538.86221293045
1,1,0,MLSL,50,711.20720996795
1,1,0,Non-elitist,50,550.1002969455499
1,1,0,PSO,50,576.0024601383
1,1,0,BFGS,100,546.9369195771501
1,1,0,DE,100,557.69201389075
1,1,0,Elitist,100,548.04744570545
1,1,0,MLSL,100,611.3649564525499
1,1,0,Non-elitist,100,550.1002969455499
1,1,0,PSO,100,568.2360452535501
1,1,0,BFGS,150,549.5357489324499
1,1,0,DE,150,551.3950496501499
1,1,0,Elitist,150,550.0285182427499
1,1,0,MLSL,150,557.3217886264499
1,1,0,Non-elitist,150,550.1002969455499
1,1,0,PSO,150,553.91762189995
1,1,0,BFGS,200,550.0365704167499
1,1,0,DE,200,550.40755768615
1,1,0,Elitist,200,550.14958426785
1,1,0,MLSL,200,550.9047879119499
1,1,0,Non-elitist,200,550.1002969455499
1,1,0,PSO,200,551.53701008725
1,1,0,BFGS,250,550.09362764575
1,1,0,DE,250,550.1712872782499
1,1,0,Elitist,250,550.10104919405
1,1,0,MLSL,250,550.22392066205
1,1,0,Non-elitist,250,550.1002969455499
1,1,0,PSO,250,550.3767062643
1,1,0,BFGS,300,550.09870469435
1,1,0,DE,300,550.1046257783499
1,1,0,Elitist,300,550.09955908745
1,1,0,MLSL,300,550.1089285469499
1,1,0,Non-elitist,300,550.1002969455499
1,1,0,PSO,300,550.1250909915499
1,1,0,BFGS,350,550.0999380613499
1,1,0,DE,350,550.1026069946499
1,1,0,Elitist,350,550.10035784035
1,1,0,MLSL,350,550.1047000922499
1,1,0,Non-elitist,350,550.1002969455499
1,1,0,PSO,350,550.11113810415
1,1,0,BFGS,400,550.10014292695
1,1,0,DE,400,550.1008317927499
1,1,0,Elitist,400,550.1001932972499
1,1,0,MLSL,400,550.1013721283499
1,1,0,Non-elitist,400,550.1002969455499
1,1,0,PSO,400,550.1029940273999
1,1,0,BFGS,450,550.1002841465499
1,1,0,DE,450,550.1004346691499
1,1,0,Elitist,450,550.1002890618499
1,1,0,MLSL,450,550.1005459741499
1,1,0,Non-elitist,450,550.1002969455499
1,1,0,PSO,450,550.1008659548999
1,1,0,BFGS,500,550.1002911296499
1,1,0,DE,500,550.10031383115
1,1,0,Elitist,500,550.1002920245498
1,1,0,MLSL,500,550.1003336599499
1,1,0,Non-elitist,500,550.1002969455499
1,1,0,PSO,500,550.1003723471999
1,1,0,BFGS,550,550.1002957859499
1,1,0,DE,550,550.1003047391499
1,1,0,Elitist,550,550.1002947905499
1,1,0,MLSL,550,550.1003120125499
1,1,0,Non-elitist,550,550.1002969455499
1,1,0,PSO,550,550.1003253236998
1,1,0,BFGS,600,550.10029790605
1,1,0,DE,600,550.1003037386499
1,1,0,Elitist,600,550.1002972079499
1,1,0,MLSL,600,550.1003086208499
1,1,0,Non-elitist,600,550.1002969455499
1,1,0,PSO,600,550.1003153361999
1,1,0,BFGS,650,550.1002971511499
1,1,0,DE,650,550.1002985088498
1,1,0,Elitist,650,550.10029690965
1,1,0,MLSL,650,550.1002996924499
1,1,0,Non-elitist,650,550.1002969455499
1,1,0,PSO,650,550.1003005053499
1,1,0,BFGS,700,550.1002969376499
1,1,0,DE,700,550.1002971193499
1,1,0,Elitist,700,550.10029695775
1,1,0,MLSL,700,550.10029728435
1,1,0,Non-elitist,700,550.1002969455499
1,1,0,PSO,700,550.1002973105999
1,1,0,BFGS,750,550.1002969797499
1,1,0,DE,750,550.10029709135
1,1,0,Elitist,750,550.1002969442499
1,1,0,MLSL,750,550.1002971708499
1,1,0,Non-elitist,750,550.1002969455499
1,1,0,PSO,750,550.1002971708499
1,1,0,BFGS,800,550.1002969469499
1,1,0,DE,800,550.1002969589499
1,1,0,Elitist,800,550.1002969473499
1,1,0,MLSL,800,550.1002969626999
1,1,0,Non-elitist,800,550.1002969455499
1,1,0,PSO,800,550.1002969626999
1,1,0,BFGS,850,550.1002969455499
1,1,0,DE,850,550.1002969455499
1,1,0,Elitist,850,550.1002969455499
1,1,0,MLSL,850,550.1002969455499
1,1,0,Non-elitist,850,550.1002969455499
1,1,0,PSO,850,550.1002969455499
1,1,0,BFGS,900,550.1002969455499
1,1,0,DE,900,550.1002969455499
1,1,0,Elitist,900,550.1002969455499
1,1,0,MLSL,900,550.1002969455499
1,1,0,Non-elitist,900,550.1002969455499
1,1,0,PSO,900,550.1002969455499
1,1,0,BFGS,950,550.1002969455499
1,1,0,DE,950,550.1002969455499
1,1,0,Elitist,950,550.1002969455499
1,1,0,MLSL,950,550.1002969455499
1,1,0,Non-elitist,950,550.1002969455499
1,1,0,PSO,950,550.1002969455499
1,1,0,BFGS,1000,550.1002969455499
1,1,0,DE,1000,550.1002969455499
1,1,0,Elitist,1000,550.1002969455499
1,1,0,MLSL,1000,550.1002969455499
1,1,0,Non-elitist,1000,550.1002969455499
1,1,0,PSO,1000,550.1002969455499
1,1,1,BFGS,50,503.7821749705
1,1,1,DE,50,554.1527939453001
1,1,1,Elitist,50,536.0289406203001
1,1,1,MLSL,50,682.1492401588002
1,1,1,Non-elitist,50,531.4709486035001
1,1,1,PSO,50,544.2940634660001
1,1,1,BFGS,100,527.5981097840001
1,1,1,DE,100,545.0069421384001
1,1,1,Elitist,100,531.2913512334002
1,1,1,MLSL,100,613.6189227948001
1,1,1,Non-elitist,100,531.4709486035001
1,1,1,PSO,100,556.3223235514
1,1,1,BFGS,150,531.2670927483
1,1,1,DE,150,532.044327404
1,1,1,Elitist,150,531.4743538329001
1,1,1,MLSL,150,535.5602516973
1,1,1,Non-elitist,150,531.4709486035001
1,1,1,PSO,150,533.3044949772
1,1,1,BFGS,200,531.438689397
1,1,1,DE,200,531.8620743608
1,1,1,Elitist,200,531.4631137818
1,1,1,MLSL,200,532.3695104646999
1,1,1,Non-elitist,200,531.4709486035001
1,1,1,PSO,200,532.7844191377
1,1,1,BFGS,250,531.4598114949
